ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2007,2007-09-09,1,22.070,JAX,,TEN,L 10-13,,,,,
2,2007,2007-09-16,2,22.077,JAX,,ATL,W 13-7,,,,,
3,2007,2007-09-23,3,22.084,JAX,@,DEN,W 23-14,,,,,
4,2007,2007-10-07,4,22.098,JAX,@,KAN,W 17-7,,,,,
5,2007,2007-10-14,5,22.105,JAX,,HOU,W 37-17,,,,,
6,2007,2007-10-22,6,22.113,JAX,,IND,L 7-29,,,,,
7,2007,2007-10-28,7,22.119,JAX,@,TAM,W 24-23,,,,,
8,2007,2007-11-04,8,22.126,JAX,@,NOR,L 24-41,,,,,
9,2007,2007-11-11,9,22.133,JAX,@,TEN,W 28-13,,,,,
10,2007,2007-11-18,10,22.140,JAX,,SDG,W 24-17,,,,,
11,2007,2007-11-25,11,22.147,JAX,,BUF,W 36-14,,1,0,0.00,0
12,2007,2007-12-02,12,22.154,JAX,@,IND,L 25-28,,,,,
13,2007,2007-12-09,13,22.161,JAX,,CAR,W 37-6,,,,,
14,2007,2007-12-16,14,22.168,JAX,@,PIT,W 29-22,,,,,
15,2007,2007-12-23,15,22.175,JAX,,OAK,W 49-11,,,,,
16,2007,2007-12-30,16,22.182,JAX,@,HOU,L 28-42,,,,,
17,2008,2008-10-26,7,23.117,JAX,,CLE,L 17-23,,0,0,,0
18,2008,2008-11-02,8,23.124,JAX,@,CIN,L 19-21,,0,0,,0
19,2008,2008-11-09,9,23.131,JAX,@,DET,W 38-14,,,,,
20,2008,2008-11-16,10,23.138,JAX,,TEN,L 14-24,,0,0,,0
21,2008,2008-11-23,11,23.145,JAX,,MIN,L 12-30,,0,0,,0
22,2008,2008-12-01,12,23.153,JAX,@,HOU,L 17-30,,,,,
23,2008,2008-12-07,13,23.159,JAX,@,CHI,L 10-23,,,,,
