ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-26,3,23.285,DEN,,IND,L 13-27,,,,,,,,,,,0.0%,,,,,,,,,,,
2,2010,2010-10-03,4,23.292,DEN,@,TEN,W 26-20,,,,,,,,,,,0.0%,,,,,,,,,,,
3,2010,2010-10-10,5,23.299,DEN,@,BAL,L 17-31,,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
4,2010,2010-11-07,8,23.327,IND,@,PHI,L 24-26,,,,,,,,,,,0.0%,,,,,,,,,,,
5,2012,2012-09-05,1,25.265,NYG,,DAL,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,2,29,14.50,0,,0,0,0.0,0,0
6,2012,2012-09-16,2,25.276,NYG,,TAM,W 41-34,,13,71,5.46,1,2,2,19,9.50,0,100.0%,9.50,0,0,,0,1,1,8,0.0,0,0
7,2012,2012-09-20,3,25.280,NYG,@,CAR,W 36-7,*,20,113,5.65,2,5,3,17,5.67,0,60.0%,3.40,0,0,,0,,2,12,0.0,0,0
8,2012,2012-09-30,4,25.290,NYG,@,PHI,L 17-19,,5,14,2.80,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0
9,2012,2012-10-07,5,25.297,NYG,,CLE,W 41-27,,0,0,,0,0,0,0,,0,0.0%,,1,13,13.00,0,,0,0,0.0,0,0
10,2012,2012-10-21,7,25.311,NYG,,WAS,W 27-23,,5,17,3.40,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,1,6,0.0,0,0
11,2012,2012-10-28,8,25.318,NYG,@,DAL,W 29-24,,3,21,7.00,1,2,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0
12,2012,2012-11-04,9,25.325,NYG,,PIT,L 20-24,,7,20,2.86,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
13,2012,2012-11-11,10,25.332,NYG,@,CIN,L 13-31,*,7,65,9.29,1,6,5,29,5.80,0,83.3%,4.83,0,0,,0,,1,6,0.0,0,0
14,2012,2012-11-25,11,25.346,NYG,,GNB,W 38-10,,13,64,4.92,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
15,2013,2013-11-10,9,26.330,NYG,,OAK,W 24-20,*,30,115,3.83,1,3,1,4,4.00,0,33.3%,1.33,0,0,,0,,1,6,0.0,0,0
16,2013,2013-11-17,10,26.337,NYG,,GNB,W 27-13,*,18,66,3.67,0,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,0,0,0.0,0,0
17,2013,2013-11-24,11,26.344,NYG,,DAL,L 21-24,*,21,127,6.05,0,4,4,11,2.75,0,100.0%,2.75,0,0,,0,1,0,2,0.0,0,0
18,2013,2013-12-01,12,26.351,NYG,@,WAS,W 24-17,*,14,35,2.50,2,5,3,23,7.67,0,60.0%,4.60,0,0,,0,,2,12,0.0,0,0
19,2013,2013-12-08,13,26.358,NYG,@,SDG,L 14-37,*,16,81,5.06,0,4,3,15,5.00,0,75.0%,3.75,0,0,,0,,0,0,0.0,1,0
20,2013,2013-12-15,14,27.000,NYG,,SEA,L 0-23,*,11,17,1.55,0,5,4,9,2.25,0,80.0%,1.80,0,0,,0,,0,0,0.0,0,0
21,2013,2013-12-22,15,27.007,NYG,@,DET,W 23-20,*,16,40,2.50,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,0,0,0.0,0,0
22,2013,2013-12-29,16,27.014,NYG,,WAS,W 20-6,*,13,11,0.85,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
