ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
20,1975,1975-10-26,6,23.061,PIT,@,GNB,W 16-13,,,,,,,,,,,,,,
21,1975,1975-11-02,7,23.068,PIT,@,CIN,W 30-24,,,,,,,,,,,,,,
22,1975,1975-11-09,8,23.075,PIT,,HOU,W 24-17,,,,,,,,,,,,,,
23,1975,1975-11-16,9,23.082,PIT,,KAN,W 28-3,,,,,,,,,,,,,,
24,1975,1975-11-24,10,23.090,PIT,@,HOU,W 32-9,,,,,,,,,,,,,,
25,1975,1975-11-30,11,23.096,PIT,@,NYJ,W 20-7,,,,,,,,,,,,,,
26,1975,1975-12-07,12,23.103,PIT,,CLE,W 31-17,,,,,,,,,,,,,,
27,1975,1975-12-13,13,23.109,PIT,,CIN,W 35-14,,,,,,,,,,,,,,
28,1975,1975-12-20,14,23.116,PIT,@,RAM,L 3-10,,,,,,,,,,,,,,
29,1976,1976-09-12,1,24.017,PIT,@,OAK,L 28-31,,,,,,,,,,,,,,
30,1976,1976-09-19,2,24.024,PIT,,CLE,W 31-14,,,,,,,,,,,,,,
31,1976,1976-09-26,3,24.031,PIT,,NWE,L 27-30,,,,,,,,,,,,,,
32,1976,1976-10-04,4,24.039,PIT,@,MIN,L 6-17,,,,,,,,,,,,,,
33,1976,1976-10-10,5,24.045,PIT,@,CLE,L 16-18,,,,,,,,,,,,,,
34,1976,1976-10-17,6,24.052,PIT,,CIN,W 23-6,,,,,,,,,,,,,,
35,1976,1976-10-24,7,24.059,PIT,@,NYG,W 27-0,,,,,,,,,,,,,,
36,1976,1976-10-31,8,24.066,PIT,,SDG,W 23-0,,,,,,,,,,,,,,
37,1976,1976-11-07,9,24.073,PIT,@,KAN,W 45-0,,,,,,,,,,,,,,
38,1976,1976-11-14,10,24.080,PIT,,MIA,W 14-3,,,,,,,,,,,,,,
39,1976,1976-11-21,11,24.087,PIT,,HOU,W 32-16,,,,,,,,,,,,,,
40,1976,1976-11-28,12,24.094,PIT,@,CIN,W 7-3,,,,,,,,,,,,,,
41,1976,1976-12-05,13,24.101,PIT,,TAM,W 42-0,0,0,,0,0,0,,0,0,0,0.0,1,4,0
42,1976,1976-12-11,14,24.107,PIT,@,HOU,W 21-0,,,,,,,,,,,,,,
43,1977,1977-09-19,1,25.024,PIT,,SFO,W 27-0,,,,,,,,,,,,,,
44,1977,1977-09-25,2,25.030,PIT,,OAK,L 7-16,,,,,,,,,,,,,,
45,1977,1977-10-02,3,25.037,PIT,@,CLE,W 28-14,,,,,,,,,,,,,,
46,1977,1977-10-09,4,25.044,PIT,@,HOU,L 10-27,,,,,,,,,,,,,,
47,1977,1977-10-17,5,25.052,PIT,,CIN,W 20-14,0,0,,0,0,0,,0,0,0,0.0,1,6,0
48,1977,1977-10-23,6,25.058,PIT,,HOU,W 27-10,0,0,,0,0,0,,0,0,0,0.0,1,0,0
49,1977,1977-10-30,7,25.065,PIT,@,BAL,L 21-31,,,,,,,,,,,,,,
50,1977,1977-11-06,8,25.072,PIT,@,DEN,L 7-21,,,,,,,,,,,,,,
51,1977,1977-11-13,9,25.079,PIT,,CLE,W 35-31,,,,,,,,,,,,,,
52,1977,1977-12-04,12,25.100,PIT,,SEA,W 30-20,,,,,,,,,,,,,,
53,1977,1977-12-10,13,25.106,PIT,@,CIN,L 10-17,,,,,,,,,,,,,,
54,1977,1977-12-18,14,25.114,PIT,@,SDG,W 10-9,0,0,,0,0,0,,0,0,0,0.0,1,8,0
55,1978,1978-09-03,1,26.008,PIT,@,BUF,W 28-17,,,,,,,,,,,,,,
56,1978,1978-09-10,2,26.015,PIT,,SEA,W 21-10,,,,,,,,,,,,,,
57,1978,1978-09-17,3,26.022,PIT,@,CIN,W 28-3,,,,,,,,,,,,,,
58,1978,1978-09-24,4,26.029,PIT,,CLE,W 15-9,0,0,,0,0,0,,0,0,0,0.0,1,1,0
59,1978,1978-10-01,5,26.036,PIT,@,NYJ,W 28-17,0,0,,0,0,0,,0,0,0,0.0,1,20,0
60,1978,1978-10-08,6,26.043,PIT,,ATL,W 31-7,,,,,,,,,,,,,,
61,1978,1978-10-15,7,26.050,PIT,@,CLE,W 34-14,,,,,,,,,,,,,,
62,1978,1978-10-23,8,26.058,PIT,,HOU,L 17-24,,,,,,,,,,,,,,
63,1978,1978-10-29,9,26.064,PIT,,KAN,W 27-24,,,,,,,,,,,,,,
64,1978,1978-11-05,10,26.071,PIT,,NOR,W 20-14,,,,,,,,,,,,,,
65,1978,1978-11-12,11,26.078,PIT,@,RAM,L 7-10,,,,,,,,,,,,,,
66,1978,1978-11-19,12,26.085,PIT,,CIN,W 7-6,0,0,,0,1,6,6.00,0,0,0,0.0,0,0,0
67,1978,1978-11-27,13,26.093,PIT,@,SFO,W 24-7,0,0,,0,0,0,,0,0,0,0.0,1,0,0
68,1978,1978-12-03,14,26.099,PIT,@,HOU,W 13-3,,,,,,,,,,,,,,
69,1978,1978-12-09,15,26.105,PIT,,BAL,W 35-13,,,,,,,,,,,,,,
70,1978,1978-12-16,16,26.112,PIT,@,DEN,W 21-17,,,,,,,,,,,,,,
71,1979,1979-09-03,1,27.008,PIT,@,NWE,W 16-13,,,,,,,,,,,,,,
72,1979,1979-09-09,2,27.014,PIT,,HOU,W 38-7,,,,,,,,,,,,,,
73,1979,1979-09-16,3,27.021,PIT,@,STL,W 24-21,,,,,,,,,,,,,,
74,1979,1979-09-23,4,27.028,PIT,,BAL,W 17-13,,,,,,,,,,,,,,
75,1979,1979-09-30,5,27.035,PIT,@,PHI,L 14-17,,,,,,,,,,,,,,
76,1979,1979-10-07,6,27.042,PIT,@,CLE,W 51-35,0,0,,0,0,0,,0,0,0,0.0,1,0,0
77,1979,1979-10-14,7,27.049,PIT,@,CIN,L 10-34,,,,,,,,,,,,,,
78,1979,1979-10-22,8,27.057,PIT,,DEN,W 42-7,0,0,,0,0,0,,0,0,0,0.0,1,0,0
79,1979,1979-10-28,9,27.063,PIT,,DAL,W 14-3,0,0,,0,0,0,,0,0,0,0.0,1,0,0
80,1979,1979-11-04,10,27.070,PIT,,WAS,W 38-7,0,0,,0,0,0,,0,0,0,0.0,1,2,0
81,1979,1979-11-11,11,27.077,PIT,@,KAN,W 30-3,,,,,,,,,,,,,,
82,1979,1979-11-18,12,27.084,PIT,@,SDG,L 7-35,,,,,,,,,,,,,,
83,1979,1979-11-25,13,27.091,PIT,,CLE,W 33-30,,,,,,,,,,,,,,
84,1979,1979-12-02,14,27.098,PIT,,CIN,W 37-17,,,,,,,,,,,,,,
85,1979,1979-12-10,15,27.106,PIT,@,HOU,L 17-20,,,,,,,,,,,,,,
86,1979,1979-12-16,16,27.112,PIT,,BUF,W 28-0,0,0,,0,0,0,,0,0,0,0.0,1,8,0
87,1980,1980-09-07,1,28.012,PIT,,HOU,W 31-17,0,0,,0,0,0,,0,0,0,0.0,2,76,0
88,1980,1980-09-14,2,28.019,PIT,@,BAL,W 20-17,0,0,,0,0,0,,0,0,0,0.0,1,25,0
89,1980,1980-09-21,3,28.026,PIT,@,CIN,L 28-30,,,,,,,,,,,,,,
90,1980,1980-09-28,4,28.033,PIT,,CHI,W 38-3,,,,,,,,,,,,,,
91,1980,1980-10-05,5,28.040,PIT,@,MIN,W 23-17,0,0,,0,0,0,,0,0,0,0.0,2,22,0
92,1980,1980-10-12,6,28.047,PIT,,CIN,L 16-17,,,,,,,,,,,,,,
93,1980,1980-10-20,7,28.055,PIT,,OAK,L 34-45,,,,,,,,,,,,,,
94,1980,1980-10-26,8,28.061,PIT,@,CLE,L 26-27,,,,,,,,,,,,,,
95,1980,1980-11-02,9,28.068,PIT,,GNB,W 22-20,0,0,,0,0,0,,0,0,0,0.0,1,5,0
96,1980,1980-11-09,10,28.075,PIT,@,TAM,W 24-21,0,0,,0,0,0,,0,0,0,0.0,1,7,0
97,1980,1980-11-16,11,28.082,PIT,,CLE,W 16-13,,,,,,,,,,,,,,
98,1980,1980-11-23,12,28.089,PIT,@,BUF,L 13-28,,,,,,,,,,,,,,
99,1980,1980-11-30,13,28.096,PIT,,MIA,W 23-10,,,,,,,,,,,,,,
100,1980,1980-12-04,14,28.100,PIT,@,HOU,L 0-6,,,,,,,,,,,,,,
101,1980,1980-12-14,15,28.110,PIT,,KAN,W 21-16,,,,,,,,,,,,,,
102,1980,1980-12-22,16,28.118,PIT,@,SDG,L 17-26,,,,,,,,,,,,,,
103,1981,1981-09-06,1,29.011,PIT,,KAN,L 33-37,,,,,,,,,,,,,,
104,1981,1981-09-10,2,29.015,PIT,@,MIA,L 10-30,,,,,,,,,,,,,,
105,1981,1981-09-20,3,29.025,PIT,,NYJ,W 38-10,,,,,,,,,,,,,,
106,1981,1981-09-27,4,29.032,PIT,,NWE,W 27-21,,,,,,,,,,,,,,
107,1981,1981-10-04,5,29.039,PIT,@,NOR,W 20-6,0,0,,0,0,0,,0,0,0,0.0,1,16,0
108,1981,1981-10-11,6,29.046,PIT,,CLE,W 13-7,,,,,,,,,,,,,,
109,1981,1981-11-01,9,29.067,PIT,,SFO,L 14-17,,,,,,,,,,,,,,
110,1981,1981-11-08,10,29.074,PIT,@,SEA,L 21-24,,,,,,,,,,,,,,
111,1981,1981-11-15,11,29.081,PIT,@,ATL,W 34-20,0,0,,0,0,0,,0,0,0,0.0,1,0,0
112,1981,1981-11-22,12,29.088,PIT,@,CLE,W 32-10,0,0,,0,0,0,,0,0,0,0.0,3,36,0
113,1981,1981-11-29,13,29.095,PIT,,RAM,W 24-0,,,,,,,,,,,,,,
114,1981,1981-12-07,14,29.103,PIT,@,OAK,L 27-30,,,,,,,,,,,,,,
115,1981,1981-12-13,15,29.109,PIT,,CIN,L 10-17,,,,,,,,,,,,,,
116,1981,1981-12-20,16,29.116,PIT,@,HOU,L 20-21,,,,,,,,,,,,,,
117,1982,1982-09-13,1,30.018,PIT,@,DAL,W 36-28,0,0,,0,0,0,,0,0,0,1.0,0,0,0
118,1982,1982-09-19,2,30.024,PIT,,CIN,W 26-20,0,0,,0,0,0,,0,0,0,0.0,2,0,0
119,1982,1982-11-21,3,30.087,PIT,@,HOU,W 24-10,0,0,,0,0,0,,0,0,0,0.0,2,4,0
120,1982,1982-11-28,4,30.094,PIT,@,SEA,L 0-16,,,,,,,,,,,,,,
121,1982,1982-12-05,5,30.101,PIT,,KAN,W 35-14,0,0,,0,0,0,,0,0,0,0.0,1,18,0
122,1982,1982-12-12,6,30.108,PIT,@,BUF,L 0-13,,,,,,,,,,,,,,
123,1982,1982-12-19,7,30.115,PIT,@,CLE,L 9-10,,,,,,,,,,,,,,
124,1982,1982-12-26,8,30.122,PIT,,NWE,W 37-14,,,,,,,,,,,,,,
125,1982,1983-01-02,9,30.129,PIT,,CLE,W 37-21,,,,,,,,,,,,0,5,0
126,1983,1983-09-04,1,31.009,PIT,,DEN,L 10-14,0,0,,0,0,0,,0,0,0,0.0,1,0,0
127,1983,1983-09-11,2,31.016,PIT,@,GNB,W 25-21,,,,,,,,,,,,,,
128,1983,1983-09-18,3,31.023,PIT,@,HOU,W 40-28,0,0,,0,0,0,,0,0,0,0.0,1,0,0
129,1983,1983-09-25,4,31.030,PIT,,NWE,L 23-28,,,,,,,,,,,,,,
130,1983,1983-10-02,5,31.037,PIT,,HOU,W 17-10,0,0,,0,0,0,,0,0,0,0.0,1,0,0
131,1983,1983-10-10,6,31.045,PIT,@,CIN,W 24-14,,,,,,,,,,,,,,
132,1983,1983-10-16,7,31.051,PIT,,CLE,W 44-17,,,,,,,,,,,,,,
133,1983,1983-10-23,8,31.058,PIT,@,SEA,W 27-21,,,,,,,,,,,,,,
134,1983,1983-10-30,9,31.065,PIT,,TAM,W 17-12,,,,,,,,,,,,,,
135,1983,1983-11-06,10,31.072,PIT,,SDG,W 26-3,,,,,,,,,,,,,,
136,1983,1983-11-13,11,31.079,PIT,@,BAL,W 24-13,0,0,,0,0,0,,0,0,0,0.0,1,0,0
137,1983,1983-11-20,12,31.086,PIT,,MIN,L 14-17,,,,,,,,,,,,,,
138,1983,1983-11-24,13,31.090,PIT,@,DET,L 3-45,,,,,,,,,,,,,,
139,1983,1983-12-04,14,31.100,PIT,,CIN,L 10-23,,,,,,,,,,,,,,
140,1983,1983-12-10,15,31.106,PIT,@,NYJ,W 34-7,0,0,,0,0,0,,0,0,0,0.0,1,18,0
141,1983,1983-12-18,16,31.114,PIT,@,CLE,L 17-30,,,,,,,,,,,,,,
142,1984,1984-09-02,1,32.007,PIT,,KAN,L 27-37,,,,,,,,,,,,,,
143,1984,1984-09-06,2,32.011,PIT,@,NYJ,W 23-17,,,,,,,,,,,,,,
144,1984,1984-09-16,3,32.021,PIT,,RAM,W 24-14,,,,,,,,,,,,,,
145,1984,1984-09-23,4,32.028,PIT,@,CLE,L 10-20,,,,,,,,,,,,,,
146,1984,1984-10-01,5,32.036,PIT,,CIN,W 38-17,0,0,,0,0,0,,0,1,6,0.0,2,56,1
147,1984,1984-10-07,6,32.042,PIT,,MIA,L 7-31,,,,,,,,,,,,,,
148,1984,1984-10-14,7,32.049,PIT,@,SFO,W 20-17,,,,,,,,,,,,,,
149,1984,1984-10-21,8,32.056,PIT,@,IND,L 16-17,,,,,,,,,,,,,,
150,1984,1984-10-28,9,32.063,PIT,,ATL,W 35-10,,,,,,,,,,,,,,
151,1984,1984-11-04,10,32.070,PIT,,HOU,W 35-7,,,,,,,,,,,,,,
152,1984,1984-11-11,11,32.077,PIT,@,CIN,L 20-22,,,,,,,,,,,,,,
153,1984,1984-11-19,12,32.085,PIT,@,NOR,L 24-27,,,,,,,,,,,,,,
154,1984,1984-11-25,13,32.091,PIT,,SDG,W 52-24,,,,,,,,,,,,,,
155,1984,1984-12-02,14,32.098,PIT,@,HOU,L 20-23,0,0,,0,0,0,,0,0,0,0.0,1,3,0
156,1984,1984-12-09,15,32.105,PIT,,CLE,W 23-20,0,0,,0,0,0,,0,0,0,0.0,2,1,0
157,1984,1984-12-16,16,32.112,PIT,@,RAI,W 13-7,0,0,,0,0,0,,0,0,0,0.0,2,1,0
158,1985,1985-09-08,1,33.013,PIT,,IND,W 45-3,,,,,,,,,,,,,,
159,1985,1985-09-16,2,33.021,PIT,@,CLE,L 7-17,,,,,,,,,,,,,,
160,1985,1985-09-22,3,33.027,PIT,,HOU,W 20-0,0,0,,0,0,0,,0,0,0,0.0,1,14,0
161,1985,1985-09-30,4,33.035,PIT,,CIN,L 24-37,,,,,,,,,,,,,,
162,1985,1985-10-06,5,33.041,PIT,@,MIA,L 20-24,,,,,,,,,,,,,,
163,1985,1985-10-13,6,33.048,PIT,@,DAL,L 13-27,,,,,,,,,,,,,,
164,1985,1985-10-20,7,33.055,PIT,,STL,W 23-10,,,,,,,,,,,,,,
165,1985,1985-10-27,8,33.062,PIT,@,CIN,L 21-26,0,0,,0,0,0,,0,0,0,0.0,1,26,0
166,1985,1985-11-03,9,33.069,PIT,,CLE,W 10-9,,,,,,,,,,,,,,
167,1985,1985-11-10,10,33.076,PIT,@,KAN,W 36-28,0,0,,0,0,0,,0,0,0,0.0,1,0,0
168,1985,1985-11-17,11,33.083,PIT,@,HOU,W 30-7,,,,,,,,,,,,,,
169,1985,1985-11-24,12,33.090,PIT,,WAS,L 23-30,,,,,,,,,,,,,,
170,1985,1985-12-01,13,33.097,PIT,,DEN,L 23-31,,,,,,,,,,,,,,
171,1985,1985-12-08,14,33.104,PIT,@,SDG,L 44-54,,,,,,,,,,,,,,
172,1985,1985-12-15,15,33.111,PIT,,BUF,W 30-24,0,0,,0,0,0,,0,0,0,0.0,1,0,0
173,1985,1985-12-21,16,33.117,PIT,@,NYG,L 10-28,,,,,,,,,,,,,,
174,1986,1986-09-07,1,34.012,PIT,@,SEA,L 0-30,,,,,,,,,,,,,,
175,1986,1986-09-15,2,34.020,PIT,,DEN,L 10-21,,,,,,,,,,,,,,
176,1986,1986-09-21,3,34.026,PIT,@,MIN,L 7-31,,,,,,,,,,,,,,
177,1986,1986-09-28,4,34.033,PIT,@,HOU,W 22-16,,,,,,,,,,,,,,
178,1986,1986-10-05,5,34.040,PIT,,CLE,L 24-27,,,,,,,,,,,,,,
179,1986,1986-10-13,6,34.048,PIT,@,CIN,L 22-24,0,0,,0,0,0,,0,0,0,0.0,1,12,0
180,1986,1986-10-19,7,34.054,PIT,,NWE,L 0-34,0,0,,0,0,0,,0,0,0,0.0,1,0,0
181,1986,1986-11-02,9,34.068,PIT,,GNB,W 27-3,,,,,,,,,,,,,,
182,1986,1986-11-09,10,34.075,PIT,@,BUF,L 12-16,,,,,,,,,,,,,,
183,1986,1986-11-16,11,34.082,PIT,,HOU,W 21-10,,,,,,,,,,,,,,
184,1986,1986-11-23,12,34.089,PIT,@,CLE,L 31-37,,,,,,,,,,,,,,
185,1986,1986-11-30,13,34.096,PIT,@,CHI,L 10-13,,,,,,,,,,,,,,
186,1986,1986-12-07,14,34.103,PIT,,DET,W 27-17,0,0,,0,0,0,,0,0,0,0.0,1,17,0
187,1986,1986-12-13,15,34.109,PIT,@,NYJ,W 45-24,,,,,,,,,,,,,,
188,1986,1986-12-21,16,34.117,PIT,,KAN,L 19-24,,,,,,,,,,,,,,
189,1987,1987-09-13,1,35.018,PIT,,SFO,W 30-17,,,,,,,,,,,,,,
190,1987,1987-09-20,2,35.025,PIT,@,CLE,L 10-34,,,,,,,,,,,,,,
191,1987,1987-10-18,5,35.053,PIT,,IND,W 21-7,,,,,,,,,,,,,,
192,1987,1987-10-25,6,35.060,PIT,,CIN,W 23-20,,,,,,,,,,,,,,
193,1987,1987-11-01,7,35.067,PIT,@,MIA,L 24-35,0,0,,0,0,0,,0,1,6,0.0,1,50,1
194,1987,1987-11-08,8,35.074,PIT,@,KAN,W 17-16,,,,,,,,,,,,,,
195,1987,1987-11-15,9,35.081,PIT,,HOU,L 3-23,,,,,,,,,,,,,,
196,1987,1987-11-22,10,35.088,PIT,@,CIN,W 30-16,,,,,,,,,,,,,,
197,1987,1987-11-29,11,35.095,PIT,,NOR,L 16-20,,,,,,,,,,,,,,
198,1987,1987-12-06,12,35.102,PIT,,SEA,W 13-9,,,,,,,,,,,,,,
199,1987,1987-12-13,13,35.109,PIT,@,SDG,W 20-16,,,,,,,,,,,,,,
200,1987,1987-12-20,14,35.116,PIT,@,HOU,L 16-24,,,,,,,,,,,,,,
201,1987,1987-12-26,15,35.122,PIT,,CLE,L 13-19,,,,,,,,,,,,,,
