ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.020,PIT,,BAL,W 30-0,,,,,,,,,,,,,,
2,1974,1974-09-22,2,22.027,PIT,@,DEN,T 35-35,,,,,,,,,,,,,,
3,1974,1974-09-29,3,22.034,PIT,,OAK,L 0-17,,,,,,,,,,,,,,
4,1974,1974-10-06,4,22.041,PIT,@,HOU,W 13-7,,,,,,,,,,,,,,
5,1974,1974-10-13,5,22.048,PIT,@,KAN,W 34-24,,,,,,,,,,,,,,
6,1974,1974-10-20,6,22.055,PIT,,CLE,W 20-16,,,,,,,,,,,,,,
7,1974,1974-10-28,7,22.063,PIT,,ATL,W 24-17,,,,,,,,,,,,,,
8,1974,1974-11-03,8,22.069,PIT,,PHI,W 27-0,,,,,,,,,,,,,,
9,1974,1974-11-10,9,22.076,PIT,@,CIN,L 10-17,,,,,,,,,,,,,,
10,1974,1974-11-17,10,22.083,PIT,@,CLE,W 26-16,,,,,,,,,,,,,,
11,1974,1974-11-25,11,22.091,PIT,@,NOR,W 28-7,,,,,,,,,,,,,,
12,1974,1974-12-01,12,22.097,PIT,,HOU,L 10-13,,,,,,,,,,,,,,
13,1974,1974-12-08,13,22.104,PIT,@,NWE,W 21-17,,,,,,,,,,,,,,
14,1974,1974-12-14,14,22.110,PIT,,CIN,W 27-3,0,0,,0,0,0,,0,0,0,0.0,1,0,0
15,1975,1975-09-21,1,23.026,PIT,@,SDG,W 37-0,1,19,19.00,0,0,0,,0,0,0,0.0,1,29,0
16,1975,1975-09-28,2,23.033,PIT,,BUF,L 21-30,,,,,,,,,,,,,,
17,1975,1975-10-05,3,23.040,PIT,@,CLE,W 42-6,,,,,,,,,,,,,,
18,1975,1975-10-12,4,23.047,PIT,,DEN,W 20-9,,,,,,,,,,,,,,
19,1975,1975-10-19,5,23.054,PIT,,CHI,W 34-3,1,20,20.00,0,0,0,,0,0,0,0.0,0,0,0
