ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1995,1995-09-03,1,23.054,BUF,@,DEN,L 7-22,,0,0,,0,,,,
2,1995,1995-09-10,2,23.061,BUF,,CAR,W 31-9,,1,12,12.00,0,0.0,0,0,0
3,1995,1995-09-17,3,23.068,BUF,,IND,W 20-14,,0,0,,0,,,,
4,1995,1995-10-02,4,23.083,BUF,@,CLE,W 22-19,,0,0,,0,,,,
5,1995,1995-10-08,5,23.089,BUF,,NYJ,W 29-10,,0,0,,0,,,,
6,1995,1995-10-15,6,23.096,BUF,,SEA,W 27-21,,0,0,,0,,,,
7,1995,1995-10-23,7,23.104,BUF,@,NWE,L 14-27,,0,0,,0,,,,
8,1995,1995-10-29,8,23.110,BUF,@,MIA,L 6-23,,0,0,,0,,,,
9,1995,1995-11-05,9,23.117,BUF,@,IND,W 16-10,,0,0,,0,,,,
10,1995,1995-11-12,10,23.124,BUF,,ATL,W 23-17,,0,0,,0,,,,
11,1995,1995-11-19,11,23.131,BUF,@,NYJ,W 28-26,,0,0,,0,,,,
12,1995,1995-11-26,12,23.138,BUF,,NWE,L 25-35,,0,0,,0,,,,
13,1995,1995-12-03,13,23.145,BUF,@,SFO,L 17-27,,0,0,,0,,,,
14,1995,1995-12-10,14,23.152,BUF,@,STL,W 45-27,,0,0,,0,,,,
15,1995,1995-12-17,15,23.159,BUF,,MIA,W 23-20,,0,0,,0,,,,
16,1995,1995-12-24,16,23.166,BUF,,HOU,L 17-28,,0,0,,0,,,,
17,1996,1996-09-01,1,24.052,BUF,@,NYG,W 23-20,,,,,,,,,
18,1996,1996-09-08,2,24.059,BUF,,NWE,W 17-10,,,,,,,,,
19,1996,1996-09-16,3,24.067,BUF,@,PIT,L 6-24,,,,,,,,,
20,1996,1996-09-22,4,24.073,BUF,,DAL,W 10-7,,,,,,,,,
21,1996,1996-10-06,5,24.087,BUF,,IND,W 16-13,,,,,,,,,
22,1996,1996-10-13,6,24.094,BUF,,MIA,L 7-21,,,,,,,,,
23,1996,1996-10-20,7,24.101,BUF,@,NYJ,W 25-22,,,,,,,,,
24,1996,1996-10-27,8,24.108,BUF,@,NWE,L 25-28,,,,,,,,,
25,1996,1996-11-03,9,24.115,BUF,,WAS,W 38-13,,,,,,,,,
26,1996,1996-11-10,10,24.122,BUF,@,PHI,W 24-17,,,,,,,,,
27,1996,1996-11-17,11,24.129,BUF,,CIN,W 31-17,,0,0,,0,1.0,0,0,0
28,1996,1996-11-24,12,24.136,BUF,,NYJ,W 35-10,,,,,,,,,
29,1996,1996-12-01,13,24.143,BUF,@,IND,L 10-13,,,,,,,,,
30,1996,1996-12-08,14,24.150,BUF,@,SEA,L 18-26,,0,0,,0,1.0,0,0,0
31,1996,1996-12-16,15,24.158,BUF,@,MIA,L 14-16,,,,,,,,,
32,1996,1996-12-22,16,24.164,BUF,,KAN,W 20-9,,,,,,,,,
33,1997,1997-08-31,1,25.051,BUF,,MIN,L 13-34,,,,,,,,,
34,1997,1997-09-07,2,25.058,BUF,@,NYJ,W 28-22,,,,,,,,,
35,1997,1997-09-14,3,25.065,BUF,@,KAN,L 16-22,,,,,,,,,
36,1997,1997-09-21,4,25.072,BUF,,IND,W 37-35,,0,0,,0,0.0,1,0,0
37,1997,1997-10-05,5,25.086,BUF,,DET,W 22-13,,,,,,,,,
38,1997,1997-10-12,6,25.093,BUF,@,NWE,L 6-33,,,,,,,,,
39,1997,1997-10-20,7,25.101,BUF,@,IND,W 9-6,,,,,,,,,
40,1997,1997-10-26,8,25.107,BUF,,DEN,L 20-23,,,,,,,,,
41,1997,1997-11-02,9,25.114,BUF,,MIA,W 9-6,,,,,,,,,
42,1997,1997-11-09,10,25.121,BUF,,NWE,L 10-31,,,,,,,,,
43,1997,1997-11-17,11,25.129,BUF,@,MIA,L 13-30,,,,,,,,,
44,1997,1997-11-23,12,25.135,BUF,@,TEN,L 14-31,,,,,,,,,
45,1997,1997-11-30,13,25.142,BUF,,NYJ,W 20-10,,,,,,,,,
46,1997,1997-12-07,14,25.149,BUF,@,CHI,L 3-20,,,,,,,,,
47,1997,1997-12-14,15,25.156,BUF,,JAX,L 14-20,,0,0,,0,0.0,1,28,0
48,1997,1997-12-20,16,25.162,BUF,@,GNB,L 21-31,,,,,,,,,
49,1998,1998-09-06,1,26.057,BUF,@,SDG,L 14-16,,,,,,,,,
50,1998,1998-09-13,2,26.064,BUF,@,MIA,L 7-13,,,,,,,,,
51,1998,1998-09-20,3,26.071,BUF,,STL,L 33-34,,,,,,,,,
52,1998,1998-10-04,4,26.085,BUF,,SFO,W 26-21,,,,,,,,,
53,1998,1998-10-11,5,26.092,BUF,@,IND,W 31-24,,,,,,,,,
54,1998,1998-10-18,6,26.099,BUF,,JAX,W 17-16,,,,,,,,,
55,1998,1998-10-25,7,26.106,BUF,@,CAR,W 30-14,,,,,,,,,
56,1998,1998-11-01,8,26.113,BUF,,MIA,W 30-24,,,,,,,,,
57,1998,1998-11-08,9,26.120,BUF,@,NYJ,L 12-34,,,,,,,,,
58,1998,1998-11-15,10,26.127,BUF,,NWE,W 13-10,,,,,,,,,
59,1998,1998-11-22,11,26.134,BUF,,IND,W 34-11,,0,0,,0,0.0,1,43,0
60,1998,1998-11-29,12,26.141,BUF,@,NWE,L 21-25,,,,,,,,,
61,1998,1998-12-06,13,26.148,BUF,@,CIN,W 33-20,,,,,,,,,
62,1998,1998-12-13,14,26.155,BUF,,OAK,W 44-21,,,,,,,,,
63,1998,1998-12-19,15,26.161,BUF,,NYJ,L 10-17,,,,,,,,,
64,1998,1998-12-27,16,26.169,BUF,@,NOR,W 45-33,,,,,,,,,
65,1999,1999-09-12,1,27.063,BUF,@,IND,L 14-31,*,,,,,,,,
66,1999,1999-09-19,2,27.070,BUF,,NYJ,W 17-3,*,,,,,,,,
67,1999,1999-09-26,3,27.077,BUF,,PHI,W 26-0,*,,,,,,,,
68,1999,1999-10-04,4,27.085,BUF,@,MIA,W 23-18,*,,,,,,,,
