ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-09-24,2,25.084,CHI,@,SFO,W 32-20,1,24,24.00,0,0,0,,0
2,1950,1950-10-01,3,25.091,CHI,@,GNB,L 21-31,1,6,6.00,0,1,4,4.00,0
3,1950,1950-11-26,10,25.147,CHI,,RAM,W 24-14,1,42,42.00,1,0,0,,0
4,1951,1951-10-07,2,26.097,CHI,@,CRD,L 14-28,3,31,10.33,0,1,3,3.00,0
5,1951,1951-11-04,6,26.125,CHI,@,WAS,W 27-0,1,8,8.00,1,0,0,,0
6,1951,1951-11-25,9,26.146,CHI,@,CLE,L 21-42,0,0,,0,1,2,2.00,0
7,1952,1952-11-02,6,27.123,CHI,@,SFO,W 20-17,0,0,,0,2,11,5.50,0
8,1952,1952-11-09,7,27.130,CHI,,GNB,L 28-41,0,0,,0,1,2,2.00,0
9,1954,1954-09-26,1,29.086,CHI,@,DET,L 23-48,2,19,9.50,0,2,-18,-9.00,0
10,1954,1954-10-03,2,29.093,CHI,@,GNB,W 10-3,0,0,,0,1,1,1.00,0
11,1954,1954-10-10,3,29.100,CHI,,BAL,W 28-9,0,0,,0,1,2,2.00,0
12,1954,1954-10-17,4,29.107,CHI,,SFO,L 24-31,1,7,7.00,0,0,0,,0
13,1954,1954-10-24,5,29.114,CHI,@,RAM,L 38-42,2,37,18.50,0,2,12,6.00,0
14,1954,1954-11-07,7,29.128,CHI,,GNB,W 28-23,2,22,11.00,0,0,0,,0
15,1954,1954-11-14,8,29.135,CHI,,CLE,L 10-39,1,7,7.00,0,4,-6,-1.50,0
16,1954,1954-11-28,10,29.149,CHI,,RAM,W 24-13,1,9,9.00,0,0,0,,0
17,1955,1955-09-25,1,30.085,CHI,@,BAL,L 17-23,1,5,5.00,0,0,0,,0
18,1955,1955-11-27,10,30.148,CHI,@,CRD,L 14-53,1,10,10.00,0,0,0,,0
