ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2001,2001-09-09,1,22.256,NOR,@,BUF,W 24-6,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,13,13.00,0,1,10,10.00,0,0,0
2,2001,2001-09-30,2,22.277,NOR,@,NYG,L 13-21,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
3,2001,2001-10-07,3,22.284,NOR,,MIN,W 28-15,,,,,,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,,
4,2001,2001-10-14,4,22.291,NOR,@,CAR,W 27-25,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
5,2001,2001-10-21,5,22.298,NOR,,ATL,L 13-20,,0,0,,0,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,,,,5,111,22.20,0,1,0,0.00,0,0,0
6,2001,2001-10-28,6,22.305,NOR,@,STL,W 34-31,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,6,171,28.50,0,1,4,4.00,0,0,0
7,2001,2001-11-04,7,22.312,NOR,,NYJ,L 9-16,,0,0,,0,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,6,131,21.83,0,1,10,10.00,0,0,0
8,2001,2001-11-11,8,22.319,NOR,@,SFO,L 27-28,,4,15,3.75,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,,,,3,59,19.67,0,0,0,,0,0,0
9,2001,2001-11-18,9,22.326,NOR,,IND,W 34-20,*,4,5,1.25,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,,,,4,124,31.00,0,0,0,,0,0,0
10,2001,2001-11-25,10,22.333,NOR,@,NWE,L 17-34,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,4,96,24.00,0,0,0,,0,0,0
11,2001,2001-12-02,11,22.340,NOR,,CAR,W 27-23,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,5,119,23.80,0,0,0,,0,0,0
12,2001,2001-12-09,12,22.347,NOR,@,ATL,W 28-10,*,1,54,54.00,1,2,1,8,8.00,0,50.0%,4.00,1,1,100.00,12,1,0,156.2,0,0,12.00,32.00,3,69,23.00,0,0,0,,0,1,6
13,2001,2001-12-17,13,22.355,NOR,,STL,L 21-34,,1,6,6.00,0,5,5,44,8.80,0,100.0%,8.80,0,0,,0,0,0,,0,,,,6,163,27.17,0,0,0,,0,0,0
14,2001,2001-12-23,14,22.361,NOR,@,TAM,L 21-48,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,,,2,35,17.50,0,0,0,,0,0,0
15,2001,2001-12-30,15,23.003,NOR,,WAS,L 10-40,*,1,2,2.00,0,5,4,62,15.50,1,80.0%,12.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
16,2001,2002-01-06,16,23.010,NOR,,SFO,L 0-38,,,,,,0,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,,
17,2002,2002-09-08,1,23.255,NOR,@,TAM,W 26-20,*,31,109,3.52,0,5,4,12,3.00,0,80.0%,2.40,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
18,2002,2002-09-15,2,23.262,NOR,,GNB,W 35-20,*,21,123,5.86,2,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12
19,2002,2002-09-22,3,23.269,NOR,@,CHI,W 29-23,*,17,45,2.65,0,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
20,2002,2002-09-29,4,23.276,NOR,@,DET,L 21-26,*,12,61,5.08,1,10,8,67,8.38,0,80.0%,6.70,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
21,2002,2002-10-06,5,23.283,NOR,,PIT,W 32-29,*,23,123,5.35,2,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12
22,2002,2002-10-13,6,23.290,NOR,@,WAS,W 43-27,*,29,121,4.17,0,3,1,-2,-2.00,0,33.3%,-0.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
23,2002,2002-10-20,7,23.297,NOR,,SFO,W 35-27,*,21,139,6.62,0,7,5,35,7.00,1,71.4%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
24,2002,2002-10-27,8,23.304,NOR,,ATL,L 35-37,*,17,115,6.76,2,7,5,56,11.20,1,71.4%,8.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,3,18
25,2002,2002-11-10,9,23.318,NOR,@,CAR,W 34-24,*,21,71,3.38,2,5,4,34,8.50,0,80.0%,6.80,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12
26,2002,2002-11-17,10,23.325,NOR,@,ATL,L 17-24,*,13,43,3.31,0,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
27,2002,2002-12-01,12,23.339,NOR,,TAM,W 23-20,*,27,99,3.67,1,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
28,2002,2002-12-08,13,23.346,NOR,@,BAL,W 37-25,*,32,127,3.97,3,8,3,10,3.33,0,37.5%,1.25,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,3,18
29,2002,2002-12-15,14,23.353,NOR,,MIN,L 31-32,*,18,69,3.83,0,6,3,27,9.00,1,50.0%,4.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
30,2002,2002-12-22,15,23.360,NOR,@,CIN,L 13-20,*,15,26,1.73,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
31,2002,2002-12-29,16,24.002,NOR,,CAR,L 6-10,*,28,117,4.18,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,8,,,0,0,,0,0,0,,0,0,0
32,2003,2003-09-07,1,24.254,NOR,@,SEA,L 10-27,*,22,99,4.50,0,10,8,35,4.38,0,80.0%,3.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
33,2003,2003-09-14,2,24.261,NOR,,HOU,W 31-10,*,20,96,4.80,1,5,4,16,4.00,0,80.0%,3.20,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
34,2003,2003-09-21,3,24.268,NOR,@,TEN,L 12-27,*,11,8,0.73,0,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
35,2003,2003-09-28,4,24.275,NOR,,IND,L 21-55,*,17,101,5.94,1,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
36,2003,2003-10-05,5,24.282,NOR,@,CAR,L 13-19,*,23,124,5.39,0,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
37,2003,2003-10-12,6,24.289,NOR,,CHI,W 20-13,*,29,116,4.00,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
38,2003,2003-10-19,7,24.296,NOR,@,ATL,W 45-17,*,21,116,5.52,2,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12
39,2003,2003-10-26,8,24.303,NOR,,CAR,L 20-23,*,26,101,3.88,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
