ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-10-04,3,24.137,MIA,@,SEA,L 20-24,5,189,37.80,0
2,1987,1987-10-11,4,24.144,MIA,,KAN,W 42-0,4,149,37.25,0
3,1987,1987-10-18,5,24.151,MIA,@,NYJ,L 31-37,5,164,32.80,0
