ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1985,1985-10-20,7,21.360,MIA,,TAM,W 41-38,,,
2,1985,1985-10-27,8,22.002,MIA,@,DET,L 21-31,,,
3,1985,1985-11-03,9,22.009,MIA,@,NWE,L 13-17,,,
4,1985,1985-11-10,10,22.016,MIA,,NYJ,W 21-17,,,
5,1985,1985-11-17,11,22.023,MIA,@,IND,W 34-20,,,
6,1985,1985-11-24,12,22.030,MIA,@,BUF,W 23-14,,,
7,1985,1985-12-02,13,22.038,MIA,,CHI,W 38-24,,,
8,1985,1985-12-08,14,22.044,MIA,@,GNB,W 34-24,1,4,0
9,1985,1985-12-16,15,22.052,MIA,,NWE,W 30-27,,,
10,1985,1985-12-22,16,22.058,MIA,,BUF,W 28-0,,,
11,1986,1986-09-28,4,22.338,MIA,,SFO,L 16-31,,,
12,1986,1986-10-05,5,22.345,MIA,@,NWE,L 7-34,,,
13,1986,1986-10-12,6,22.352,MIA,,BUF,W 27-14,,,
