ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1985,1985-10-20,7,25.039,NOR,@,ATL,L 24-31,0,0,,0,0,0,,0,0,0,,0
2,1985,1985-10-27,8,25.046,NOR,,NYG,L 13-21,0,0,,0,0,0,,0,0,0,,0
3,1985,1985-11-03,9,25.053,NOR,@,RAM,L 10-28,3,27,9.00,0,0,0,,0,0,0,,0
4,1985,1985-11-10,10,25.060,NOR,,SEA,L 3-27,0,0,,0,0,0,,0,0,0,,0
5,1985,1985-11-17,11,25.067,NOR,@,GNB,L 14-38,0,0,,0,1,1,1.00,0,0,0,,0
6,1985,1985-11-24,12,25.074,NOR,@,MIN,W 30-23,0,0,,0,0,0,,0,1,23,23.00,0
7,1985,1985-12-01,13,25.081,NOR,,RAM,W 29-3,0,0,,0,0,0,,0,0,0,,0
8,1985,1985-12-08,14,25.088,NOR,@,STL,L 16-28,0,0,,0,0,0,,0,1,19,19.00,0
9,1985,1985-12-15,15,25.095,NOR,,SFO,L 19-31,0,0,,0,0,0,,0,1,20,20.00,0
10,1985,1985-12-22,16,25.102,NOR,,ATL,L 10-16,2,16,8.00,0,1,3,3.00,0,1,16,16.00,0
