ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1978,1978-09-03,1,24.227,SFO,@,CLE,L 7-24,*,16,32,50.00,174,1,3,37.8,0,0,5.44,1.84,2,0,0.00,0,0,0
2,1978,1978-09-10,2,24.234,SFO,,CHI,L 13-16,*,12,32,37.50,112,1,3,19.3,0,0,3.50,-0.09,0,0,,0,0,0
3,1978,1978-09-17,3,24.241,SFO,@,HOU,L 19-20,*,20,32,62.50,321,2,1,103.8,0,0,10.03,9.88,1,1,1.00,0,0,0
4,1978,1978-09-24,4,24.248,SFO,@,NYG,L 10-27,*,11,33,33.33,112,0,4,4.4,0,0,3.39,-2.06,2,2,1.00,1,1,6
5,1978,1978-10-01,5,24.255,SFO,,CIN,W 28-12,*,8,17,47.06,66,2,2,57.1,0,0,3.88,0.94,0,0,,0,0,0
6,1978,1978-10-08,6,24.262,SFO,@,RAM,L 10-27,*,7,26,26.92,83,0,1,24.4,0,0,3.19,1.46,0,0,,0,0,0
7,1978,1978-10-15,7,24.269,SFO,,NOR,L 7-14,*,16,37,43.24,147,1,2,41.2,0,0,3.97,2.08,0,0,,0,0,0
8,1978,1978-10-22,8,24.276,SFO,,ATL,L 17-20,*,8,22,36.36,79,0,0,47.3,0,0,3.59,3.59,3,7,2.33,0,0,0
9,1978,1978-10-29,9,24.283,SFO,@,WAS,L 20-38,*,19,33,57.58,215,0,3,39.3,0,0,6.52,2.42,2,1,0.50,0,0,0
10,1978,1978-11-05,10,24.290,SFO,@,ATL,L 10-21,*,6,20,30.00,75,0,1,21.9,0,0,3.75,1.50,4,4,1.00,0,0,0
11,1978,1978-12-10,15,24.325,SFO,,TAM,W 6-3,,11,15,73.33,89,0,2,48.3,0,0,5.93,-0.07,1,5,5.00,0,0,0
12,1978,1978-12-17,16,24.332,SFO,@,DET,L 14-33,*,3,3,100.00,97,1,0,158.3,0,0,32.33,39.00,0,0,,0,0,0
13,1979,1979-09-02,1,25.226,SFO,@,MIN,L 22-28,*,29,42,69.05,262,1,2,73.7,0,0,6.24,4.57,1,1,1.00,0,0,0
14,1979,1979-09-09,2,25.233,SFO,,DAL,L 13-21,*,19,33,57.58,239,0,1,67.6,0,0,7.24,5.88,0,0,,0,0,0
15,1979,1979-09-16,3,25.240,SFO,@,RAM,L 24-27,*,15,29,51.72,138,2,0,88.0,0,0,4.76,6.14,0,0,,0,0,0
16,1979,1979-09-23,4,25.247,SFO,,NOR,L 21-30,*,18,33,54.55,263,2,3,63.1,0,0,7.97,5.09,1,1,1.00,0,0,0
17,1979,1979-09-30,5,25.254,SFO,@,SDG,L 9-31,*,13,23,56.52,147,0,2,39.6,0,0,6.39,2.48,1,0,0.00,0,0,0
18,1979,1979-10-07,6,25.261,SFO,,SEA,L 24-35,*,31,40,77.50,306,1,1,96.5,0,0,7.65,7.03,0,0,,0,0,0
19,1979,1979-10-14,7,25.268,SFO,@,NYG,L 16-32,*,27,48,56.25,242,2,2,66.5,0,0,5.04,4.00,0,0,,0,0,0
20,1979,1979-10-21,8,25.275,SFO,,ATL,W 20-15,*,24,37,64.86,245,0,1,72.5,0,0,6.62,5.41,3,9,3.00,0,0,0
21,1979,1979-10-28,9,25.282,SFO,,CHI,L 27-28,*,26,41,63.41,348,3,2,94.4,0,0,8.49,7.76,0,0,,0,0,0
