ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,22.037,IND,@,MIN,W 18-15,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2008,2008-09-21,3,22.044,IND,,JAX,L 21-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2008,2008-10-05,4,22.058,IND,@,HOU,W 31-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,1
4,2008,2008-10-12,5,22.065,IND,,BAL,W 31-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0,,0,0,0,0.0,0,0
5,2008,2008-10-19,6,22.072,IND,@,GNB,L 14-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,70,17.50,0,0,0,,0,0,0,0.0,0,0
6,2008,2008-10-27,7,22.080,IND,@,TEN,L 21-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,6,150,25.00,0,1,5,5.00,0,0,0,0.0,0,0
7,2008,2008-11-02,8,22.086,IND,,NWE,W 18-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,93,23.25,0,0,0,,0,0,0,0.0,0,0
8,2008,2008-11-09,9,22.093,IND,@,PIT,W 24-20,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,5,85,17.00,0,0,0,,0,0,0,0.0,0,1
9,2008,2008-11-16,10,22.100,IND,,HOU,W 33-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2008,2008-11-23,11,22.107,IND,@,SDG,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2008,2008-11-30,12,22.114,IND,@,CLE,W 10-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2008,2008-12-07,13,22.121,IND,,CIN,W 35-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2008,2008-12-18,15,22.132,IND,@,JAX,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,32,32.00,0,0,0,,0,0,0,0.0,0,0
14,2008,2008-12-28,16,22.142,IND,,TEN,W 23-0,,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,1,22,22.00,0,0,0,,0,0,0,0.0,0,0
15,2009,2009-09-13,1,23.036,IND,,JAX,W 14-12,,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2009,2009-09-21,2,23.044,IND,@,MIA,W 27-23,*,3,1,48,48.00,1,33.3%,16.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
17,2009,2009-09-27,3,23.050,IND,@,ARI,W 31-10,*,5,3,64,21.33,1,60.0%,12.80,1,17,17.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,1,0
18,2009,2009-10-04,4,23.057,IND,,SEA,W 34-17,*,4,3,71,23.67,0,75.0%,17.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2009,2009-10-11,5,23.064,IND,@,TEN,W 31-9,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2009,2009-10-25,6,23.078,IND,@,STL,W 42-6,*,8,3,24,8.00,0,37.5%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2009,2009-11-01,7,23.085,IND,,SFO,W 18-14,*,7,4,53,13.25,0,57.1%,7.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2009,2009-11-08,8,23.092,IND,,HOU,W 20-17,*,9,5,60,12.00,0,55.6%,6.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2009,2009-11-15,9,23.099,IND,,NWE,W 35-34,*,11,3,50,16.67,1,27.3%,4.55,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,1,0
24,2009,2009-11-22,10,23.106,IND,@,BAL,W 17-15,*,8,6,108,18.00,0,75.0%,13.50,1,-7,-7.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
25,2009,2009-11-29,11,23.113,IND,@,HOU,W 35-27,*,7,5,63,12.60,1,71.4%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
26,2009,2009-12-06,12,23.120,IND,,TEN,W 27-17,*,10,6,136,22.67,0,60.0%,13.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
