ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1962,1962-09-30,3,21.312,PIT,,NYG,L 27-31,1,18,18.00,0,0,0,,0,0,0,,0
2,1962,1962-10-21,6,21.333,PIT,,DAL,L 27-42,1,40,40.00,0,0,0,,0,0,0,,0
3,1962,1962-11-04,8,21.347,PIT,,MIN,W 39-31,2,30,15.00,0,2,21,10.50,0,0,0,,0
4,1962,1962-11-11,9,21.354,PIT,@,STL,W 26-17,0,0,,0,1,-4,-4.00,0,0,0,,0
5,1962,1962-11-18,10,21.361,PIT,,WAS,W 23-21,1,19,19.00,0,0,0,,0,0,0,,0
6,1962,1962-11-25,11,22.003,PIT,@,CLE,L 14-35,2,74,37.00,0,2,3,1.50,0,0,0,,0
7,1962,1962-12-09,13,22.017,PIT,@,PHI,W 26-17,1,12,12.00,0,0,0,,0,0,0,,0
8,1962,1962-12-16,14,22.024,PIT,@,WAS,W 27-24,0,0,,0,1,18,18.00,0,0,0,,0
9,1963,1963-09-15,1,22.297,PIT,@,PHI,T 21-21,2,27,13.50,0,0,0,,0,0,0,,0
10,1964,1964-09-20,2,23.303,PIT,,NYG,W 27-24,1,13,13.00,0,0,0,,0,0,0,,0
11,1964,1964-11-01,8,23.345,PIT,,CLE,L 17-30,1,19,19.00,0,0,0,,0,0,0,,0
12,1964,1964-11-08,9,23.352,PIT,@,STL,L 30-34,1,43,43.00,0,0,0,,0,0,0,,0
13,1964,1964-11-15,10,23.359,PIT,,WAS,L 0-30,2,25,12.50,0,0,0,,0,0,0,,0
14,1964,1964-11-22,11,24.000,PIT,@,NYG,W 44-17,0,0,,0,0,0,,0,2,0,0.00,0
15,1964,1964-11-29,12,24.007,PIT,,STL,L 20-21,1,13,13.00,0,0,0,,0,0,0,,0
16,1966,1966-12-11,13,26.019,WAS,@,DAL,W 34-31,1,9,9.00,0,0,0,,0,0,0,,0
17,1967,1967-10-15,5,26.327,WAS,@,ATL,T 20-20,3,39,13.00,0,0,0,,0,0,0,,0
18,1967,1967-10-22,6,26.334,WAS,@,RAM,T 28-28,1,8,8.00,0,0,0,,0,0,0,,0
19,1967,1967-10-29,7,26.341,WAS,,BAL,L 13-17,3,35,11.67,0,0,0,,0,0,0,,0
20,1967,1967-11-12,9,26.355,WAS,,SFO,W 31-28,2,13,6.50,0,0,0,,0,0,0,,0
21,1967,1967-11-19,10,26.362,WAS,@,DAL,W 27-20,0,0,,0,0,0,,0,1,2,2.00,0
