ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1954,1954-09-26,1,22.072,GNB,,PIT,L 20-21,1,8,8.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
2,1954,1954-10-10,3,22.086,GNB,,SFO,L 17-23,2,27,13.50,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
3,1954,1954-10-17,4,22.093,GNB,,RAM,W 35-17,3,58,19.33,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
4,1954,1954-10-24,5,22.100,GNB,@,BAL,W 7-6,3,34,11.33,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
5,1954,1954-10-30,6,22.106,GNB,@,PHI,W 37-14,3,104,34.67,3,0,0,,0,0,0,,0,0,,,,,,,3,,,,,
6,1954,1954-11-07,7,22.114,GNB,@,CHI,L 23-28,5,77,15.40,2,0,0,,0,0,0,,0,0,,,,,,,2,,,,,
7,1954,1954-11-13,8,22.120,GNB,,BAL,W 24-13,4,57,14.25,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
8,1954,1954-11-21,9,22.128,GNB,,DET,L 17-21,2,22,11.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
9,1954,1954-11-25,10,22.132,GNB,@,DET,L 24-28,1,82,82.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
10,1954,1954-12-05,11,22.142,GNB,@,SFO,L 0-35,3,40,13.33,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
11,1954,1954-12-12,12,22.149,GNB,@,RAM,L 27-35,9,105,11.67,1,1,9,9.00,0,0,0,,0,0,,,,,,,1,,,,,
12,1957,1957-10-20,4,25.096,GNB,,SFO,L 14-24,3,65,21.67,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
13,1957,1957-10-27,5,25.103,GNB,@,BAL,W 24-21,1,18,18.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
14,1957,1957-11-03,6,25.110,GNB,,NYG,L 17-31,1,15,15.00,0,1,7,7.00,0,0,0,,0,0,,,,,,,0,,,,,
15,1957,1957-11-10,7,25.117,GNB,@,CHI,L 14-21,2,30,15.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
16,1957,1957-11-17,8,25.124,GNB,,RAM,L 27-31,5,58,11.60,0,1,0,0.00,0,0,0,,0,0,,,,,,,0,,,,,
17,1957,1957-11-24,9,25.131,GNB,@,PIT,W 27-10,1,13,13.00,0,1,12,12.00,0,0,0,,0,0,,,,,,,0,,,,,
18,1957,1957-11-28,10,25.135,GNB,@,DET,L 6-18,1,6,6.00,0,1,-3,-3.00,0,0,0,,0,0,,,,,,,0,,,,,
19,1957,1957-12-08,11,25.145,GNB,@,RAM,L 17-42,3,68,22.67,1,1,24,24.00,0,0,0,,0,0,,,,,,,1,,,,,
20,1958,1958-09-28,1,26.074,GNB,,CHI,L 20-34,2,69,34.50,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
21,1958,1958-10-05,2,26.081,GNB,,DET,T 13-13,2,50,25.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
22,1958,1958-10-12,3,26.088,GNB,,BAL,L 17-24,2,27,13.50,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
23,1958,1958-10-19,4,26.095,GNB,@,WAS,L 21-37,1,80,80.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
24,1958,1958-10-26,5,26.102,GNB,,PHI,W 38-35,6,100,16.67,2,0,0,,0,0,0,,0,0,,,,,,,2,,,,,
25,1958,1958-11-02,6,26.109,GNB,@,BAL,L 0-56,3,58,19.33,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
26,1958,1958-11-09,7,26.116,GNB,@,CHI,L 10-24,3,21,7.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
27,1958,1958-11-16,8,26.123,GNB,,RAM,L 7-20,5,76,15.20,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
28,1958,1958-11-23,9,26.130,GNB,,SFO,L 12-33,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
29,1958,1958-11-27,10,26.134,GNB,@,DET,L 14-24,4,54,13.50,1,1,9,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,,,,,
30,1958,1958-12-07,11,26.144,GNB,@,SFO,L 21-48,4,47,11.75,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
31,1958,1958-12-14,12,26.151,GNB,@,RAM,L 20-34,4,69,17.25,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
32,1959,1959-09-27,1,27.073,GNB,,CHI,W 9-6,1,67,67.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
33,1959,1959-10-04,2,27.080,GNB,,DET,W 28-10,3,124,41.33,2,0,0,,0,0,0,,0,0,,,,,,,2,,,,,
34,1959,1959-10-11,3,27.087,GNB,,SFO,W 21-20,2,40,20.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
35,1959,1959-10-18,4,27.094,GNB,,RAM,L 6-45,2,16,8.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
36,1959,1959-10-25,5,27.101,GNB,@,BAL,L 21-38,3,110,36.67,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
37,1959,1959-11-15,8,27.122,GNB,,BAL,L 24-28,4,65,16.25,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
38,1959,1959-11-22,9,27.129,GNB,,WAS,W 21-0,5,75,15.00,1,0,0,,0,0,0,,0,0,,,,,,,1,,,,,
39,1959,1959-11-26,10,27.133,GNB,@,DET,W 24-17,2,30,15.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
40,1959,1959-12-06,11,27.143,GNB,@,RAM,W 38-20,4,77,19.25,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
41,1959,1959-12-13,12,27.150,GNB,@,SFO,W 36-14,4,91,22.75,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,
42,1960,1960-09-25,1,28.071,GNB,,CHI,L 14-17,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,172,43.00,0
43,1960,1960-10-02,2,28.078,GNB,,DET,W 28-9,3,61,20.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,3,120,40.00,0
44,1960,1960-10-09,3,28.085,GNB,,BAL,W 35-21,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,45,45.00,0
45,1960,1960-10-23,4,28.099,GNB,,SFO,W 41-14,5,110,22.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
46,1960,1960-10-30,5,28.106,GNB,@,PIT,W 19-13,3,57,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
47,1960,1960-11-06,6,28.113,GNB,@,BAL,L 24-38,3,55,18.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
48,1960,1960-11-13,7,28.120,GNB,,DAL,W 41-7,4,79,19.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
49,1960,1960-11-20,8,28.127,GNB,,RAM,L 31-33,4,71,17.75,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
50,1960,1960-11-24,9,28.131,GNB,@,DET,L 10-23,3,70,23.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,7,278,39.71,0
51,1960,1960-12-04,10,28.141,GNB,@,CHI,W 41-13,6,121,20.17,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,5,220,44.00,0
52,1960,1960-12-10,11,28.147,GNB,@,SFO,W 13-0,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,6,216,36.00,1
53,1960,1960-12-17,12,28.154,GNB,@,RAM,W 35-21,4,125,31.25,2,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,2,12,5,237,47.40,0
54,1961,1961-09-17,1,29.063,GNB,,DET,L 13-17,7,127,18.14,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
55,1961,1961-09-24,2,29.070,GNB,,SFO,W 30-10,3,52,17.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
56,1961,1961-10-01,3,29.077,GNB,,CHI,W 24-0,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,40,40.00,0
57,1961,1961-10-08,4,29.084,GNB,,BAL,W 45-7,3,42,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
58,1961,1961-10-15,5,29.091,GNB,@,CLE,W 49-17,5,120,24.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,1,40,40.00,0
59,1961,1961-10-22,6,29.098,GNB,@,MIN,W 33-7,3,53,17.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
60,1961,1961-10-29,7,29.105,GNB,,MIN,W 28-10,6,102,17.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
61,1961,1961-11-05,8,29.112,GNB,@,BAL,L 21-45,1,29,29.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
62,1961,1961-11-12,9,29.119,GNB,@,CHI,W 31-28,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
63,1961,1961-11-19,10,29.126,GNB,,RAM,W 35-17,5,90,18.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,1,44,44.00,0
64,1961,1961-11-23,11,29.130,GNB,@,DET,W 17-9,6,92,15.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,185,37.00,0
65,1961,1961-12-03,12,29.140,GNB,,NYG,W 20-17,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,160,40.00,0
66,1961,1961-12-10,13,29.147,GNB,@,SFO,L 21-22,5,88,17.60,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,1,51,51.00,0
67,1962,1962-09-16,1,30.062,GNB,,MIN,W 34-7,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
68,1962,1962-09-23,2,30.069,GNB,,STL,W 17-0,2,33,16.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
69,1962,1962-09-30,3,30.076,GNB,,CHI,W 49-0,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
70,1962,1962-10-07,4,30.083,GNB,,DET,W 9-7,5,69,13.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
71,1962,1962-10-14,5,30.090,GNB,@,MIN,W 48-21,10,159,15.90,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,,0
72,1962,1962-10-21,6,30.097,GNB,,SFO,W 31-13,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
73,1962,1962-10-28,7,30.104,GNB,@,BAL,W 17-6,3,51,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
74,1962,1962-11-04,8,30.111,GNB,@,CHI,W 38-7,4,58,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
75,1962,1962-11-11,9,30.118,GNB,@,PHI,W 49-0,7,174,24.86,0,1,36,36.00,0,0,0,,0,0,0,,0,0,,,0,0,1,30,30.00,0
76,1962,1962-11-18,10,30.125,GNB,,BAL,W 17-13,2,26,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
77,1962,1962-11-22,11,30.129,GNB,@,DET,L 14-26,2,37,18.50,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,3,112,37.33,0
78,1962,1962-12-02,12,30.139,GNB,,RAM,W 41-10,4,67,16.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,3,136,45.33,0
