ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1962,1962-10-14,5,23.086,PHI,@,DAL,L 19-41,1,11,11.00,0,0,0,,0,0,0
2,1962,1962-11-25,11,23.128,PHI,,DAL,W 28-14,1,44,44.00,0,0,0,,0,0,0
3,1962,1962-12-02,12,23.135,PHI,@,WAS,W 37-14,2,63,31.50,1,0,0,,0,1,6
4,1962,1962-12-16,14,23.149,PHI,@,STL,L 35-45,1,12,12.00,0,0,0,,0,0,0
5,1963,1963-09-15,1,24.057,WAS,@,CLE,L 14-37,0,0,,0,1,29,29.00,0,0,0
6,1963,1963-09-29,3,24.071,WAS,,DAL,W 21-17,0,0,,0,1,25,25.00,0,0,0
7,1963,1963-10-13,5,24.085,WAS,,PHI,L 24-37,1,22,22.00,0,1,19,19.00,0,0,0
8,1963,1963-10-20,6,24.092,WAS,@,PIT,L 27-38,0,0,,0,2,50,25.00,0,0,0
9,1963,1963-11-10,9,24.113,WAS,@,STL,L 20-24,1,50,50.00,0,0,0,,0,0,0
10,1963,1963-11-17,10,24.120,WAS,,PIT,L 28-34,1,17,17.00,0,1,33,33.00,0,0,0
11,1963,1963-12-08,13,24.141,WAS,@,NYG,L 14-44,2,17,8.50,0,3,73,24.33,0,0,0
12,1963,1963-12-15,14,24.148,WAS,,CLE,L 20-27,0,0,,0,1,23,23.00,0,0,0
