ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,26.284,WAS,@,BAL,W 38-14,1,17,17.00,0
2,1950,1950-09-24,2,26.291,WAS,@,GNB,L 21-35,1,7,7.00,0
3,1950,1950-11-19,9,26.347,WAS,@,CLE,L 14-20,1,9,9.00,0
4,1950,1950-11-26,10,26.354,WAS,,BAL,W 38-28,5,24,4.80,0
5,1950,1950-12-03,11,26.361,WAS,@,PIT,W 24-7,1,7,7.00,0
6,1950,1950-12-10,12,27.003,WAS,,CLE,L 21-45,1,15,15.00,0
7,1951,1951-10-14,3,27.311,WAS,@,CLE,L 0-45,1,21,21.00,0
8,1951,1951-12-09,11,28.002,WAS,@,CRD,W 20-17,1,8,8.00,1
9,1951,1951-12-16,12,28.009,WAS,,PIT,L 10-20,1,16,16.00,1
10,1952,1952-09-29,1,28.297,WAS,@,CRD,W 23-7,1,8,8.00,0
