ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,23.007,PHI,@,WAS,L 24-34,0,0,,0,0,0,,0,,,,
2,1987,1987-09-20,2,23.014,PHI,,NOR,W 27-17,0,0,,0,0,0,,0,,,,
3,1987,1987-10-25,6,23.049,PHI,,DAL,W 37-20,0,0,,0,0,0,,0,,,,
4,1987,1987-11-01,7,23.056,PHI,@,STL,W 28-23,0,0,,0,0,0,,0,0.0,1,9,0
5,1987,1987-11-08,8,23.063,PHI,,WAS,W 31-27,1,13,13.00,0,0,0,,0,0.0,0,0,0
6,1987,1987-11-15,9,23.070,PHI,,NYG,L 17-20,0,0,,0,0,0,,0,,,,
7,1987,1987-11-22,10,23.077,PHI,,STL,L 19-31,0,0,,0,1,-1,-1.00,0,1.0,0,0,0
8,1987,1987-11-29,11,23.084,PHI,@,NWE,W 34-31,0,0,,0,0,0,,0,,,,
9,1987,1987-12-06,12,23.091,PHI,@,NYG,L 20-23,0,0,,0,0,0,,0,,,,
10,1987,1987-12-13,13,23.098,PHI,,MIA,L 10-28,0,0,,0,0,0,,0,,,,
11,1987,1987-12-20,14,23.105,PHI,@,NYJ,W 38-27,0,0,,0,0,0,,0,,,,
12,1987,1987-12-27,15,23.112,PHI,,BUF,W 17-7,0,0,,0,0,0,,0,,,,
