ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1996,1996-09-30,5,24.010,PHI,,DAL,L 19-23,,0,0,,0,0,0,,0,,,,0,0,,0
2,1997,1997-11-10,10,25.051,PHI,,SFO,L 12-24,,8,14,57.14,94,1,0,101.5,3,19,6.71,8.14,0,0,,0
3,1997,1997-11-16,11,25.057,PHI,@,BAL,T 10-10,*,26,38,68.42,276,0,0,89.4,9,66,7.26,7.26,1,6,6.00,0
4,1997,1997-11-23,12,25.064,PHI,,PIT,W 23-20,*,15,31,48.39,246,2,0,97.0,3,17,7.94,9.23,5,-4,-0.80,0
5,1997,1997-11-30,13,25.071,PHI,,CIN,W 44-42,*,26,42,61.90,313,4,1,106.5,2,2,7.45,8.29,5,62,12.40,0
6,1997,1997-12-07,14,25.078,PHI,,NYG,L 21-31,*,16,35,45.71,209,1,3,38.9,4,23,5.97,2.69,1,6,6.00,0
7,1997,1997-12-14,15,25.085,PHI,@,ATL,L 17-20,*,16,34,47.06,180,1,1,60.9,1,9,5.29,4.56,2,6,3.00,0
8,1997,1997-12-21,16,25.092,PHI,@,WAS,L 32-35,*,21,31,67.74,255,2,1,100.9,6,47,8.23,8.06,2,2,1.00,0
9,1998,1998-09-06,1,25.351,PHI,,SEA,L 0-38,*,9,23,39.13,60,0,1,29.1,9,51,2.61,0.65,3,13,4.33,0
10,1998,1998-09-13,2,25.358,PHI,@,ATL,L 12-17,*,24,35,68.57,232,0,0,86.8,2,11,6.63,6.63,4,18,4.50,0
11,1998,1998-09-20,3,26.000,PHI,@,ARI,L 3-17,*,13,23,56.52,121,0,1,53.0,1,7,5.26,3.30,3,18,6.00,0
12,1998,1998-10-04,5,26.014,PHI,@,DEN,L 16-41,*,11,24,45.83,96,0,1,39.6,6,32,4.00,2.13,1,6,6.00,0
13,1998,1998-11-02,8,26.043,PHI,,DAL,L 0-34,,13,39,33.33,124,0,2,21.7,3,20,3.18,0.87,2,5,2.50,0
14,1998,1998-11-08,9,26.049,PHI,,DET,W 10-9,*,15,21,71.43,97,0,0,80.9,5,27,4.62,4.62,2,-4,-2.00,0
15,1998,1998-11-15,10,26.056,PHI,@,WAS,L 3-28,*,15,31,48.39,110,0,2,30.3,5,23,3.55,0.65,3,5,1.67,0
16,1998,1998-11-22,11,26.063,PHI,@,NYG,L 0-20,*,14,28,50.00,121,0,2,32.0,6,24,4.32,1.11,4,23,5.75,0
17,1999,1999-10-31,8,27.041,OAK,,MIA,L 9-16,,2,3,66.67,10,0,0,71.5,0,0,3.33,3.33,0,0,,0
18,1999,1999-12-19,14,27.090,OAK,,TAM,W 45-0,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-3,-1.50,0
19,2000,2000-09-17,3,27.363,OAK,,DEN,L 24-33,,,,,,,,,0,,,,,,,
20,2000,2000-09-24,4,28.004,OAK,,CLE,W 36-10,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-3,-1.50,0
21,2000,2000-10-22,7,28.032,OAK,,SEA,W 31-3,,,,,,,,,0,,,,,,,
22,2000,2000-11-26,12,28.067,OAK,,ATL,W 41-14,,,,,,,,,0,,,,,,,
23,2000,2000-12-24,16,28.095,OAK,,CAR,W 52-9,,,,,,,,,0,,,,,,,
