ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1991,1991-11-17,11,22.171,NYG,,DAL,W 22-9,,0,0,,0,,,3,34,11.33,0
2,1992,1992-09-06,1,23.099,NYG,,SFO,L 14-31,1,0,0,,0,0.0%,0.00,1,24,24.00,0
3,1992,1992-09-13,2,23.106,NYG,,DAL,L 28-34,1,1,22,22.00,0,100.0%,22.00,3,51,17.00,0
4,1992,1992-09-21,3,23.114,NYG,@,CHI,W 27-14,1,0,0,,0,0.0%,0.00,2,40,20.00,0
5,1992,1992-10-04,4,23.127,NYG,@,RAI,L 10-13,,0,0,,0,0.0%,,1,19,19.00,0
6,1992,1992-10-11,5,23.134,NYG,,PHO,W 31-21,,0,0,,0,0.0%,,2,40,20.00,0
7,1992,1992-10-18,6,23.141,NYG,@,RAM,L 17-38,,0,0,,0,0.0%,,4,96,24.00,0
8,1992,1992-10-25,7,23.148,NYG,,SEA,W 23-10,,0,0,,0,0.0%,,1,14,14.00,0
9,1992,1992-11-01,8,23.155,NYG,@,WAS,W 24-7,2,0,0,,0,0.0%,0.00,1,12,12.00,0
10,1992,1992-11-08,9,23.162,NYG,,GNB,W 27-7,,0,0,,0,0.0%,,1,9,9.00,0
11,1992,1992-11-15,10,23.169,NYG,@,DEN,L 13-27,1,0,0,,0,0.0%,0.00,0,0,,0
12,1992,1992-11-22,11,23.176,NYG,,PHI,L 34-47,3,2,23,11.50,0,66.7%,7.67,6,115,19.17,0
13,1992,1992-11-26,12,23.180,NYG,@,DAL,L 3-30,,0,0,,0,0.0%,,4,82,20.50,0
14,1992,1992-12-06,13,23.190,NYG,,WAS,L 10-28,,0,0,,0,0.0%,,0,0,,0
15,1992,1992-12-12,14,23.196,NYG,@,PHO,L 0-19,,0,0,,0,0.0%,,0,0,,0
16,1992,1992-12-19,15,23.203,NYG,,KAN,W 35-21,,0,0,,0,0.0%,,0,0,,0
17,1992,1992-12-27,16,23.211,NYG,@,PHI,L 10-20,,0,0,,0,0.0%,,4,62,15.50,0
