ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1953,1953-10-25,5,23.347,WAS,@,BAL,L 17-27,3,39,13.00,1,1,10,10.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,1,,,,,
2,1953,1953-11-01,6,23.354,WAS,@,CLE,L 3-27,2,1,0.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
3,1953,1953-11-08,7,23.361,WAS,,CRD,W 28-17,2,1,0.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
4,1953,1953-11-15,8,24.003,WAS,,CHI,L 24-27,2,1,0.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
5,1953,1953-11-22,9,24.010,WAS,@,NYG,W 24-21,1,12,12.00,0,1,11,11.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
6,1953,1953-11-29,10,24.017,WAS,@,PIT,W 17-9,4,11,2.75,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
7,1953,1953-12-06,11,24.024,WAS,,PHI,W 10-0,3,7,2.33,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
8,1956,1956-09-30,1,26.323,WAS,@,PIT,L 13-30,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
9,1956,1956-10-06,2,26.329,WAS,@,PHI,L 9-13,1,32,32.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
10,1956,1956-10-14,3,26.337,WAS,,CRD,L 3-31,8,22,2.75,0,1,11,11.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
11,1956,1956-10-21,4,26.344,WAS,,CLE,W 20-9,4,17,4.25,0,1,17,17.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
12,1956,1956-10-28,5,26.351,WAS,@,CRD,W 17-14,1,5,5.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
13,1956,1956-11-11,6,26.365,WAS,,DET,W 18-17,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
14,1956,1956-11-18,7,27.006,WAS,,NYG,W 33-7,5,37,7.40,0,2,7,3.50,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
15,1956,1956-11-25,8,27.013,WAS,@,CLE,W 20-17,4,8,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
16,1957,1957-09-29,1,27.321,WAS,@,PIT,L 7-28,1,12,12.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
17,1957,1957-12-15,12,28.033,WAS,,PIT,W 10-3,1,11,11.00,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,1,,,,,
18,1959,1959-10-04,2,29.326,WAS,@,PIT,W 23-17,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
19,1959,1959-12-13,12,30.031,WAS,,NYG,L 10-24,1,5,5.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,,,,,
20,1960,1960-09-25,1,30.318,CLE,@,PHI,W 41-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,2,3,66.7,0,11,2,68,34.00,0
21,1960,1960-10-02,2,30.325,CLE,,PIT,W 28-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,,,0,4,5,250,50.00,0
