ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1974,1974-09-15,1,23.178,NYG,,WAS,L 10-13,,,,
2,1974,1974-09-22,2,23.185,NYG,,NWE,L 20-28,,,,
3,1974,1974-09-29,3,23.192,NYG,@,DAL,W 14-6,,,,
4,1974,1974-10-06,4,23.199,NYG,,ATL,L 7-14,,,,
5,1974,1974-10-13,5,23.206,NYG,@,PHI,L 7-35,,,,
6,1974,1974-10-20,6,23.213,NYG,@,WAS,L 3-24,,,,
7,1974,1974-10-27,7,23.220,NYG,,DAL,L 7-21,,,,
8,1974,1974-11-03,8,23.227,NYG,@,KAN,W 33-27,,,,
9,1974,1974-11-10,9,23.234,NYG,,NYJ,L 20-26,,,,
10,1974,1974-11-17,10,23.241,NYG,@,DET,L 19-20,,,,
11,1974,1974-11-24,11,23.248,NYG,,STL,L 21-23,,,,
12,1974,1974-12-01,12,23.255,NYG,@,CHI,L 13-16,,,,
13,1974,1974-12-08,13,23.262,NYG,,PHI,L 7-20,,,,
14,1974,1974-12-15,14,23.269,NYG,@,STL,L 14-26,,,,
15,1975,1975-09-21,1,24.184,NYG,@,PHI,W 23-14,,,,
16,1975,1975-09-28,2,24.191,NYG,@,WAS,L 13-49,,,,
17,1975,1975-10-05,3,24.198,NYG,@,STL,L 14-26,,,,
18,1975,1975-10-12,4,24.205,NYG,,DAL,L 7-13,,,,
19,1975,1975-10-20,5,24.213,NYG,@,BUF,W 17-14,1,5,5.00,0
20,1975,1975-10-25,6,24.218,NYG,,STL,L 13-20,,,,
21,1975,1975-11-01,7,24.225,NYG,,SDG,W 35-24,,,,
22,1975,1975-11-09,8,24.233,NYG,,WAS,L 13-21,,,,
23,1975,1975-11-16,9,24.240,NYG,,PHI,L 10-13,,,,
24,1975,1975-11-23,10,24.247,NYG,@,GNB,L 14-40,,,,
25,1975,1975-11-30,11,24.254,NYG,@,DAL,L 3-14,,,,
26,1975,1975-12-07,12,24.261,NYG,,BAL,L 0-21,,,,
27,1975,1975-12-14,13,24.268,NYG,,NOR,W 28-14,,,,
28,1975,1975-12-21,14,24.275,NYG,@,SFO,W 26-23,,,,
29,1976,1976-09-12,1,25.175,NYG,@,WAS,L 17-19,,,,
30,1976,1976-09-19,2,25.182,NYG,@,PHI,L 7-20,,,,
31,1976,1976-09-26,3,25.189,NYG,@,RAM,L 10-24,,,,
32,1976,1976-10-03,4,25.196,NYG,@,STL,L 21-27,,,,
33,1976,1976-10-10,5,25.203,NYG,,DAL,L 14-24,,,,
34,1976,1976-10-17,6,25.210,NYG,@,MIN,L 7-24,,,,
35,1976,1976-10-24,7,25.217,NYG,,PIT,L 0-27,,,,
36,1976,1976-10-31,8,25.224,NYG,,PHI,L 0-10,,,,
37,1976,1976-11-07,9,25.231,NYG,@,DAL,L 3-9,,,,
38,1976,1976-11-14,10,25.238,NYG,,WAS,W 12-9,,,,
39,1976,1976-11-21,11,25.245,NYG,@,DEN,L 13-14,,,,
40,1976,1976-11-28,12,25.252,NYG,,SEA,W 28-16,,,,
41,1976,1976-12-05,13,25.259,NYG,,DET,W 24-10,,,,
42,1976,1976-12-12,14,25.266,NYG,,STL,L 14-17,,,,
43,1977,1977-09-18,1,26.181,NYG,,WAS,W 20-17,,,,
44,1977,1977-09-25,2,26.188,NYG,@,DAL,L 21-41,,,,
45,1977,1977-10-02,3,26.195,NYG,@,ATL,L 3-17,,,,
46,1977,1977-10-09,4,26.202,NYG,,PHI,L 10-28,,,,
47,1977,1977-10-16,5,26.209,NYG,,SFO,W 20-17,,,,
48,1977,1977-10-23,6,26.216,NYG,@,WAS,W 17-6,,,,
49,1977,1977-11-06,8,26.230,NYG,,DAL,L 10-24,,,,
50,1977,1977-11-13,9,26.237,NYG,@,TAM,W 10-0,,,,
51,1977,1977-11-20,10,26.244,NYG,,CLE,L 7-21,,,,
52,1977,1977-12-04,12,26.258,NYG,,STL,W 27-7,,,,
