ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1955,1955-11-20,9,24.263,PIT,@,CLE,L 14-41,1,13,13.00,0,,,,
2,1956,1956-11-04,6,25.247,PIT,,NYG,L 14-17,1,7,7.00,0,,,,
3,1956,1956-11-11,7,25.254,PIT,@,PHI,L 7-14,3,37,12.33,0,,,,
4,1956,1956-12-02,10,25.275,PIT,,RAM,W 30-13,1,12,12.00,0,,,,
5,1957,1957-09-29,1,26.211,PIT,,WAS,W 28-7,4,71,17.75,0,,,,
6,1957,1957-10-05,2,26.217,PIT,,CLE,L 12-23,3,53,17.67,0,,,,
7,1957,1957-10-13,3,26.225,PIT,,CRD,W 29-20,1,23,23.00,0,,,,
8,1957,1957-10-20,4,26.232,PIT,@,NYG,L 0-35,3,31,10.33,0,,,,
9,1957,1957-10-27,5,26.239,PIT,,PHI,W 6-0,6,73,12.17,0,,,,
10,1957,1957-11-03,6,26.246,PIT,@,BAL,W 19-13,7,64,9.14,0,,,,
11,1957,1957-11-10,7,26.253,PIT,@,CLE,L 0-24,7,82,11.71,0,,,,
12,1957,1957-11-24,8,26.267,PIT,,GNB,L 10-27,5,70,14.00,1,,,,
13,1957,1957-12-01,9,26.274,PIT,@,PHI,L 6-7,4,55,13.75,0,,,,
14,1957,1957-12-07,10,26.280,PIT,,NYG,W 21-10,1,28,28.00,0,,,,
15,1957,1957-12-15,11,26.288,PIT,@,WAS,L 3-10,3,22,7.33,0,,,,
16,1957,1957-12-22,12,26.295,PIT,@,CRD,W 27-2,2,58,29.00,1,,,,
17,1958,1958-09-28,1,27.210,PIT,@,SFO,L 20-23,2,41,20.50,0,,,,
18,1958,1958-10-05,2,27.217,PIT,,CLE,L 12-45,1,20,20.00,0,,,,
19,1958,1958-10-12,3,27.224,PIT,,PHI,W 24-3,2,13,6.50,0,,,,
20,1958,1958-10-19,4,27.231,PIT,@,CLE,L 10-27,1,4,4.00,0,,,,
21,1958,1958-10-26,5,27.238,PIT,@,NYG,L 6-17,2,20,10.00,0,,,,
22,1958,1958-11-02,6,27.245,PIT,,WAS,W 24-16,1,18,18.00,0,,,,
23,1958,1958-11-16,8,27.259,PIT,,NYG,W 31-10,2,44,22.00,0,,,,
24,1958,1958-11-23,9,27.266,PIT,@,CRD,W 27-20,2,65,32.50,0,,,,
25,1958,1958-11-30,10,27.273,PIT,,CHI,W 24-10,2,39,19.50,0,,,,
26,1958,1958-12-07,11,27.280,PIT,@,WAS,T 14-14,5,88,17.60,1,,,,
27,1958,1958-12-13,12,27.286,PIT,,CRD,W 38-21,9,139,15.44,0,,,,
28,1959,1959-10-11,3,28.223,PIT,@,PHI,L 24-28,3,46,15.33,0,,,,
29,1960,1960-09-24,1,29.206,PIT,@,DAL,W 35-28,1,17,17.00,0,1,1,1.00,0
