ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2017,2017-09-17,1,25.260,TAM,,CHI,W 29-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,17,17.00,0
2,2017,2017-09-24,2,25.267,TAM,@,MIN,L 17-34,,1,3,3.00,0,1,1,6,6.00,0,100.0%,6.00,3,79,26.33,0,0,0,,0
3,2017,2017-10-01,3,25.274,TAM,,NYG,W 25-23,,0,0,,0,0,0,0,,0,0.0%,,2,37,18.50,0,2,16,8.00,0
4,2017,2017-10-05,4,25.278,TAM,,NWE,L 14-19,,0,0,,0,0,0,0,,0,0.0%,,1,16,16.00,0,3,29,9.67,0
5,2017,2017-10-15,5,25.288,TAM,@,ARI,L 33-38,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0
6,2017,2017-10-22,6,25.295,TAM,@,BUF,L 27-30,,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
7,2017,2017-10-29,7,25.302,TAM,,CAR,L 3-17,,0,0,,0,0,0,0,,0,0.0%,,1,13,13.00,0,3,23,7.67,0
8,2017,2017-11-05,8,25.309,TAM,@,NOR,L 10-30,,0,0,,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0
9,2017,2017-11-12,9,25.316,TAM,,NYJ,W 15-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,48,16.00,0
10,2017,2017-12-03,12,25.337,NWE,@,BUF,W 23-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,11,11.00,0
11,2017,2017-12-11,13,25.345,NWE,@,MIA,L 20-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,3,21,7.00,0
