ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1956,1956-10-21,4,23.022,NYG,,PIT,W 38-10,2,-1,-0.50,0,,,,,0,,,,
2,1960,1960-10-02,2,27.003,NYG,@,STL,W 35-14,0,0,,0,0,0,,0,0,0,2,51,0
3,1960,1960-10-30,5,27.031,NYG,,STL,L 13-20,0,0,,0,0,0,,0,0,0,1,24,0
4,1960,1960-11-20,8,27.052,NYG,,PHI,L 10-17,0,0,,0,1,0,0.00,0,0,0,0,0,0
5,1960,1960-11-27,9,27.059,NYG,@,PHI,L 23-31,0,0,,0,0,0,,0,0,0,1,25,0
6,1960,1960-12-04,10,27.066,NYG,,DAL,T 31-31,0,0,,0,0,0,,0,0,0,1,0,0
7,1960,1960-12-18,12,27.080,NYG,,CLE,L 34-48,0,0,,0,0,0,,0,0,0,1,0,0
8,1961,1961-10-01,3,28.002,NYG,@,WAS,W 24-21,0,0,,0,0,0,,0,0,0,1,25,0
9,1961,1961-10-22,6,28.023,NYG,,RAM,W 24-14,0,0,,0,0,0,,0,0,0,2,23,0
10,1961,1961-11-05,8,28.037,NYG,,WAS,W 53-0,0,0,,0,0,0,,0,1,6,2,51,1
11,1961,1961-11-19,10,28.051,NYG,,PIT,W 42-21,0,0,,0,0,0,,0,0,0,1,26,0
12,1961,1961-11-26,11,28.058,NYG,@,CLE,W 37-21,0,0,,0,0,0,,0,0,0,1,21,0
13,1961,1961-12-03,12,28.065,NYG,@,GNB,L 17-20,0,0,,0,0,0,,0,0,0,1,17,0
14,1962,1962-09-23,2,28.359,NYG,@,PHI,W 29-13,0,0,,0,0,0,,0,0,0,1,13,0
15,1962,1962-09-30,3,29.001,NYG,@,PIT,W 31-27,0,0,,0,0,0,,0,0,0,1,11,0
16,1962,1962-10-07,4,29.008,NYG,@,STL,W 31-14,0,0,,0,1,0,0.00,0,0,0,0,0,0
17,1962,1962-10-28,7,29.029,NYG,,WAS,W 49-34,0,0,,0,0,0,,0,0,0,2,33,0
18,1962,1962-12-02,12,29.064,NYG,@,CHI,W 26-24,0,0,,0,0,0,,0,0,0,3,68,0
19,1963,1963-09-22,2,29.358,NYG,@,PIT,L 0-31,0,0,,0,0,0,,0,0,0,1,0,0
20,1963,1963-10-20,6,30.021,NYG,,DAL,W 37-21,0,0,,0,0,0,,0,0,0,1,0,0
21,1963,1963-10-27,7,30.028,NYG,@,CLE,W 33-6,0,0,,0,0,0,,0,0,0,1,12,0
22,1963,1963-12-08,13,30.070,NYG,,WAS,W 44-14,0,0,,0,0,0,,0,0,0,2,14,0
23,1963,1963-12-15,14,30.077,NYG,,PIT,W 33-17,0,0,,0,0,0,,0,0,0,1,20,0
24,1964,1964-09-20,2,30.357,NYG,@,PIT,L 24-27,0,0,,0,0,0,,0,0,0,1,0,0
25,1964,1964-10-11,5,31.012,NYG,@,DAL,T 13-13,0,0,,0,0,0,,0,0,0,1,0,0
26,1965,1965-11-21,10,32.053,NYG,@,STL,W 28-15,0,0,,0,0,0,,0,0,0,1,27,0
27,1966,1966-12-18,14,33.080,NYG,,DAL,L 7-17,0,0,,0,0,0,,0,0,0,1,3,0
