ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,23.166,SEA,@,DEN,L 17-40,,,,,,,,,,,,,
2,1987,1987-09-20,2,23.173,SEA,,KAN,W 43-14,,,,,,,,,,,,,
3,1987,1987-10-25,6,23.208,SEA,@,RAI,W 35-13,,,,,,,,,,,,,
4,1987,1987-11-15,9,23.229,SEA,,GNB,W 24-13,,,,,,,,,,,,,
5,1988,1988-09-04,1,24.157,SEA,@,DEN,W 21-14,,,,,,,,,,,,,
6,1988,1988-09-11,2,24.164,SEA,,KAN,W 31-10,,,,,,,,,,,,,
7,1988,1988-09-18,3,24.171,SEA,@,SDG,L 6-17,,,,,,,,,,,,,
8,1988,1988-09-25,4,24.178,SEA,,SFO,L 7-38,,,,,,,,,,,,,
9,1988,1988-10-02,5,24.185,SEA,@,ATL,W 31-20,,,,,,,,,,,,,
10,1988,1988-10-09,6,24.192,SEA,@,CLE,W 16-10,,,,,,,,,,,,,
11,1988,1988-10-16,7,24.199,SEA,,NOR,L 19-20,,,,,,,,,,,,,
12,1988,1988-10-23,8,24.206,SEA,@,RAM,L 10-31,,,,,,,,,,,,,
13,1988,1988-10-30,9,24.213,SEA,,SDG,W 17-14,,,,,,,,,,,,,
14,1988,1988-11-06,10,24.220,SEA,,BUF,L 3-13,,0,0,,0,,,0,0,0.5,0,0,0
15,1988,1988-11-13,11,24.227,SEA,,HOU,W 27-24,,,,,,,,,,,,,
16,1988,1988-11-20,12,24.234,SEA,@,KAN,L 24-27,,,,,,,,,,,,,
17,1988,1988-11-28,13,24.242,SEA,,RAI,W 35-27,,0,0,,0,,,0,0,2.0,0,0,0
18,1988,1988-12-04,14,24.248,SEA,@,NWE,L 7-13,,,,,,,,,,,,,
19,1988,1988-12-11,15,24.255,SEA,,DEN,W 42-14,,,,,,,,,,,,,
20,1988,1988-12-18,16,24.262,SEA,@,RAI,W 43-37,,,,,,,,,,,,,
21,1989,1989-09-10,1,25.163,SEA,@,PHI,L 7-31,,,,,,,,,,,,,
22,1989,1989-09-17,2,25.170,SEA,,PHO,L 24-34,,,,,,,,,,,,,
23,1989,1989-09-24,3,25.177,SEA,@,NWE,W 24-3,,,,,,,,,,,,,
24,1989,1989-10-01,4,25.184,SEA,@,RAI,W 24-20,,,,,,,,,,,,,
25,1989,1989-10-08,5,25.191,SEA,,KAN,L 16-20,,,,,,,,,,,,,
26,1989,1989-10-15,6,25.198,SEA,@,SDG,W 17-16,,,,,,,,,,,,,
27,1989,1989-10-22,7,25.205,SEA,,DEN,L 21-24,,,,,,,,,,,,,
28,1989,1989-10-29,8,25.212,SEA,,SDG,W 10-7,,,,,,,,,,,,,
29,1989,1989-11-05,9,25.219,SEA,@,KAN,L 10-20,,,,,,,,,,,,,
30,1989,1989-11-12,10,25.226,SEA,,CLE,L 7-17,,,,,,,,,,,,,
31,1989,1989-11-19,11,25.233,SEA,@,NYG,L 3-15,,,,,,,,,,,,,
32,1989,1989-11-26,12,25.240,SEA,@,DEN,L 14-41,,,,,,,,,,,,,
33,1989,1989-12-04,13,25.248,SEA,,BUF,W 17-16,,,,,,,,,,,,,
34,1989,1989-12-10,14,25.254,SEA,@,CIN,W 24-17,,,,,,,,,,,,,
35,1989,1989-12-17,15,25.261,SEA,,RAI,W 23-17,,,,,,,,,,,,,
36,1989,1989-12-23,16,25.267,SEA,,WAS,L 0-29,,,,,,,,,,,,,
37,1990,1990-11-11,9,26.225,SEA,@,KAN,W 17-16,,,,,,,,,,,,,
38,1990,1990-11-18,10,26.232,SEA,,MIN,L 21-24,,,,,,,,,,,,,
39,1990,1990-11-25,11,26.239,SEA,@,SDG,W 13-10,,,,,,,,,,,,,
40,1990,1990-12-02,12,26.246,SEA,,HOU,W 13-10,,0,0,,0,,,0,0,1.0,0,0,0
41,1990,1990-12-09,13,26.253,SEA,@,GNB,W 20-14,,,,,,,,,,,,,
42,1990,1990-12-16,14,26.260,SEA,@,MIA,L 17-24,,0,0,,0,,,0,0,0.0,1,22,0
43,1990,1990-12-23,15,26.267,SEA,,DEN,W 17-12,,,,,,,,,,,,,
44,1990,1990-12-30,16,26.274,SEA,,DET,W 30-10,,0,0,,0,,,0,0,0.0,1,2,0
45,1991,1991-09-01,1,27.154,SEA,@,NOR,L 24-27,,,,,,,,,,,,,
46,1991,1991-09-08,2,27.161,SEA,,NYJ,W 20-13,,,,,,,,,,,,,
47,1991,1991-09-15,3,27.168,SEA,@,DEN,L 10-16,,,,,,,,,,,,,
48,1991,1991-09-22,4,27.175,SEA,@,KAN,L 13-20,,,,,,,,,,,,,
49,1991,1991-12-15,15,27.259,SEA,@,ATL,L 13-26,,,,,,,,,,,,,
50,1991,1991-12-22,16,27.266,SEA,,RAM,W 23-9,,,,,,,,,,,,,
51,1992,1992-09-06,1,28.159,SEA,,CIN,L 3-21,,,,,,0.0%,,,,,,,
52,1992,1992-09-13,2,28.166,SEA,@,KAN,L 7-26,,,,,,0.0%,,,,,,,
53,1992,1992-09-20,3,28.173,SEA,@,NWE,W 10-6,,,,,,0.0%,,,,,,,
54,1992,1992-09-27,4,28.180,SEA,,MIA,L 17-19,,,,,,0.0%,,,,,,,
55,1992,1992-10-04,5,28.187,SEA,@,SDG,L 6-17,,,,,,0.0%,,,,,,,
56,1992,1992-10-11,6,28.194,SEA,@,DAL,L 0-27,,,,,,0.0%,,,,,,,
57,1992,1992-10-18,7,28.201,SEA,,RAI,L 0-19,,,,,,0.0%,,,,,,,
