ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1977,1977-09-18,1,22.251,MIA,@,BUF,W 13-0,,,,,,,,,,,,,,,,
2,1977,1977-10-16,5,22.279,MIA,,NYJ,W 21-17,0,0,,0,0,0,,0,2,44,22.00,0,0,0,,0
3,1977,1977-10-23,6,22.286,MIA,,SEA,W 31-13,0,0,,0,0,0,,0,2,45,22.50,0,0,0,,0
4,1977,1977-10-30,7,22.293,MIA,,SDG,L 13-14,0,0,,0,0,0,,0,1,40,40.00,0,0,0,,0
5,1977,1977-11-06,8,22.300,MIA,@,NYJ,W 14-10,0,0,,0,0,0,,0,1,17,17.00,0,0,0,,0
6,1977,1977-11-13,9,22.307,MIA,,NWE,W 17-5,0,0,,0,0,0,,0,0,0,,0,1,6,6.00,0
7,1977,1977-11-20,10,22.314,MIA,@,CIN,L 17-23,,,,,,,,,,,,,,,,
8,1977,1977-11-24,11,22.318,MIA,@,STL,W 55-14,1,11,11.00,0,0,0,,0,1,21,21.00,0,0,0,,0
9,1977,1977-12-05,12,22.329,MIA,,BAL,W 17-6,,,,,,,,,,,,,,,,
10,1977,1977-12-11,13,22.335,MIA,@,NWE,L 10-14,,,,,,,,,,,,,,,,
11,1977,1977-12-17,14,22.341,MIA,,BUF,W 31-14,,,,,,,,,,,,,,,,
12,1978,1978-09-03,1,23.236,MIA,@,NYJ,L 20-33,0,0,,0,0,0,,0,2,43,21.50,0,0,0,,0
13,1978,1978-09-10,2,23.243,MIA,@,BAL,W 42-0,0,0,,0,0,0,,0,1,14,14.00,0,0,0,,0
14,1978,1978-09-17,3,23.250,MIA,,BUF,W 31-24,0,0,,0,0,0,,0,2,46,23.00,0,0,0,,0
15,1978,1978-09-24,4,23.257,MIA,@,PHI,L 3-17,0,0,,0,0,0,,0,2,54,27.00,0,0,0,,0
16,1978,1978-10-15,7,23.278,WAS,@,PHI,L 10-17,,,,,,,,,,,,,,,,
17,1978,1978-10-22,8,23.285,WAS,@,NYG,L 6-17,0,0,,0,0,0,,0,1,21,21.00,0,1,10,10.00,0
18,1978,1978-10-29,9,23.292,WAS,,SFO,W 38-20,,,,,,,,,,,,,,,,
19,1978,1978-11-06,10,23.300,WAS,@,BAL,L 17-21,,,,,,,,,,,,,,,,
20,1978,1978-11-12,11,23.306,WAS,,NYG,W 16-13,,,,,,,,,,,,,,,,
21,1978,1978-11-19,12,23.313,WAS,,STL,L 17-27,0,0,,0,0,0,,0,1,23,23.00,0,0,0,,0
22,1978,1978-11-23,13,23.317,WAS,@,DAL,L 10-37,,,,,,,,,,,,,,,,
23,1978,1978-12-03,14,23.327,WAS,,MIA,L 0-16,,,,,,,,,,,,,,,,
24,1978,1978-12-10,15,23.334,WAS,@,ATL,L 17-20,0,0,,0,1,56,56.00,0,1,26,26.00,0,4,37,9.25,0
25,1978,1978-12-16,16,23.340,WAS,,CHI,L 10-14,,,,,,,,,,,,,,,,
26,1980,1980-09-14,2,25.248,SFO,,STL,W 24-21,0,0,,0,0,0,,0,4,75,18.75,0,0,0,,0
27,1980,1980-09-21,3,25.255,SFO,@,NYJ,W 37-27,0,0,,0,0,0,,0,1,18,18.00,0,0,0,,0
28,1980,1980-09-28,4,25.262,SFO,,ATL,L 17-20,,,,,,,,,,,,,,,,
29,1980,1980-10-19,7,25.283,SFO,,RAM,L 17-31,0,0,,0,0,0,,0,1,11,11.00,0,0,0,,0
