ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1994,1994-09-05,1,23.173,SFO,,RAI,W 44-14,,0,0,,0,0.0%,,,
2,1994,1994-09-11,2,23.179,SFO,@,KAN,L 17-24,,0,0,,0,0.0%,,,
3,1994,1994-12-04,13,23.263,SFO,,ATL,W 50-14,,0,0,,0,0.0%,,,
4,1994,1994-12-26,16,23.285,SFO,@,MIN,L 14-21,3,2,10,5.00,0,66.7%,3.33,0,0
5,1995,1995-09-03,1,24.171,SFO,@,NOR,W 24-22,,0,0,,0,0.0%,,,
6,1995,1995-09-10,2,24.178,SFO,,ATL,W 41-10,,0,0,,0,0.0%,,,
7,1995,1995-09-17,3,24.185,SFO,,NWE,W 28-3,,0,0,,0,0.0%,,,
8,1995,1995-09-25,4,24.193,SFO,@,DET,L 24-27,0,0,0,,0,0.0%,,,
9,1995,1995-10-01,5,24.199,SFO,,NYG,W 20-6,,0,0,,0,0.0%,,,
10,1995,1995-10-29,8,24.227,SFO,,NOR,L 7-11,1,1,3,3.00,0,100.0%,3.00,0,0
11,1995,1995-11-05,9,24.234,SFO,,CAR,L 7-13,0,0,0,,0,0.0%,,,
12,1995,1995-11-12,10,24.241,SFO,@,DAL,W 38-20,0,0,0,,0,0.0%,,,
13,1995,1995-11-20,11,24.249,SFO,@,MIA,W 44-20,,0,0,,0,0.0%,,,
14,1995,1995-11-26,12,24.255,SFO,,STL,W 41-13,,0,0,,0,0.0%,,,
15,1995,1995-12-03,13,24.262,SFO,,BUF,W 27-17,,0,0,,0,0.0%,,,
16,1995,1995-12-10,14,24.269,SFO,@,CAR,W 31-10,1,0,0,,0,0.0%,0.00,,
17,1995,1995-12-18,15,24.277,SFO,,MIN,W 37-30,1,0,0,,0,0.0%,0.00,,
18,1995,1995-12-24,16,24.283,SFO,@,ATL,L 27-28,,0,0,,0,0.0%,,,
19,1996,1996-09-08,2,25.176,MIA,@,ARI,W 38-10,1,1,2,2.00,0,100.0%,2.00,0,0
20,1996,1996-09-15,3,25.183,MIA,,NYJ,W 36-27,1,1,12,12.00,1,100.0%,12.00,1,6
21,1996,1996-09-23,4,25.191,MIA,@,IND,L 6-10,2,1,13,13.00,0,50.0%,6.50,0,0
22,1996,1996-10-06,5,25.204,MIA,,SEA,L 15-22,1,1,21,21.00,0,100.0%,21.00,0,0
23,1996,1996-10-27,8,25.225,MIA,,DAL,L 10-29,,0,0,,0,0.0%,,,
24,1996,1996-11-03,9,25.232,MIA,@,NWE,L 23-42,0,0,0,,0,0.0%,,,
