ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-09-17,2,27.183,NYT,,BOS,L 24-28,1,38,38.00,1,1,0,0.00,0,,,,,,,1,6
2,1960,1960-09-23,3,27.189,NYT,,DEN,W 28-24,1,10,10.00,1,0,0,,0,,,,,,,1,6
3,1960,1960-10-16,6,27.212,NYT,@,BUF,W 17-13,1,3,3.00,1,0,0,,0,,,,,,,1,6
4,1960,1960-11-04,9,27.231,NYT,,LAC,L 7-21,1,16,16.00,0,0,0,,0,,,,,,,0,0
5,1960,1960-12-04,12,27.261,NYT,@,DEN,W 30-27,1,14,14.00,0,0,0,,0,,,,,,,0,0
6,1960,1960-12-11,13,27.268,NYT,@,OAK,W 31-28,3,60,20.00,0,0,0,,0,,,,,,,0,0
7,1960,1960-12-18,14,27.275,NYT,@,LAC,L 43-50,1,20,20.00,0,0,0,,0,,,,,,,0,0
8,1961,1961-09-09,1,28.175,NYT,@,BOS,W 21-20,2,30,15.00,1,0,0,,0,,,,,,,1,6
9,1961,1961-09-17,2,28.183,NYT,@,BUF,L 31-41,3,27,9.00,1,1,0,0.00,0,,,,,,,1,6
10,1961,1961-09-24,3,28.190,NYT,,DEN,W 35-28,,,,,,,,,,,,,,,,
11,1961,1961-10-01,4,28.197,NYT,,BOS,W 37-30,2,16,8.00,1,0,0,,0,,,,,,,1,6
12,1961,1961-10-15,5,28.211,NYT,,SDG,L 10-25,,,,,,,,,,,,,,,,
13,1961,1961-10-22,6,28.218,NYT,@,DEN,L 10-27,1,35,35.00,0,0,0,,0,,,,,,,0,0
14,1961,1961-10-29,7,28.225,NYT,@,OAK,W 14-6,1,18,18.00,0,0,0,,0,,,,,1,0.0,0,0
15,1961,1961-11-05,8,28.232,NYT,@,SDG,L 13-48,,,,,,,,,,,,,,,,
16,1961,1961-11-11,9,28.238,NYT,,OAK,W 23-12,1,21,21.00,0,0,0,,0,,,,,,,0,0
17,1961,1961-11-19,10,28.246,NYT,@,HOU,L 13-49,2,26,13.00,1,0,0,,0,,,,,,,1,6
18,1961,1961-11-23,11,28.250,NYT,,BUF,W 21-14,,,,,,,,,,,,,,,,
19,1961,1961-12-03,12,28.260,NYT,,DTX,W 28-7,2,19,9.50,0,0,0,,0,,,,,,,0,0
20,1961,1961-12-10,13,28.267,NYT,,HOU,L 21-48,,,,,,,,,,,,,,,,
21,1961,1961-12-17,14,28.274,NYT,@,DTX,L 24-35,1,16,16.00,0,0,0,,0,,,,,,,0,0
22,1962,1962-09-22,3,29.188,NYT,@,BUF,W 17-6,2,16,8.00,1,0,0,,0,,,,,,,1,6
23,1962,1962-09-30,4,29.196,NYT,,DEN,L 10-32,1,6,6.00,0,0,0,,0,,,,,,,0,0
24,1962,1962-10-14,6,29.210,NYT,@,HOU,L 17-56,1,9,9.00,0,0,0,,0,,,,,,,0,0
25,1962,1962-10-21,7,29.217,NYT,@,DTX,L 17-20,2,31,15.50,0,0,0,,0,,,,,,,0,0
26,1962,1962-11-04,9,29.231,NYT,,OAK,W 31-21,1,14,14.00,0,0,0,,0,,,,,,,0,0
27,1962,1962-11-22,11,29.249,NYT,@,DEN,W 46-45,4,37,9.25,0,0,0,,0,,,,,,,0,0
28,1962,1962-11-30,12,29.257,NYT,@,BOS,L 17-24,1,9,9.00,0,0,0,,0,,,,,,,0,0
29,1962,1962-12-08,13,29.265,NYT,,BUF,L 3-20,0,0,,0,1,3,3.00,0,,,,,,,0,0
