ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1960,1960-09-18,2,21.069,HOU,,LAC,W 38-28,,1,3,33.33,10,0,1,4.2,0,0,3.33,-11.67,0,0,,0,0,0,,0,0,0
2,1960,1960-11-20,10,21.132,HOU,,DEN,W 20-10,*,6,13,46.15,281,3,1,100.2,0,0,21.62,22.77,3,-5,-1.67,0,0,0,,0,0,0
3,1960,1960-11-25,11,21.137,HOU,@,BOS,W 24-10,*,21,38,55.26,331,1,0,93.2,0,0,8.71,9.24,0,0,,0,0,0,,0,0,0
4,1960,1960-12-04,12,21.146,HOU,@,DTX,L 0-24,*,9,15,60.00,84,0,3,35.8,0,0,5.60,-3.40,3,16,5.33,0,0,0,,0,0,0
5,1960,1960-12-18,14,21.160,HOU,,BOS,W 37-21,,4,8,50.00,136,1,1,95.8,0,0,17.00,13.88,0,0,,0,0,0,,0,0,0
6,1961,1961-09-09,1,22.060,HOU,,OAK,W 55-0,,2,3,66.67,46,1,0,149.3,0,0,15.33,22.00,1,-1,-1.00,0,0,0,,0,0,0
7,1961,1961-09-24,2,22.075,HOU,@,SDG,L 24-34,,10,25,40.00,190,3,2,73.3,0,0,7.60,6.40,2,14,7.00,0,0,0,,0,0,0
8,1961,1961-10-08,4,22.089,HOU,,BUF,L 12-22,*,10,26,38.46,196,1,2,46.3,0,0,7.54,4.85,2,6,3.00,0,0,0,,0,0,0
9,1961,1961-10-13,5,22.094,HOU,@,BOS,T 31-31,*,27,41,65.85,457,2,2,99.3,0,0,11.15,9.93,2,10,5.00,0,0,0,,0,0,0
10,1961,1961-10-22,6,22.103,HOU,,DTX,W 38-7,*,6,11,54.55,109,1,0,119.1,0,0,9.91,11.73,0,0,,0,0,0,,0,0,0
11,1961,1961-11-05,8,22.117,HOU,@,DEN,W 55-14,,2,2,100.00,85,1,0,158.3,0,0,42.50,52.50,0,0,,0,0,0,,0,0,0
12,1961,1961-11-12,9,22.124,HOU,,BOS,W 27-15,,5,5,100.00,54,1,0,151.2,0,0,10.80,14.80,1,7,7.00,0,0,0,,0,0,0
13,1961,1961-11-19,10,22.131,HOU,,NYT,W 49-13,,1,5,20.00,9,0,0,39.6,0,0,1.80,1.80,0,0,,0,0,0,,0,0,0
14,1961,1961-11-26,11,22.138,HOU,,DEN,W 45-14,,3,5,60.00,59,2,0,140.8,0,0,11.80,19.80,0,0,,0,0,0,,0,0,0
15,1961,1961-12-10,13,22.152,HOU,@,NYT,W 48-21,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
16,1961,1961-12-17,14,22.159,HOU,@,OAK,W 47-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
17,1962,1962-09-23,3,23.074,HOU,@,SDG,W 42-17,,1,1,100.00,4,1,0,122.9,0,0,4.00,24.00,1,0,0.00,0,0,0,,0,0,0
18,1962,1962-10-07,4,23.088,HOU,,BUF,W 17-14,,5,10,50.00,69,0,2,32.9,0,0,6.90,-2.10,1,-2,-2.00,0,0,0,,0,0,0
19,1962,1962-10-14,5,23.095,HOU,,NYT,W 56-17,,1,2,50.00,35,1,0,135.4,0,0,17.50,27.50,0,0,,0,0,0,,0,0,0
20,1962,1962-10-28,7,23.109,HOU,,DTX,L 7-31,,9,16,56.25,134,0,0,83.9,0,0,8.38,8.38,1,-1,-1.00,0,0,0,,0,0,0
