ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1981,1981-09-06,1,22.201,STL,,MIA,L 7-20,,14,30,46.67,151,0,1,48.1,3,26,5.03,3.53,0,0,,0,0,0,,0,0,0
2,1981,1981-09-13,2,22.208,STL,@,DAL,L 17-30,*,14,41,34.15,295,1,2,48.3,4,33,7.20,5.49,2,18,9.00,0,0,0,,0,0,0
3,1981,1981-09-20,3,22.215,STL,,WAS,W 40-30,,0,0,,0,0,0,,0,,,,1,-2,-2.00,0,0,0,,0,0,0
4,1981,1981-09-27,4,22.222,STL,@,TAM,L 10-20,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0,0,0,,0,0,0
5,1981,1981-10-11,6,22.236,STL,@,NYG,L 14-34,,2,3,66.67,26,0,0,93.7,2,20,8.67,8.67,1,8,8.00,0,0,0,,0,0,0
6,1981,1981-10-18,7,22.243,STL,@,ATL,L 20-41,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,1.00,0,0,0,,0,0,0
7,1981,1981-11-01,9,22.257,STL,@,WAS,L 21-42,,3,8,37.50,29,0,0,48.4,0,0,3.63,3.63,0,0,,0,0,0,,0,0,0
8,1981,1981-11-08,10,22.264,STL,,PHI,L 10-52,,0,3,0.00,0,0,1,0.0,3,24,0.00,-15.00,0,0,,0,0,0,,0,0,0
9,1981,1981-11-15,11,22.271,STL,,BUF,W 24-0,*,13,23,56.52,102,1,1,64.0,2,22,4.43,3.35,3,15,5.00,0,0,0,,0,0,0
10,1981,1981-11-22,12,22.278,STL,@,BAL,W 35-24,*,12,21,57.14,219,0,0,93.2,1,8,10.43,10.43,4,24,6.00,1,0,0,,0,1,6
11,1981,1981-11-29,13,22.285,STL,@,NWE,W 27-20,*,20,28,71.43,280,1,0,115.2,3,25,10.00,10.71,1,2,2.00,0,0,0,,0,0,0
12,1981,1981-12-06,14,22.292,STL,,NOR,W 30-3,*,13,19,68.42,173,0,1,75.1,4,38,9.11,6.74,2,19,9.50,1,0,0,,0,1,6
13,1981,1981-12-13,15,22.299,STL,,NYG,L 10-20,*,16,31,51.61,163,1,1,64.3,3,33,5.26,4.45,2,6,3.00,0,0,0,,0,0,0
14,1981,1981-12-20,16,22.306,STL,@,PHI,L 0-38,*,11,26,42.31,129,0,3,18.4,7,57,4.96,-0.23,2,13,6.50,0,0,0,,0,0,0
15,1982,1982-09-12,1,23.207,STL,@,NOR,W 21-7,*,10,18,55.56,92,1,0,88.2,6,38,5.11,6.22,5,7,1.40,0,0,0,,0,0,0
16,1982,1982-09-19,2,23.214,STL,,DAL,L 7-24,*,22,38,57.89,291,1,1,80.0,5,42,7.66,7.00,3,18,6.00,0,0,0,,0,0,0
17,1982,1982-11-21,3,23.277,STL,,SFO,L 20-31,*,9,23,39.13,82,1,0,64.0,1,8,3.57,4.43,2,5,2.50,0,0,0,,0,0,0
18,1982,1982-11-28,4,23.284,STL,@,ATL,W 23-20,*,10,15,66.67,109,0,0,87.9,1,13,7.27,7.27,6,38,6.33,1,0,0,,0,1,6
19,1982,1982-12-05,5,23.291,STL,@,PHI,W 23-20,*,13,22,59.09,148,0,0,79.4,3,20,6.73,6.73,4,22,5.50,0,1,10,10.00,0,0,0
20,1982,1982-12-12,6,23.298,STL,,WAS,L 7-12,*,8,14,57.14,160,0,0,97.3,3,26,11.43,11.43,1,0,0.00,0,0,0,,0,0,0
21,1982,1982-12-19,7,23.305,STL,@,CHI,W 10-7,*,5,17,29.41,74,0,1,20.7,3,17,4.35,1.71,2,11,5.50,0,0,0,,0,0,0
22,1982,1982-12-26,8,23.312,STL,,NYG,W 24-21,*,14,24,58.33,212,2,1,97.9,4,26,8.83,8.63,2,20,10.00,0,0,0,,0,0,0
23,1982,1983-01-02,9,23.319,STL,@,WAS,L 0-28,*,18,34,52.94,199,0,3,33.8,5,44,5.85,1.88,3,-2,-0.67,0,0,0,,0,0,0
24,1983,1983-09-04,1,24.199,STL,@,NOR,L 17-28,*,11,16,68.75,111,1,0,109.1,1,8,6.94,8.19,0,0,,0,0,0,,0,0,0
25,1983,1983-09-18,3,24.213,STL,,SFO,L 27-42,*,16,35,45.71,194,2,2,58.5,3,22,5.54,4.11,2,12,6.00,0,0,0,,0,0,0
26,1983,1983-10-09,6,24.234,STL,,WAS,L 14-38,*,20,31,64.52,251,1,1,86.9,3,24,8.10,7.29,2,8,4.00,0,0,0,,0,0,0
27,1983,1983-10-16,7,24.241,STL,@,TAM,W 34-27,*,17,22,77.27,166,3,1,118.6,3,23,7.55,8.23,1,0,0.00,0,0,0,,0,0,0
28,1983,1983-10-24,8,24.249,STL,,NYG,T 20-20,*,16,33,48.48,204,0,3,30.4,3,20,6.18,2.09,3,37,12.33,0,0,0,,0,0,0
29,1983,1983-10-30,9,24.255,STL,,MIN,W 41-31,*,19,28,67.86,241,3,0,130.2,1,7,8.61,10.75,4,0,0.00,0,0,0,,0,0,0
30,1983,1983-11-06,10,24.262,STL,@,WAS,L 7-45,*,17,35,48.57,212,1,1,65.4,5,24,6.06,5.34,1,3,3.00,0,0,0,,0,0,0
31,1983,1983-11-13,11,24.269,STL,,SEA,W 33-28,*,21,27,77.78,253,4,0,145.3,3,22,9.37,12.33,3,31,10.33,0,0,0,,0,0,0
32,1983,1983-11-20,12,24.276,STL,,SDG,W 44-14,*,12,20,60.00,247,2,1,116.0,4,42,12.35,12.10,3,10,3.33,2,0,0,,0,2,12
33,1983,1983-11-24,13,24.280,STL,@,DAL,L 17-35,*,18,30,60.00,230,2,0,106.2,7,41,7.67,9.00,1,0,0.00,0,0,0,,0,0,0
34,1983,1983-12-04,14,24.290,STL,@,NYG,W 10-6,*,11,25,44.00,122,1,1,55.7,5,41,4.88,3.88,2,7,3.50,0,0,0,,0,0,0
35,1983,1983-12-11,15,24.297,STL,@,RAI,W 34-24,*,17,24,70.83,227,2,0,128.3,1,10,9.46,11.13,1,0,0.00,0,0,0,,0,0,0
36,1983,1983-12-18,16,24.304,STL,,PHI,W 31-7,*,14,28,50.00,178,2,1,79.2,4,31,6.36,6.18,4,19,4.75,0,0,0,,0,0,0
37,1984,1984-09-02,1,25.198,STL,@,GNB,L 23-24,*,25,35,71.43,270,2,1,100.9,2,10,7.71,7.57,2,9,4.50,0,0,0,,0,0,0
38,1984,1984-09-09,2,25.205,STL,,BUF,W 37-7,*,21,29,72.41,265,2,0,123.5,0,0,9.14,10.52,1,6,6.00,0,0,0,,0,0,0
39,1984,1984-09-16,3,25.212,STL,@,IND,W 34-33,*,16,39,41.03,270,2,3,50.2,1,5,6.92,4.49,0,0,,0,0,0,,0,0,0
40,1984,1984-09-23,4,25.219,STL,@,NOR,L 24-34,*,23,33,69.70,269,1,0,104.2,5,45,8.15,8.76,1,0,0.00,0,0,0,,0,0,0
41,1984,1984-09-30,5,25.226,STL,,MIA,L 28-36,*,22,37,59.46,308,1,0,95.3,0,0,8.32,8.86,0,0,,0,0,0,,0,0,0
42,1984,1984-10-07,6,25.233,STL,@,DAL,W 31-20,*,19,29,65.52,354,3,0,142.0,4,29,12.21,14.28,4,5,1.25,0,0,0,,0,0,0
43,1984,1984-10-14,7,25.240,STL,,CHI,W 38-21,*,14,24,58.33,271,1,1,94.3,5,41,11.29,10.25,2,29,14.50,1,0,0,,0,1,6
44,1984,1984-10-21,8,25.247,STL,,WAS,W 26-24,*,20,38,52.63,361,3,0,111.8,3,25,9.50,11.08,3,28,9.33,0,0,0,,0,0,0
