ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-09-12,2,22.340,HOU,,KAN,W 30-0,0,0,,0,,0,0,,0,0.0%,,,,,
2,1993,1993-09-26,4,22.354,HOU,,RAM,L 13-28,0,0,,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0
3,1993,1993-11-14,9,23.038,HOU,@,CIN,W 38-3,1,10,10.00,0,,0,0,,0,0.0%,,0,0,,0
4,1993,1993-11-21,10,23.045,HOU,@,CLE,W 27-20,0,0,,0,,0,0,,0,0.0%,,,,,
5,1993,1993-11-28,11,23.052,HOU,,PIT,W 23-3,0,0,,0,,0,0,,0,0.0%,,,,,
6,1993,1993-12-05,12,23.059,HOU,,ATL,W 33-17,0,0,,0,,0,0,,0,0.0%,,,,,
7,1993,1993-12-12,13,23.066,HOU,,CLE,W 19-17,0,0,,0,,0,0,,0,0.0%,,,,,
8,1993,1993-12-19,14,23.073,HOU,@,PIT,W 26-17,0,0,,0,,0,0,,0,0.0%,,,,,
9,1993,1993-12-25,15,23.079,HOU,@,SFO,W 10-7,0,0,,0,,0,0,,0,0.0%,,,,,
10,1993,1994-01-02,16,23.087,HOU,,NYJ,W 24-0,0,0,,0,,0,0,,0,0.0%,,,,,
11,1994,1994-09-04,1,23.332,HOU,@,IND,L 21-45,,,,,,0,0,,0,0.0%,,,,,
12,1994,1994-11-21,11,24.045,HOU,,NYG,L 10-13,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0
13,1994,1994-11-27,12,24.051,HOU,@,CLE,L 10-34,,,,,,0,0,,0,0.0%,,,,,
14,1994,1994-12-04,13,24.058,HOU,,ARI,L 12-30,,,,,,0,0,,0,0.0%,,,,,
15,1994,1994-12-11,14,24.065,HOU,,SEA,L 14-16,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0
16,1995,1995-09-03,1,24.331,JAX,,HOU,L 3-10,1,14,14.00,0,0,0,0,,0,0.0%,,0,0,,0
17,1995,1995-09-10,2,24.338,JAX,@,CIN,L 17-24,0,0,,0,,0,0,,0,0.0%,,0,0,,0
18,1995,1995-09-17,3,24.345,JAX,@,NYJ,L 10-27,3,38,12.67,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0
19,1995,1995-09-24,4,24.352,JAX,,GNB,L 14-24,1,4,4.00,0,3,1,15,15.00,0,33.3%,5.00,0,0,,0
20,1995,1995-10-01,5,24.359,JAX,@,HOU,W 17-16,3,22,7.33,0,1,0,0,,0,0.0%,0.00,0,0,,0
21,1995,1995-10-08,6,25.001,JAX,,PIT,W 20-16,3,8,2.67,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0
22,1995,1995-10-15,7,25.008,JAX,,CHI,L 27-30,2,8,4.00,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0
23,1995,1995-10-22,8,25.015,JAX,@,CLE,W 23-15,0,0,,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0
24,1995,1995-10-29,9,25.022,JAX,@,PIT,L 7-24,2,-1,-0.50,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0
25,1995,1995-11-12,10,25.036,JAX,,SEA,L 30-47,4,29,7.25,0,0,0,0,,0,0.0%,,1,5,5.00,0
26,1995,1995-11-19,11,25.043,JAX,@,TAM,L 16-17,4,-1,-0.25,0,3,3,4,1.33,0,100.0%,1.33,0,0,,0
27,1995,1995-11-26,12,25.050,JAX,,CIN,L 13-17,2,17,8.50,0,1,0,0,,0,0.0%,0.00,0,0,,0
28,1995,1995-12-03,13,25.057,JAX,@,DEN,L 23-31,1,4,4.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0
29,1995,1995-12-10,14,25.064,JAX,,IND,L 31-41,4,15,3.75,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0
30,1995,1995-12-17,15,25.071,JAX,@,DET,L 0-44,7,23,3.29,0,2,1,19,19.00,0,50.0%,9.50,0,0,,0
31,1995,1995-12-24,16,25.078,JAX,,CLE,W 24-21,4,6,1.50,0,6,5,41,8.20,0,83.3%,6.83,0,0,,0
32,1996,1996-09-01,1,25.330,JAX,,PIT,W 24-9,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0
33,1996,1996-09-08,2,25.337,JAX,,HOU,L 27-34,2,7,3.50,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0
34,1996,1996-09-15,3,25.344,JAX,@,OAK,L 3-17,3,2,0.67,0,1,0,0,,0,0.0%,0.00,0,0,,0
35,1996,1996-09-22,4,25.351,JAX,@,NWE,L 25-28,0,0,,0,1,0,0,,0,0.0%,0.00,,,,
36,1996,1996-09-29,5,25.358,JAX,,CAR,W 24-14,0,0,,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0
37,1996,1996-10-06,6,25.365,JAX,@,NOR,L 13-17,0,0,,0,1,0,0,,0,0.0%,0.00,,,,
38,1996,1996-10-13,7,26.006,JAX,,NYJ,W 21-17,0,0,,0,1,0,0,,0,0.0%,0.00,,,,
39,1996,1996-10-20,8,26.013,JAX,@,STL,L 14-17,1,7,7.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0
40,1996,1996-11-10,10,26.034,JAX,,BAL,W 30-27,0,0,,0,0,0,0,,0,0.0%,,,,,
41,1996,1996-11-17,11,26.041,JAX,@,PIT,L 3-28,0,0,,0,,0,0,,0,0.0%,,,,,
42,1996,1996-11-24,12,26.048,JAX,@,BAL,W 28-25,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0
43,1996,1996-12-01,13,26.055,JAX,,CIN,W 30-27,0,0,,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0
44,1996,1996-12-08,14,26.062,JAX,@,HOU,W 23-17,0,0,,0,,0,0,,0,0.0%,,,,,
45,1996,1996-12-15,15,26.069,JAX,,SEA,W 20-13,0,0,,0,,0,0,,0,0.0%,,,,,
46,1996,1996-12-22,16,26.076,JAX,,ATL,W 19-17,1,5,5.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0
47,1998,1998-12-27,16,28.081,WAS,@,DAL,L 7-23,,,,,,,,,,0.0%,,,,,
