ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,21.281,PHI,,STL,W 38-3,*,10,6,106,17.67,0,60.0%,10.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,8,97,12.13,0,0,0,0.0,0,0
2,2008,2008-09-15,2,21.289,PHI,@,DAL,L 37-41,*,8,6,110,18.33,0,75.0%,13.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12,6.00,0,0,0,0.0,0,0
3,2008,2008-09-21,3,21.295,PHI,,PIT,W 15-6,*,7,5,40,8.00,0,71.4%,5.71,1,1,1.00,0,0,0,,0,0,0,,0,,,,1,12,12.00,0,2,11,5.50,0,0,0,0.0,1,0
4,2008,2008-09-28,4,21.302,PHI,@,CHI,L 20-24,*,10,5,71,14.20,1,50.0%,7.10,2,35,17.50,0,0,0,,0,0,0,,0,,,,0,0,,0,4,37,9.25,0,1,6,0.0,0,0
5,2008,2008-10-05,5,21.309,PHI,,WAS,L 17-23,*,2,1,8,8.00,0,50.0%,4.00,2,13,6.50,0,0,0,,0,0,0,,0,,,,0,0,,0,1,68,68.00,1,1,6,0.0,0,0
6,2008,2008-10-12,6,21.316,PHI,@,SFO,W 40-26,*,10,6,98,16.33,0,60.0%,9.80,1,1,1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,2,28,14.00,0,0,0,0.0,0,0
7,2008,2008-10-26,7,21.330,PHI,,ATL,W 27-14,*,9,3,72,24.00,0,33.3%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,-5,-1.67,0,0,0,0.0,0,0
8,2008,2008-11-02,8,21.337,PHI,@,SEA,W 26-7,*,7,2,20,10.00,0,28.6%,2.86,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,5,50,10.00,0,0,0,0.0,0,0
9,2008,2008-11-09,9,21.344,PHI,,NYG,L 31-36,*,9,4,61,15.25,0,44.4%,6.78,3,24,8.00,1,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0.0,0,0
10,2008,2008-11-16,10,21.351,PHI,@,CIN,T 13-13,*,8,4,66,16.50,0,50.0%,8.25,2,3,1.50,0,0,0,,0,0,0,,0,,,,0,0,,0,6,43,7.17,0,0,0,0.0,1,0
11,2008,2008-11-23,11,21.358,PHI,@,BAL,L 7-36,*,10,5,47,9.40,0,50.0%,4.70,1,12,12.00,0,0,0,,0,0,0,,0,,,,0,0,,0,5,30,6.00,0,0,0,0.0,0,0
12,2008,2008-11-27,12,21.362,PHI,,ARI,W 48-20,*,8,6,76,12.67,1,75.0%,9.50,1,6,6.00,0,0,0,,0,0,0,,0,,,,0,0,,0,3,11,3.67,0,1,6,0.0,0,0
13,2008,2008-12-07,13,22.006,PHI,@,NYG,W 20-14,*,3,0,0,,0,0.0%,0.00,2,-9,-4.50,0,0,0,,0,0,0,,0,,,,0,0,,0,3,24,8.00,0,0,0,0.0,0,0
14,2008,2008-12-15,14,22.014,PHI,,CLE,W 30-10,,6,5,77,15.40,0,83.3%,12.83,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,3,3,1.00,0,0,0,0.0,0,0
15,2008,2008-12-21,15,22.020,PHI,@,WAS,L 3-10,*,8,2,14,7.00,0,25.0%,1.75,1,7,7.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
16,2008,2008-12-28,16,22.027,PHI,,DAL,W 44-6,*,5,2,46,23.00,0,40.0%,9.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,24,12.00,0,0,0,0.0,0,0
17,2009,2009-09-13,1,22.286,PHI,@,CAR,W 38-10,*,7,2,9,4.50,0,28.6%,1.29,2,33,16.50,0,0,0,,0,0,0,,,,,,0,0,,0,2,106,53.00,1,1,6,0.0,0,0
18,2009,2009-09-20,2,22.293,PHI,,NOR,L 22-48,*,9,4,101,25.25,1,44.4%,11.22,3,15,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,5,2.50,0,1,6,0.0,0,0
19,2009,2009-09-27,3,22.300,PHI,,KAN,W 34-14,*,10,6,149,24.83,1,60.0%,14.90,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,0,0.00,0,1,6,0.0,0,0
20,2009,2009-10-11,4,22.314,PHI,,TAM,W 33-14,*,3,1,1,1.00,0,33.3%,0.33,1,0,0.00,0,0,0,,0,0,0,,,,,,1,0,0.00,0,1,4,4.00,0,0,0,0.0,0,0
21,2009,2009-10-18,5,22.321,PHI,@,OAK,L 9-13,*,12,6,94,15.67,0,50.0%,7.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,43,10.75,0,0,0,0.0,0,0
22,2009,2009-10-26,6,22.329,PHI,@,WAS,W 27-17,*,4,2,69,34.50,1,50.0%,17.25,1,67,67.00,1,0,0,,0,0,0,,,,,,0,0,,0,3,31,10.33,0,2,12,0.0,0,0
23,2009,2009-11-01,7,22.335,PHI,,NYG,W 40-17,*,4,3,78,26.00,1,75.0%,19.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,30,30.00,0,1,6,0.0,0,0
24,2009,2009-11-08,8,22.342,PHI,,DAL,L 16-20,*,5,2,29,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
25,2009,2009-11-15,9,22.349,PHI,@,SDG,L 23-31,*,16,8,91,11.38,0,50.0%,5.69,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,13,4.33,0,0,0,0.0,0,0
26,2009,2009-11-22,10,22.356,PHI,@,CHI,W 24-20,*,10,8,107,13.38,1,80.0%,10.70,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,56,28.00,0,1,6,0.0,1,0
27,2009,2009-11-29,11,22.363,PHI,,WAS,W 27-24,*,2,2,41,20.50,1,100.0%,20.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,29,29.00,0,1,6,0.0,0,0
28,2009,2009-12-13,13,23.012,PHI,@,NYG,W 45-38,*,7,6,178,29.67,1,85.7%,25.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,83,41.50,1,2,12,0.0,0,0
29,2009,2009-12-20,14,23.019,PHI,,SFO,W 27-13,*,10,6,140,23.33,1,60.0%,14.00,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,1,6,0.0,0,0
30,2009,2009-12-27,15,23.026,PHI,,DEN,W 30-27,*,10,4,33,8.25,1,40.0%,3.30,1,-3,-3.00,0,0,0,,0,0,0,,,,,,0,0,,0,3,17,5.67,0,1,6,0.0,1,0
31,2009,2010-01-03,16,23.033,PHI,@,DAL,L 0-24,*,8,2,36,18.00,0,25.0%,4.50,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,2,9,4.50,0,0,0,0.0,0,0
