ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-09-11,1,22.149,BUF,@,NYT,L 3-27,,0,0,,0,0,0,,0,0,,,2,12,6.00,0,1,15,15.00,0,0,0,,0,0,0,,0,0,0,0,0,0
2,1960,1960-09-23,3,22.161,BUF,@,BOS,W 13-0,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,10,2.50,0,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0,0,0
3,1960,1960-10-02,4,22.170,BUF,,LAC,L 10-24,,1,1,100.00,36,1,0,158.3,0,0,36.00,56.00,3,0,0.00,0,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0,0,0
4,1960,1960-10-16,5,22.184,BUF,,NYT,L 13-17,,0,0,,0,0,0,,0,0,,,2,-7,-3.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
5,1960,1960-10-23,6,22.191,BUF,,OAK,W 38-9,,1,2,50.00,17,0,1,39.6,0,0,8.50,-14.00,0,0,,0,0,0,,0,0,0,,0,3,1,0.33,0,0,0,0,0,0
6,1960,1960-10-30,7,22.198,BUF,,HOU,W 25-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
7,1960,1960-11-13,9,22.212,BUF,@,OAK,L 7-20,,1,2,50.00,20,0,0,85.4,0,0,10.00,10.00,4,11,2.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
8,1960,1960-11-20,10,22.219,BUF,@,LAC,W 32-3,,0,0,,0,0,0,,0,0,,,4,3,0.75,0,1,17,17.00,1,0,0,,0,0,0,,0,1,6,0,0,0
9,1960,1960-11-27,11,22.226,BUF,@,DEN,T 38-38,,0,0,,0,0,0,,0,0,,,1,4,4.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0,0,0
10,1960,1960-12-04,12,22.233,BUF,,BOS,W 38-14,,5,9,55.56,69,1,0,117.4,0,0,7.67,9.89,3,25,8.33,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
11,1960,1960-12-11,13,22.240,BUF,@,HOU,L 23-31,,5,15,33.33,82,0,1,24.9,0,0,5.47,2.47,5,21,4.20,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
12,1960,1960-12-18,14,22.247,BUF,@,DTX,L 7-24,*,10,19,52.63,90,0,1,43.8,0,0,4.74,2.37,10,59,5.90,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
13,1961,1961-09-10,1,23.148,BUF,,DEN,L 10-22,,10,21,47.62,134,0,1,48.5,0,0,6.38,4.24,3,-9,-3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
14,1961,1961-09-17,2,23.155,BUF,,NYT,W 41-31,*,8,19,42.11,129,2,2,61.0,0,0,6.79,4.16,4,18,4.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
15,1961,1961-09-23,3,23.161,BUF,,BOS,L 21-23,*,2,10,20.00,19,0,1,0.0,0,0,1.90,-2.60,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
16,1961,1961-10-08,5,23.176,BUF,@,HOU,W 22-12,,0,0,,0,0,0,,0,0,,,0,0,,0,1,19,19.00,0,0,0,,0,0,0,,0,0,0,0,0,0
17,1961,1961-10-15,6,23.183,BUF,,DTX,W 27-24,,0,0,,0,0,0,,0,0,,,3,6,2.00,0,1,4,4.00,0,2,35,17.50,0,0,0,,0,0,0,0,0,0
18,1961,1961-10-22,7,23.190,BUF,@,BOS,L 21-52,,0,0,,0,0,0,,0,0,,,0,0,,0,4,46,11.50,0,5,91,18.20,0,0,0,,0,0,0,0,0,0
19,1961,1961-10-29,8,23.197,BUF,,HOU,L 16-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,2,0,0
