ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-09-17,1,22.012,SFO,,WAS,W 35-3,,6,9,66.67,89,0,2,59.3,0,0,9.89,-0.11,2,3,1.50,0,0,0,,0,0,0,4,154,38.50,0
2,1961,1961-09-24,2,22.019,SFO,@,GNB,L 10-30,,1,5,20.00,24,0,2,7.5,0,0,4.80,-13.20,3,19,6.33,0,0,0,,0,0,0,0,0,,0
3,1961,1961-10-01,3,22.026,SFO,@,DET,W 49-0,,3,7,42.86,43,0,0,63.4,0,0,6.14,6.14,16,103,6.44,2,0,0,,0,2,12,0,0,,0
4,1961,1961-10-08,4,22.033,SFO,,RAM,W 35-0,,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,19,131,6.89,2,0,0,,0,2,12,0,0,,0
5,1961,1961-10-15,5,22.040,SFO,@,MIN,W 38-24,,0,0,,0,0,0,,0,0,,,20,115,5.75,4,0,0,,0,4,24,0,0,,0
6,1961,1961-10-22,6,22.047,SFO,@,CHI,L 0-31,,2,4,50.00,17,0,0,61.5,0,0,4.25,4.25,7,36,5.14,0,0,0,,0,0,0,0,0,,0
7,1961,1961-10-29,7,22.054,SFO,@,PIT,L 10-20,,2,2,100.00,30,0,0,118.7,0,0,15.00,15.00,7,13,1.86,0,0,0,,0,0,0,1,37,37.00,0
8,1961,1961-11-05,8,22.061,SFO,,DET,T 20-20,,2,2,100.00,27,0,0,118.7,0,0,13.50,13.50,11,44,4.00,1,0,0,,0,1,6,0,0,,0
9,1961,1961-11-12,9,22.068,SFO,@,RAM,L 7-17,,2,3,66.67,40,0,0,109.7,0,0,13.33,13.33,8,36,4.50,1,0,0,,0,1,6,0,0,,0
10,1961,1961-12-03,12,22.089,SFO,@,BAL,L 17-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,,0
