ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1985,1985-09-08,1,22.041,ATL,,DET,L 27-28,0,0,,0,
2,1985,1985-09-15,2,22.048,ATL,@,SFO,L 16-35,0,0,,0,
3,1985,1985-09-22,3,22.055,ATL,,DEN,L 28-44,0,0,,0,
4,1985,1985-09-29,4,22.062,ATL,@,RAM,L 6-17,0,0,,0,
5,1985,1985-10-06,5,22.069,ATL,,SFO,L 17-38,1,0,0.00,0,0.0
6,1985,1985-10-13,6,22.076,ATL,@,SEA,L 26-30,0,0,,0,
7,1985,1985-10-20,7,22.083,ATL,,NOR,W 31-24,0,0,,0,
8,1985,1985-10-27,8,22.090,ATL,@,DAL,L 10-24,0,0,,0,
9,1985,1985-11-03,9,22.097,ATL,,WAS,L 10-44,0,0,,0,
10,1985,1985-11-10,10,22.104,ATL,@,PHI,L 17-23,0,0,,0,
11,1985,1985-11-17,11,22.111,ATL,,RAM,W 30-14,0,0,,0,0.5
12,1985,1985-11-24,12,22.118,ATL,@,CHI,L 0-36,0,0,,0,
13,1985,1985-12-01,13,22.125,ATL,,RAI,L 24-34,0,0,,0,
14,1985,1985-12-08,14,22.132,ATL,@,KAN,L 10-38,0,0,,0,
15,1985,1985-12-15,15,22.139,ATL,,MIN,W 14-13,0,0,,0,
16,1985,1985-12-22,16,22.146,ATL,@,NOR,W 16-10,0,0,,0,
17,1987,1987-10-12,4,24.075,RAI,@,DEN,L 14-30,1,0,0.00,0,0.0
18,1987,1987-10-18,5,24.081,RAI,,SDG,L 17-23,0,0,,0,1.0
19,1989,1989-09-17,2,26.050,IND,@,RAM,L 17-31,,,,,
20,1989,1989-09-24,3,26.057,IND,,ATL,W 13-9,,,,,
