ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2011,2011-11-06,8,24.002,TAM,@,NOR,L 16-27,,,,,,,,,,,0.0%,,,,,
2,2011,2011-11-13,9,24.009,TAM,,HOU,L 9-37,,,,,,,,,,,0.0%,,,,,
3,2011,2011-11-20,10,24.016,TAM,@,GNB,L 26-35,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
4,2011,2011-11-27,11,24.023,TAM,@,TEN,L 17-23,,,,,,,,,,,0.0%,,,,,
5,2011,2011-12-04,12,24.030,TAM,,CAR,L 19-38,,8,25,3.13,0,0,0,0,,0,0.0%,,0,0,,0
6,2011,2011-12-11,13,24.037,TAM,@,JAX,L 14-41,,1,6,6.00,0,1,1,3,3.00,0,100.0%,3.00,1,0,0.00,0
7,2011,2011-12-17,14,24.043,TAM,,DAL,L 15-31,,0,0,,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0
8,2011,2011-12-24,15,24.050,TAM,@,CAR,L 16-48,,4,20,5.00,0,6,4,42,10.50,0,66.7%,7.00,0,0,,0
9,2011,2012-01-01,16,24.058,TAM,@,ATL,L 24-45,,2,4,2.00,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0
