ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1960,1960-09-24,1,23.121,DAL,,PIT,L 28-35,3,50,16.67,0,1,5,5.00,0,0,0,0
2,1960,1960-09-30,2,23.127,DAL,,PHI,L 25-27,4,95,23.75,0,0,0,,0,1,9,0
3,1960,1960-10-09,3,23.136,DAL,@,WAS,L 14-26,2,31,15.50,0,1,2,2.00,0,0,0,0
4,1960,1960-10-16,4,23.143,DAL,,CLE,L 7-48,3,65,21.67,0,0,,,0,0,0,0
5,1960,1960-10-23,5,23.150,DAL,@,STL,L 10-12,3,63,21.00,0,0,0,,0,1,2,0
6,1960,1960-10-30,6,23.157,DAL,,BAL,L 7-45,2,78,39.00,0,0,0,,0,0,0,0
7,1960,1960-11-20,9,23.178,DAL,,SFO,L 14-26,2,33,16.50,0,0,0,,0,0,0,0
8,1960,1960-11-27,10,23.185,DAL,@,CHI,L 7-17,2,30,15.00,0,0,0,,0,0,0,0
9,1960,1960-12-04,11,23.192,DAL,@,NYG,T 31-31,4,80,20.00,0,0,,,0,1,0,0
10,1961,1961-11-26,11,24.184,DAL,@,PHI,L 13-35,0,0,,0,0,0,,0,1,23,0
11,1962,1962-10-21,6,25.148,MIN,@,RAM,W 38-14,0,0,,0,0,0,,0,1,0,0
12,1962,1962-10-28,7,25.155,MIN,,PHI,W 31-21,0,0,,0,0,0,,0,1,0,0
13,1962,1962-11-04,8,25.162,MIN,@,PIT,L 31-39,0,0,,0,0,0,,0,1,3,0
14,1962,1962-11-25,11,25.183,MIN,,RAM,T 24-24,0,0,,0,1,12,12.00,0,0,0,0
15,1962,1962-12-16,14,25.204,MIN,@,BAL,L 17-42,0,0,,0,0,0,,0,1,24,0
16,1963,1963-09-29,3,26.126,MIN,,SFO,W 45-14,0,0,,0,0,0,,0,1,32,0
17,1963,1963-10-27,7,26.154,MIN,@,DET,L 10-28,0,0,,0,0,0,,0,1,27,0
18,1963,1963-12-08,13,26.196,MIN,@,BAL,L 10-41,3,68,22.67,0,0,0,,0,0,0,0
19,1963,1963-12-15,14,26.203,MIN,@,PHI,W 34-13,1,26,26.00,0,0,0,,0,0,0,0
