ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,22.037,SFO,@,JAX,L 3-41,,,,,,,,,,,,,,,
2,1999,1999-10-03,4,22.058,SFO,,TEN,W 24-22,,2,41,20.50,0,0,0,,0,0.0,,,0,0,0
3,1999,1999-10-10,5,22.065,SFO,@,STL,L 20-42,,,,,,,,,,,,,,,
4,1999,1999-10-17,6,22.072,SFO,,CAR,L 29-31,,1,32,32.00,0,0,0,,0,0.0,,,0,0,0
5,1999,1999-10-24,7,22.079,SFO,@,MIN,L 16-40,,,,,,,,,,,,,,,
6,1999,1999-11-07,8,22.093,SFO,,PIT,L 6-27,*,,,,,,,,,,,,,,
7,1999,1999-11-14,9,22.100,SFO,@,NOR,L 6-24,*,,,,,,,,,,,,,,
8,1999,1999-11-21,10,22.107,SFO,,STL,L 7-23,,,,,,,,,,,,,,,
9,1999,1999-11-29,11,22.115,SFO,,GNB,L 3-20,,,,,,,,,,,,,,,
10,1999,1999-12-05,12,22.121,SFO,@,CIN,L 30-44,,,,,,,,,,,,,,,
11,1999,1999-12-12,13,22.128,SFO,,ATL,W 26-7,,,,,,,,,,,,,,,
12,1999,1999-12-18,14,22.134,SFO,@,CAR,L 24-41,*,,,,,,,,,,,,,,
13,1999,1999-12-26,15,22.142,SFO,,WAS,L 20-26,*,,,,,,,,,,,,,,
14,1999,2000-01-03,16,22.150,SFO,@,ATL,L 29-34,*,,,,,,,,,,,,,,
15,2000,2000-09-03,1,23.028,SFO,@,ATL,L 28-36,*,,,,,,,,,,,,,,
16,2000,2000-09-10,2,23.035,SFO,,CAR,L 22-38,*,,,,,,,,,,,,,,
17,2000,2000-09-17,3,23.042,SFO,@,STL,L 24-41,*,,,,,,,,,,,,,,
18,2000,2000-09-24,4,23.049,SFO,@,DAL,W 41-24,,,,,,,,,,,,,,,
19,2000,2000-10-01,5,23.056,SFO,,ARI,W 27-20,,,,,,,,,,,,,,,
20,2000,2000-10-08,6,23.063,SFO,,OAK,L 28-34,,0,0,,0,0,0,,0,0.0,,,1,13,0
21,2000,2000-10-15,7,23.070,SFO,@,GNB,L 28-31,,,,,,,,,,,,,,,
22,2000,2000-10-22,8,23.077,SFO,@,CAR,L 16-34,,,,,,,,,,,,,,,
