ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-08,1,23.100,GNB,,MIN,W 24-19,,1,0,0,,0,0.0%,0.00,1,23,23.00,0,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,23.106,GNB,@,DET,W 48-25,,2,1,29,29.00,1,50.0%,14.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
3,2008,2008-09-21,3,23.113,GNB,,DAL,L 16-27,,9,4,42,10.50,0,44.4%,4.67,1,18,18.00,0,0,0,,0,,0,0,0.0,1,0
4,2008,2008-09-28,4,23.120,GNB,@,TAM,L 21-30,,5,4,31,7.75,0,80.0%,6.20,1,5,5.00,0,0,0,,0,,0,0,0.0,1,0
5,2008,2008-10-05,5,23.127,GNB,,ATL,L 24-27,,1,1,14,14.00,0,100.0%,14.00,1,0,0.00,0,0,0,,0,,0,0,0.0,0,0
6,2008,2008-10-12,6,23.134,GNB,@,SEA,W 27-17,,4,4,42,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2008,2008-10-19,7,23.141,GNB,,IND,W 34-14,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2008,2008-11-02,8,23.155,GNB,@,TEN,L 16-19,*,3,2,34,17.00,0,66.7%,11.33,1,40,40.00,0,0,0,,0,,0,0,0.0,0,0
9,2008,2008-11-09,9,23.162,GNB,@,MIN,L 27-28,*,4,2,17,8.50,0,50.0%,4.25,2,28,14.00,0,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,23.169,GNB,,CHI,W 37-3,,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2008,2008-11-24,11,23.177,GNB,@,NOR,L 29-51,,6,3,21,7.00,0,50.0%,3.50,1,21,21.00,0,0,0,,0,,0,0,0.0,1,0
12,2008,2008-11-30,12,23.183,GNB,,CAR,L 31-35,,3,2,28,14.00,0,66.7%,9.33,1,7,7.00,0,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-07,13,23.190,GNB,,HOU,L 21-24,,5,3,25,8.33,1,60.0%,5.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
14,2008,2008-12-14,14,23.197,GNB,@,JAX,L 16-20,,1,1,9,9.00,0,100.0%,9.00,1,21,21.00,0,0,0,,0,,0,0,0.0,0,0
15,2008,2008-12-22,15,23.205,GNB,@,CHI,L 17-20,,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
16,2008,2008-12-28,16,23.211,GNB,,DET,W 31-21,,1,1,9,9.00,0,100.0%,9.00,1,45,45.00,0,0,0,,0,,0,0,0.0,0,0
17,2009,2009-09-13,1,24.105,GNB,,CHI,W 21-15,,2,0,0,,0,0.0%,0.00,4,124,31.00,0,2,14,7.00,0,,0,0,0.0,0,0
18,2009,2009-09-20,2,24.112,GNB,,CIN,L 24-31,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
