ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2003,2003-09-14,2,23.215,CHI,@,MIN,L 13-24,,,,,,,,,,,0.0%,,,
2,2003,2003-10-12,5,23.243,CHI,@,NOR,L 13-20,,,,,,,,,,,0.0%,,,
3,2003,2003-10-19,6,23.250,CHI,@,SEA,L 17-24,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0
4,2003,2003-10-26,7,23.257,CHI,,DET,W 24-16,*,19,56,2.95,1,2,1,10,10.00,0,50.0%,5.00,1,6
5,2003,2003-11-02,8,23.264,CHI,,SDG,W 20-7,,,,,,,,,,,0.0%,,,
6,2003,2003-11-30,12,23.292,CHI,,ARI,W 28-3,*,27,134,4.96,1,2,2,27,13.50,0,100.0%,13.50,1,6
7,2003,2003-12-07,13,23.299,CHI,@,GNB,L 21-34,,3,-4,-1.33,0,1,0,0,,0,0.0%,0.00,0,0
8,2003,2003-12-21,15,23.313,CHI,,WAS,W 27-24,,,,,,0,,,,,0.0%,,,
9,2003,2003-12-28,16,23.320,CHI,@,KAN,L 3-31,,,,,,,,,,,0.0%,,,
10,2004,2004-10-10,5,24.242,MIA,@,NWE,L 10-24,,13,44,3.38,0,0,0,0,,0,0.0%,,0,0
11,2004,2004-10-17,6,24.249,MIA,@,BUF,L 13-20,,5,7,1.40,0,0,0,0,,0,0.0%,,0,0
12,2004,2004-10-24,7,24.256,MIA,,STL,W 31-14,,,,,,0,,,,,0.0%,,,
13,2004,2004-11-21,10,24.284,MIA,@,SEA,L 17-24,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0
14,2004,2004-11-28,11,24.291,MIA,@,SFO,W 24-17,,,,,,,,,,,0.0%,,,
15,2004,2004-12-12,13,24.305,MIA,@,DEN,L 17-20,,,,,,,,,,,0.0%,,,
16,2004,2004-12-20,14,24.313,MIA,,NWE,W 29-28,,,,,,,,,,,0.0%,,,
