ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2011,2011-10-09,5,23.039,TAM,@,SFO,L 3-48,,5,13,2.60,0,0.0,0,0
2,2012,2012-12-30,16,24.121,SEA,,STL,W 20-13,,,,,,,,
3,2013,2013-09-08,1,25.008,SEA,@,CAR,W 12-7,,,,,,,,
4,2013,2013-09-22,3,25.022,NYG,@,CAR,L 0-38,,,,,,,,
5,2013,2013-09-29,4,25.029,NYG,@,KAN,L 7-31,,0,0,,0,0.0,1,0
6,2013,2013-10-06,5,25.036,NYG,,PHI,L 21-36,,0,0,,0,0.0,1,0
7,2013,2013-10-10,6,25.040,NYG,@,CHI,L 21-27,,,,,,,,
8,2013,2013-10-21,7,25.051,NYG,,MIN,W 23-7,,,,,,,,
9,2013,2013-10-27,8,25.057,NYG,@,PHI,W 15-7,,,,,,,,
10,2013,2013-11-10,9,25.071,NYG,,OAK,W 24-20,,,,,,,,
11,2013,2013-11-24,11,25.085,NYG,,DAL,L 21-24,,0,0,,0,0.0,1,0
12,2013,2013-12-01,12,25.092,NYG,@,WAS,W 24-17,,0,0,,0,0.0,0,1
13,2014,2014-11-16,10,26.077,SEA,@,KAN,L 20-24,,,,,,,,
14,2015,2015-09-14,1,27.014,ATL,,PHI,W 26-24,,0,0,,0,0.0,0,0
15,2015,2015-09-20,2,27.020,ATL,@,NYG,W 24-20,,0,0,,0,0.0,1,0
16,2015,2015-09-27,3,27.027,ATL,@,DAL,W 39-28,,0,0,,0,0.0,0,0
17,2015,2015-10-04,4,27.034,ATL,,HOU,W 48-21,,0,0,,0,0.0,4,1
18,2015,2015-10-11,5,27.041,ATL,,WAS,W 25-19,,0,0,,0,0.0,0,0
19,2015,2015-10-15,6,27.045,ATL,@,NOR,L 21-31,,0,0,,0,0.0,0,0
