ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,23.021,NWE,@,BUF,L 0-31,,0,0,0.0,,,1,2,0
2,2003,2003-09-14,2,23.028,NWE,@,PHI,W 31-10,*,,,,,,,,
3,2003,2003-09-21,3,23.035,NWE,,NYJ,W 23-16,*,,,,,,,,
4,2003,2003-09-28,4,23.042,NWE,@,WAS,L 17-20,*,,,,,,,,
5,2003,2003-10-05,5,23.049,NWE,,TEN,W 38-30,*,,,,,,,,
6,2003,2003-10-12,6,23.056,NWE,,NYG,W 17-6,*,0,0,0.0,,,1,6,0
7,2003,2003-10-19,7,23.063,NWE,@,MIA,W 19-13,*,0,0,0.0,,,1,0,0
8,2003,2003-10-26,8,23.070,NWE,,CLE,W 9-3,*,,,,,,,,
9,2003,2003-11-03,9,23.078,NWE,@,DEN,W 30-26,*,,,,,,,,
10,2003,2003-11-16,10,23.091,NWE,,DAL,W 12-0,*,,,,,,,,
11,2003,2003-11-23,11,23.098,NWE,@,HOU,W 23-20,*,,,,,,,,
12,2003,2003-11-30,12,23.105,NWE,@,IND,W 38-34,*,,,,,,,,
13,2003,2003-12-07,13,23.112,NWE,,MIA,W 12-0,*,,,,,,,,
14,2003,2003-12-14,14,23.119,NWE,,JAX,W 27-13,*,,,,,,,,
15,2003,2003-12-20,15,23.125,NWE,@,NYJ,W 21-16,*,0,0,0.0,,,1,10,0
16,2003,2003-12-27,16,23.132,NWE,,BUF,W 31-0,*,,,,,,,,
17,2004,2004-09-09,1,24.023,NWE,,IND,W 27-24,*,,,,,,,,
18,2004,2004-09-19,2,24.033,NWE,@,ARI,W 23-12,*,0,0,0.0,,,2,27,0
19,2004,2004-10-03,3,24.047,NWE,@,BUF,W 31-17,*,,,,,,,,
20,2004,2004-10-10,4,24.054,NWE,,MIA,W 24-10,*,,,,,,,,
21,2004,2004-10-17,5,24.061,NWE,,SEA,W 30-20,*,,,,,,,,
