ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1967,1967-09-17,1,22.215,MIA,,DEN,W 35-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,131,43.67,0
2,1967,1967-09-24,2,22.222,MIA,,KAN,L 0-24,0,0,,0,1,24,24.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,242,48.40,0
3,1967,1967-10-01,3,22.229,MIA,@,NYJ,L 7-29,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,322,46.00,0
4,1967,1967-10-08,4,22.236,MIA,@,KAN,L 0-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,102,34.00,0
5,1967,1967-10-15,5,22.243,MIA,@,BOS,L 10-41,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,252,42.00,0
6,1967,1967-10-22,6,22.250,MIA,,NYJ,L 14-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,236,39.33,0
7,1967,1967-11-05,7,22.264,MIA,@,BUF,L 13-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,257,36.71,0
8,1967,1967-11-12,8,22.271,MIA,@,SDG,L 0-24,0,0,,0,1,34,34.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,8,361,45.13,0
9,1967,1967-11-19,9,22.278,MIA,@,OAK,L 17-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,206,41.20,0
10,1967,1967-11-26,10,22.285,MIA,,BUF,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,3,108,36.00,0
11,1967,1967-12-03,11,22.292,MIA,@,HOU,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,251,41.83,0
12,1967,1967-12-10,12,22.299,MIA,,SDG,W 41-24,0,0,,0,0,0,,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,0,0,3,142,47.33,0
13,1967,1967-12-17,13,22.306,MIA,,BOS,W 41-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,182,36.40,1
