ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-10-07,4,27.021,CLE,@,PIT,W 30-17,1,-1,-1.00,0
2,1954,1954-10-24,4,31.038,CLE,@,CRD,W 35-3,1,-6,-6.00,0
3,1955,1955-10-02,2,32.016,CLE,@,SFO,W 38-3,1,2,2.00,0
