ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1994,1994-11-20,11,23.340,BUF,,GNB,W 29-20,1,1,17,17.00,0,100.0%,17.00,0,0,,0
2,1994,1994-11-24,12,23.344,BUF,@,DET,L 21-35,1,1,14,14.00,0,100.0%,14.00,0,0,,0
3,1994,1994-12-24,16,24.009,BUF,@,IND,L 9-10,,0,0,,0,0.0%,,,,,
4,1995,1995-09-03,1,24.262,BUF,@,DEN,L 7-22,1,1,18,18.00,0,100.0%,18.00,0,0,,0
5,1995,1995-09-10,2,24.269,BUF,,CAR,W 31-9,,0,0,,0,0.0%,,0,0,,0
6,1995,1995-09-17,3,24.276,BUF,,IND,W 20-14,,0,0,,0,0.0%,,0,0,,0
7,1995,1995-10-15,6,24.304,BUF,,SEA,W 27-21,,0,0,,0,0.0%,,0,0,,0
8,1995,1995-10-23,7,24.312,BUF,@,NWE,L 14-27,,0,0,,0,0.0%,,0,0,,0
9,1995,1995-10-29,8,24.318,BUF,@,MIA,L 6-23,,0,0,,0,0.0%,,0,0,,0
10,1995,1995-11-05,9,24.325,BUF,@,IND,W 16-10,1,0,0,,0,0.0%,0.00,0,0,,0
11,1995,1995-11-12,10,24.332,BUF,,ATL,W 23-17,,0,0,,0,0.0%,,0,0,,0
12,1995,1995-11-19,11,24.339,BUF,@,NYJ,W 28-26,0,0,0,,0,0.0%,,1,0,0.00,0
13,1995,1995-11-26,12,24.346,BUF,,NWE,L 25-35,,0,0,,0,0.0%,,0,0,,0
14,1995,1995-12-03,13,24.353,BUF,@,SFO,L 17-27,0,0,0,,0,0.0%,,0,0,,0
15,1995,1995-12-10,14,24.360,BUF,@,STL,W 45-27,0,0,0,,0,0.0%,,0,0,,0
16,1995,1995-12-17,15,25.002,BUF,,MIA,W 23-20,,0,0,,0,0.0%,,0,0,,0
17,1995,1995-12-24,16,25.009,BUF,,HOU,L 17-28,,0,0,,0,0.0%,,0,0,,0
