ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1990,1990-10-07,5,22.306,HOU,,SFO,L 21-24,0,0,,0,,,,,,,,,,,
2,1990,1990-10-14,6,22.313,HOU,,CIN,W 48-17,5,36,7.20,0,,0,0,,0,,,0,0,,0
3,1990,1990-10-21,7,22.320,HOU,,NOR,W 23-10,0,0,,0,,,,,,,,,,,
4,1990,1990-11-18,10,22.348,HOU,@,CLE,W 35-23,0,0,,0,,,,,,,,,,,
5,1990,1990-11-26,11,22.356,HOU,,BUF,W 27-24,0,0,,0,,,,,,,,,,,
6,1990,1990-12-02,12,22.362,HOU,@,SEA,L 10-13,0,0,,0,,,,,,,,,,,
7,1990,1990-12-09,13,23.004,HOU,,CLE,W 58-14,9,39,4.33,0,,0,0,,0,,,0,0,,0
8,1990,1990-12-16,14,23.011,HOU,@,KAN,W 27-10,0,0,,0,,,,,,,,,,,
9,1990,1990-12-23,15,23.018,HOU,@,CIN,L 20-40,0,0,,0,,,,,,,,,,,
10,1990,1990-12-30,16,23.025,HOU,,PIT,W 34-14,0,0,,0,,,,,,,,,,,
11,1991,1991-09-08,2,23.277,HOU,@,CIN,W 30-7,,,,,,,,,,,,0,0,,0
12,1991,1991-09-16,3,23.285,HOU,,KAN,W 17-7,,,,,,,,,,,,0,0,,0
13,1991,1991-09-22,4,23.291,HOU,@,NWE,L 20-24,0,0,,0,,0,0,,0,,,1,7,7.00,0
14,1991,1991-10-06,5,23.305,HOU,,DEN,W 42-14,,,,,,,,,,,,0,0,,0
15,1991,1991-10-13,6,23.312,HOU,@,NYJ,W 23-20,,,,,,,,,,,,0,0,,0
16,1991,1991-10-20,7,23.319,HOU,@,MIA,W 17-13,,,,,,,,,,,,0,0,,0
17,1991,1991-10-27,8,23.326,HOU,,CIN,W 35-3,,,,,,,,,,,,0,0,,0
18,1991,1991-11-10,10,23.340,HOU,,DAL,W 26-23,,,,,,,,,,,,0,0,,0
19,1991,1991-11-17,11,23.347,HOU,,CLE,W 28-24,,,,,,,,,,,,0,0,,0
20,1991,1991-11-24,12,23.354,HOU,@,PIT,L 14-26,,,,,,,,,,,,0,0,,0
21,1991,1991-12-02,13,23.362,HOU,,PHI,L 6-13,,,,,,,,,,,,0,0,,0
22,1991,1991-12-08,14,24.003,HOU,,PIT,W 31-6,,,,,,,,,,,,0,0,,0
23,1991,1991-12-15,15,24.010,HOU,@,CLE,W 17-14,,,,,,,,,,,,0,0,,0
24,1991,1991-12-21,16,24.016,HOU,@,NYG,L 20-24,,,,,,,,,,,,0,0,,0
25,1992,1992-09-06,1,24.276,DEN,,RAI,W 17-13,,,,,,0,0,,0,0.0%,,,,,
26,1992,1992-09-13,2,24.283,DEN,,SDG,W 21-13,,,,,,0,0,,0,0.0%,,,,,
27,1992,1992-09-20,3,24.290,DEN,@,PHI,L 0-30,0,0,,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0
28,1992,1992-09-27,4,24.297,DEN,@,CLE,W 12-0,,,,,,0,0,,0,0.0%,,,,,
29,1992,1992-10-04,5,24.304,DEN,,KAN,W 20-19,,,,,,0,0,,0,0.0%,,,,,
30,1992,1992-10-12,6,24.312,DEN,@,WAS,L 3-34,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0
31,1992,1992-10-18,7,24.318,DEN,,HOU,W 27-21,,,,,,0,0,,0,0.0%,,,,,
32,1992,1992-10-25,8,24.325,DEN,@,SDG,L 21-24,,,,,,0,0,,0,0.0%,,,,,
33,1992,1992-11-08,9,24.339,DEN,,NYJ,W 27-16,,,,,,0,0,,0,0.0%,,,,,
34,1992,1992-11-15,10,24.346,DEN,,NYG,W 27-13,,,,,,0,0,,0,0.0%,,,,,
35,1992,1992-11-22,11,24.353,DEN,@,RAI,L 0-24,,,,,,0,0,,0,0.0%,,,,,
36,1992,1992-11-30,12,24.361,DEN,@,SEA,L 13-16,,,,,,0,0,,0,0.0%,,,,,
37,1992,1992-12-06,13,25.001,DEN,,DAL,L 27-31,,,,,,0,0,,0,0.0%,,,,,
38,1992,1992-12-12,14,25.007,DEN,@,BUF,L 17-27,,,,,,0,0,,0,0.0%,,,,,
39,1992,1992-12-20,15,25.015,DEN,,SEA,W 10-6,,,,,,0,0,,0,0.0%,,,,,
40,1992,1992-12-27,16,25.022,DEN,@,KAN,L 20-42,,,,,,0,0,,0,0.0%,,,,,
