ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1987,1987-10-04,3,24.058,DAL,@,NYJ,W 38-24,1,0,0.00,0
2,1987,1987-10-11,4,24.065,DAL,,PHI,W 41-22,0,0,,0
3,1987,1987-10-19,5,24.073,DAL,,WAS,L 7-13,0,0,,0
