ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1984,1984-09-02,1,22.235,CIN,@,DEN,L 17-20,,,,,,,
2,1984,1984-09-09,2,22.242,CIN,,KAN,L 22-27,,,,,,,
3,1984,1984-09-16,3,22.249,CIN,@,NYJ,L 23-43,,,,,,,
4,1984,1984-09-23,4,22.256,CIN,,RAM,L 14-24,,,,,,,
5,1984,1984-10-01,5,22.264,CIN,@,PIT,L 17-38,,,,,,,
6,1984,1984-10-07,6,22.270,CIN,,HOU,W 13-3,,,,,,,
7,1984,1984-10-14,7,22.277,CIN,@,NWE,L 14-20,,,,,,,
8,1984,1984-10-21,8,22.284,CIN,,CLE,W 12-9,,,,,,,
9,1984,1984-10-28,9,22.291,CIN,@,HOU,W 31-13,,,,,,,
10,1984,1984-11-04,10,22.298,CIN,@,SFO,L 17-23,,,,,,,
11,1984,1984-11-11,11,22.305,CIN,,PIT,W 22-20,,,,,,,
12,1984,1984-11-18,12,22.312,CIN,,SEA,L 6-26,,,,,,,
13,1984,1984-11-25,13,22.319,CIN,,ATL,W 35-14,,,,,,,
14,1984,1984-12-02,14,22.326,CIN,@,CLE,W 20-17,,,,,,,
15,1984,1984-12-09,15,22.333,CIN,@,NOR,W 24-21,,,,,,,
16,1984,1984-12-16,16,22.340,CIN,,BUF,W 52-21,,,,,,,
17,1985,1985-09-08,1,23.240,CIN,,SEA,L 24-28,,0,0,,0,,
18,1985,1985-09-15,2,23.247,CIN,@,STL,L 27-41,,0,0,,0,,
19,1985,1985-09-22,3,23.254,CIN,,SDG,L 41-44,,0,0,,0,,
20,1985,1985-09-30,4,23.262,CIN,@,PIT,W 37-24,,0,0,,0,,
21,1985,1985-10-06,5,23.268,CIN,,NYJ,L 20-29,,0,0,,0,,
22,1985,1985-10-13,6,23.275,CIN,,NYG,W 35-30,,0,0,,0,,
23,1985,1985-10-20,7,23.282,CIN,@,HOU,L 27-44,,0,0,,0,,
24,1985,1985-10-27,8,23.289,CIN,,PIT,W 26-21,,0,0,,0,,
25,1985,1985-11-03,9,23.296,CIN,@,BUF,W 23-17,,0,0,,0,,
26,1985,1985-11-10,10,23.303,CIN,,CLE,W 27-10,,0,0,,0,,
27,1985,1985-11-17,11,23.310,CIN,@,RAI,L 6-13,,0,0,,0,,
28,1985,1985-11-24,12,23.317,CIN,@,CLE,L 6-24,,0,0,,0,,
29,1985,1985-12-01,13,23.324,CIN,,HOU,W 45-27,,0,0,,0,,
30,1985,1985-12-08,14,23.331,CIN,,DAL,W 50-24,,1,4,4.00,0,,
31,1985,1985-12-15,15,23.338,CIN,@,WAS,L 24-27,,0,0,,0,,
32,1985,1985-12-22,16,23.345,CIN,@,NWE,L 23-34,,0,0,,0,,
33,1986,1986-09-07,1,24.239,CIN,@,KAN,L 14-24,,,,,,,
34,1986,1986-09-14,2,24.246,CIN,,BUF,W 36-33,,,,,,,
35,1986,1986-09-18,3,24.250,CIN,@,CLE,W 30-13,,,,,,,
36,1986,1986-09-28,4,24.260,CIN,,CHI,L 7-44,,,,,,,
37,1986,1986-10-05,5,24.267,CIN,@,GNB,W 34-28,,,,,,,
38,1986,1986-10-13,6,24.275,CIN,,PIT,W 24-22,,,,,,,
39,1986,1986-10-19,7,24.281,CIN,,HOU,W 31-28,,,,,,,
40,1986,1986-10-26,8,24.288,CIN,@,PIT,L 9-30,,,,,,,
41,1986,1986-11-02,9,24.295,CIN,@,DET,W 24-17,,,,,,,
42,1986,1986-11-09,10,24.302,CIN,@,HOU,L 28-32,,,,,,,
43,1986,1986-11-16,11,24.309,CIN,,SEA,W 34-7,,,,,,,
44,1986,1986-11-23,12,24.316,CIN,,MIN,W 24-20,,,,,,,
45,1986,1986-11-30,13,24.323,CIN,@,DEN,L 28-34,,,,,,,
46,1986,1986-12-07,14,24.330,CIN,@,NWE,W 31-7,,,,,,,
47,1986,1986-12-14,15,24.337,CIN,,CLE,L 3-34,,,,,,,
48,1986,1986-12-21,16,24.344,CIN,,NYJ,W 52-21,,,,,,,
49,1987,1987-09-13,1,25.245,CIN,@,IND,W 23-21,,,,,,,
50,1987,1987-09-20,2,25.252,CIN,,SFO,L 26-27,,,,,,,
51,1987,1987-10-25,6,25.287,CIN,@,PIT,L 20-23,,,,,,,
52,1987,1987-11-01,7,25.294,CIN,,HOU,L 29-31,,,,,,,
53,1987,1987-11-08,8,25.301,CIN,,MIA,L 14-20,,,,,,,
54,1987,1987-11-15,9,25.308,CIN,@,ATL,W 16-10,,,,,,,
55,1987,1987-11-22,10,25.315,CIN,,PIT,L 16-30,,,,,,,
56,1987,1987-11-29,11,25.322,CIN,@,NYJ,L 20-27,,,,,,,
57,1987,1987-12-06,12,25.329,CIN,,KAN,W 30-27,,,,,,,
58,1987,1987-12-13,13,25.336,CIN,@,CLE,L 24-38,,,,,,,
59,1987,1987-12-20,14,25.343,CIN,,NOR,L 24-41,,,,,,,
60,1988,1988-09-04,1,26.237,CIN,,PHO,W 21-14,,,,,,,
61,1988,1988-09-11,2,26.244,CIN,@,PHI,W 28-24,,,,,,,
62,1988,1988-09-18,3,26.251,CIN,@,PIT,W 17-12,,,,,,,
