ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1980,1980-09-07,1,23.227,CIN,,TAM,L 12-17,2,32,16.00,0,0,0,,0,0,0,0
2,1980,1980-09-14,2,23.234,CIN,@,MIA,L 16-17,1,21,21.00,0,0,0,,0,0,0,0
3,1980,1980-09-21,3,23.241,CIN,,PIT,W 30-28,,,,,,,,,,,
4,1980,1980-09-28,4,23.248,CIN,,HOU,L 10-13,1,16,16.00,0,0,0,,0,0,0,0
5,1980,1980-10-05,5,23.255,CIN,@,GNB,L 9-14,,,,,,,,,,,
6,1980,1980-10-12,6,23.262,CIN,@,PIT,W 17-16,,,,,,,,,,,
7,1980,1980-10-19,7,23.269,CIN,,MIN,W 14-0,0,0,,0,0,0,,0,1,8,0
8,1980,1980-10-26,8,23.276,CIN,@,HOU,L 3-23,,,,,,,,,,,
9,1980,1980-11-02,9,23.283,CIN,,SDG,L 14-31,,,,,,,,,,,
10,1980,1980-11-09,10,23.290,CIN,@,OAK,L 17-28,1,18,18.00,0,0,0,,0,0,0,0
11,1980,1980-11-16,11,23.297,CIN,,BUF,L 0-14,,,,,,,,,,,
12,1980,1980-11-23,12,23.304,CIN,@,CLE,L 7-31,,,,,,,,,,,
13,1980,1980-11-30,13,23.311,CIN,@,KAN,W 20-6,,,,,,,,,,,
14,1980,1980-12-07,14,23.318,CIN,,BAL,W 34-33,,,,,,,,,,,
15,1980,1980-12-14,15,23.325,CIN,@,CHI,W 17-14,,,,,,,,,,,
16,1980,1980-12-21,16,23.332,CIN,,CLE,L 24-27,,,,,,,,,,,
17,1981,1981-09-06,1,24.225,CIN,,SEA,W 27-21,,,,,0,0,,0,,,
18,1981,1981-09-13,2,24.232,CIN,@,NYJ,W 31-30,,,,,0,0,,0,,,
19,1981,1981-09-20,3,24.239,CIN,,CLE,L 17-20,,,,,0,0,,0,,,
20,1981,1981-09-27,4,24.246,CIN,,BUF,W 27-24,,,,,0,0,,0,,,
21,1981,1981-10-04,5,24.253,CIN,@,HOU,L 10-17,,,,,0,0,,0,,,
22,1981,1981-10-11,6,24.260,CIN,@,BAL,W 41-19,,,,,0,0,,0,,,
23,1981,1981-10-18,7,24.267,CIN,,PIT,W 34-7,,,,,0,0,,0,,,
24,1981,1981-10-25,8,24.274,CIN,@,NOR,L 7-17,,,,,0,0,,0,,,
25,1981,1981-11-01,9,24.281,CIN,,HOU,W 34-21,,,,,0,0,,0,,,
26,1981,1981-11-08,10,24.288,CIN,@,SDG,W 40-17,0,0,,0,1,4,4.00,0,0,0,0
27,1981,1981-11-15,11,24.295,CIN,,RAM,W 24-10,,,,,0,0,,0,,,
28,1981,1981-11-22,12,24.302,CIN,,DEN,W 38-21,,,,,0,0,,0,,,
29,1981,1981-11-29,13,24.309,CIN,@,CLE,W 41-21,,,,,0,0,,0,,,
30,1981,1981-12-06,14,24.316,CIN,,SFO,L 3-21,,,,,0,0,,0,,,
31,1981,1981-12-13,15,24.323,CIN,@,PIT,W 17-10,,,,,0,0,,0,,,
32,1981,1981-12-20,16,24.330,CIN,@,ATL,W 30-28,,,,,0,0,,0,,,
33,1982,1982-09-12,1,25.231,CIN,,HOU,W 27-6,,,,,,,,,,,
34,1982,1982-09-19,2,25.238,CIN,@,PIT,L 20-26,,,,,,,,,,,
35,1982,1982-11-21,3,25.301,CIN,@,PHI,W 18-14,,,,,,,,,,,
36,1982,1982-11-28,4,25.308,CIN,,RAI,W 31-17,,,,,,,,,,,
37,1982,1982-12-05,5,25.315,CIN,@,BAL,W 20-17,,,,,,,,,,,
38,1982,1982-12-12,6,25.322,CIN,,CLE,W 23-10,,,,,,,,,,,
39,1982,1982-12-20,7,25.330,CIN,@,SDG,L 34-50,,,,,,,,,,,
