ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-09,1,23.243,CIN,,NWE,W 23-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
2,2001,2001-09-23,2,23.257,CIN,,BAL,W 21-10,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
3,2001,2001-09-30,3,23.264,CIN,@,SDG,L 14-28,,4,2,28,14.00,1,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
4,2001,2001-10-07,4,23.271,CIN,@,PIT,L 7-16,*,6,5,52,10.40,0,83.3%,8.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
5,2001,2001-10-14,5,23.278,CIN,,CLE,W 24-14,,8,5,68,13.60,0,62.5%,8.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
6,2001,2001-11-25,10,23.320,CIN,@,CLE,L 0-18,,8,1,7,7.00,0,12.5%,0.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
7,2001,2001-12-02,11,23.327,CIN,,TAM,L 13-16,,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
8,2001,2001-12-09,12,23.334,CIN,,JAX,L 10-14,,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
9,2001,2001-12-16,13,23.341,CIN,@,NYJ,L 14-15,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
10,2001,2001-12-23,14,23.348,CIN,@,BAL,L 0-16,,7,3,28,9.33,0,42.9%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
11,2001,2001-12-30,15,23.355,CIN,,PIT,W 26-23,,7,2,25,12.50,0,28.6%,3.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
12,2001,2002-01-06,16,23.362,CIN,@,TEN,W 23-21,*,7,2,34,17.00,0,28.6%,4.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
13,2002,2002-09-08,1,24.242,CIN,,SDG,L 6-34,,3,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
14,2002,2002-09-15,2,24.249,CIN,@,CLE,L 7-20,,8,4,58,14.50,1,50.0%,7.25,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
15,2002,2002-09-22,3,24.256,CIN,@,ATL,L 3-30,*,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
16,2002,2002-09-29,4,24.263,CIN,,TAM,L 7-35,*,10,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
17,2002,2002-10-06,5,24.270,CIN,@,IND,L 21-28,*,12,6,72,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
18,2002,2002-10-13,6,24.277,CIN,,PIT,L 7-34,*,8,7,71,10.14,0,87.5%,8.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
19,2002,2002-10-27,7,24.291,CIN,,TEN,L 24-30,*,7,6,86,14.33,0,85.7%,12.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
20,2002,2002-11-03,8,24.298,CIN,@,HOU,W 38-3,*,5,3,41,13.67,1,60.0%,8.20,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
21,2002,2002-11-10,9,24.305,CIN,@,BAL,L 27-38,*,11,7,110,15.71,1,63.6%,10.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
