ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-10-23,7,23.310,HOU,@,TEN,W 41-7,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
2,2011,2011-10-30,8,23.317,HOU,,JAX,W 24-14,,,,,,,,,,,,,,,,,,,
3,2011,2011-11-06,9,23.324,HOU,,CLE,W 30-12,,,,,,,,,,,,,,,,,,,
4,2011,2011-11-13,10,23.331,HOU,@,TAM,W 37-9,,,,,,,,,,,,,,,,,,,
5,2011,2011-11-27,11,23.345,HOU,@,JAX,W 20-13,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
6,2011,2011-12-04,12,23.352,HOU,,ATL,W 17-10,,,,,,,,,,,,,,,,,,,
7,2011,2011-12-11,13,23.359,HOU,@,CIN,W 20-19,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
8,2011,2011-12-18,14,24.001,HOU,,CAR,L 13-28,,,,,,,,,,,,,,,,,,,
9,2011,2011-12-22,15,24.005,HOU,@,IND,L 16-19,,,,,,,,,,,,,,,,,,,
10,2011,2012-01-01,16,24.015,HOU,,TEN,L 22-23,,0,0,,0,0,0,,0,1,11,11.00,0,0.0,0,0,0,0,0
11,2012,2012-09-09,1,24.267,HOU,,MIA,W 30-10,,,,,,,,,,,,,,,,,,,
12,2012,2012-09-16,2,24.274,HOU,@,JAX,W 27-7,,,,,,,,,,,,,,,,,,,
13,2012,2012-09-23,3,24.281,HOU,@,DEN,W 31-25,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
14,2012,2012-09-30,4,24.288,HOU,,TEN,W 38-14,,,,,,,,,,,,,,,,,,,
15,2012,2012-10-08,5,24.296,HOU,@,NYJ,W 23-17,,,,,,,,,,,,,,,,,,,
16,2012,2012-10-14,6,24.302,HOU,,GNB,L 24-42,,0,0,,0,0,0,,0,0,0,,0,0.0,1,1,0,0,0
17,2012,2012-10-21,7,24.309,HOU,,BAL,W 43-13,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
18,2012,2012-11-04,8,24.323,HOU,,BUF,W 21-9,,0,0,,0,1,0,0.00,0,0,0,,0,0.0,0,0,0,0,0
19,2012,2012-11-11,9,24.330,HOU,@,CHI,W 13-6,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
20,2012,2012-11-18,10,24.337,HOU,,JAX,W 43-37,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
21,2012,2012-11-22,11,24.341,HOU,@,DET,W 34-31,,,,,,,,,,,,,,,,,,,
