ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-12,1,23.314,ATL,,PHI,W 14-10,,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
2,2005,2005-09-18,2,23.320,ATL,@,SEA,L 18-21,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
3,2005,2005-09-25,3,23.327,ATL,@,BUF,W 24-16,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
4,2005,2005-10-02,4,23.334,ATL,,MIN,W 30-10,,4,2,12,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,,
5,2005,2005-10-09,5,23.341,ATL,,NWE,L 28-31,,4,0,2,,0,0.0%,0.50,0,0,,0,,0,0,0.0,,
6,2005,2005-10-16,6,23.348,ATL,@,NOR,W 34-31,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,,
7,2005,2005-10-24,7,23.356,ATL,,NYJ,W 27-14,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,,0,0,0.0,,
8,2005,2005-11-06,8,24.004,ATL,@,MIA,W 17-10,*,5,3,50,16.67,0,60.0%,10.00,1,16,16.00,0,,0,0,0.0,,
9,2005,2005-11-13,9,24.011,ATL,,GNB,L 25-33,*,2,2,22,11.00,1,100.0%,11.00,1,2,2.00,0,,1,6,0.0,,
10,2005,2005-11-20,10,24.018,ATL,,TAM,L 27-30,*,6,4,108,27.00,0,66.7%,18.00,0,0,,0,,0,0,0.0,,
11,2005,2005-11-24,11,24.022,ATL,@,DET,W 27-7,*,4,2,25,12.50,0,50.0%,6.25,0,0,,0,,0,0,0.0,,
12,2005,2005-12-04,12,24.032,ATL,@,CAR,L 6-24,*,4,3,35,11.67,0,75.0%,8.75,0,0,,0,,0,0,0.0,,
13,2005,2005-12-12,13,24.040,ATL,,NOR,W 36-17,*,5,2,65,32.50,1,40.0%,13.00,1,-7,-7.00,0,,1,6,0.0,,
14,2005,2005-12-18,14,24.046,ATL,@,CHI,L 3-16,*,6,1,19,19.00,0,16.7%,3.17,0,0,,0,,0,0,0.0,,
15,2005,2005-12-24,15,24.052,ATL,@,TAM,L 24-27,*,8,3,31,10.33,0,37.5%,3.88,0,0,,0,,0,0,0.0,,
16,2005,2006-01-01,16,24.060,ATL,,CAR,L 11-44,,10,4,47,11.75,1,40.0%,4.70,1,1,1.00,0,,1,6,0.0,,
17,2006,2006-09-10,1,24.312,ATL,@,CAR,W 20-6,*,5,1,5,5.00,0,20.0%,1.00,0,0,,0,,0,0,0.0,,
18,2006,2006-09-17,2,24.319,ATL,,TAM,W 14-3,*,1,1,18,18.00,0,100.0%,18.00,0,0,,0,,0,0,0.0,,
19,2006,2006-09-25,3,24.327,ATL,@,NOR,L 3-23,,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
20,2006,2006-10-01,4,24.333,ATL,,ARI,W 32-10,,5,4,26,6.50,0,80.0%,5.20,0,0,,0,,0,0,0.0,,
21,2006,2006-10-15,5,24.347,ATL,,NYG,L 14-27,*,6,2,20,10.00,0,33.3%,3.33,0,0,,0,,0,0,0.0,,
22,2006,2006-10-22,6,24.354,ATL,,PIT,W 41-38,*,7,2,10,5.00,0,28.6%,1.43,0,0,,0,,0,0,0.0,,
23,2006,2006-10-29,7,24.361,ATL,@,CIN,W 29-27,,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,,
24,2006,2006-11-05,8,25.003,ATL,@,DET,L 14-30,*,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
25,2006,2006-11-12,9,25.010,ATL,,CLE,L 13-17,,6,5,99,19.80,0,83.3%,16.50,0,0,,0,,0,0,0.0,,
