ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-09-05,1,23.188,NWE,@,BUF,L 14-38,,0,0,,0,0.0%,,0,0,,0,1,30,30.00,0,0,0,,0,0,0
2,1993,1993-09-12,2,23.195,NWE,,DET,L 16-19,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,
3,1993,1993-09-19,3,23.202,NWE,,SEA,L 14-17,9,5,68,13.60,0,55.6%,7.56,0,0,,0,0,0,,0,0,0,,0,0,0
4,1993,1993-09-26,4,23.209,NWE,@,NYJ,L 7-45,1,1,44,44.00,0,100.0%,44.00,1,-3,-3.00,0,5,115,23.00,0,0,0,,0,0,0
5,1993,1993-10-10,5,23.223,NWE,@,PHO,W 23-21,,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0,,0,0,0
6,1993,1993-10-17,6,23.230,NWE,,HOU,L 14-28,,0,0,,0,0.0%,,0,0,,0,2,46,23.00,0,2,37,18.50,0,0,0
7,1993,1993-10-24,7,23.237,NWE,@,SEA,L 9-10,2,1,26,26.00,0,50.0%,13.00,0,0,,0,1,44,44.00,0,0,0,,0,0,0
8,1993,1993-10-31,8,23.244,NWE,@,IND,L 6-9,8,4,40,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,0
9,1993,1993-11-07,9,23.251,NWE,,BUF,L 10-13,2,0,0,,0,0.0%,0.00,0,0,,0,2,33,16.50,0,0,0,,0,0,0
10,1993,1993-11-21,10,23.265,NWE,@,MIA,L 13-17,2,1,40,40.00,1,50.0%,20.00,0,0,,0,3,65,21.67,0,0,0,,0,1,6
11,1993,1993-11-28,11,23.272,NWE,,NYJ,L 0-6,,0,0,,0,0.0%,,0,0,,0,1,9,9.00,0,0,0,,0,0,0
12,1993,1993-12-05,12,23.279,NWE,@,PIT,L 14-17,4,3,69,23.00,0,75.0%,17.25,0,0,,0,1,16,16.00,0,0,0,,0,0,0
