ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.227,NWE,@,TEN,W 34-13,,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2012,2012-09-16,2,22.234,NWE,,ARI,L 18-20,,,,,,,,,,,0.0%,,,,,,
3,2012,2012-09-23,3,22.241,NWE,@,BAL,L 30-31,,2,4,2.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
4,2012,2012-09-30,4,22.248,NWE,@,BUF,W 52-28,,16,137,8.56,1,1,1,11,11.00,0,100.0%,11.00,1,6,0.0,0,0
5,2012,2012-10-07,5,22.255,NWE,,DEN,W 31-21,,14,54,3.86,0,1,1,0,0.00,0,100.0%,0.00,0,0,0.0,0,0
6,2012,2012-10-14,6,22.262,NWE,@,SEA,L 23-24,,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2012,2012-12-10,13,22.319,NWE,,HOU,W 42-14,,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
8,2012,2012-12-16,14,22.325,NWE,,SFO,L 34-41,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
9,2012,2012-12-23,15,22.332,NWE,@,JAX,W 23-16,,5,3,0.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
10,2012,2012-12-30,16,22.339,NWE,,MIA,W 28-0,,6,26,4.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
11,2013,2013-09-22,3,23.239,NWE,,TAM,W 23-3,*,3,51,17.00,0,6,5,49,9.80,0,83.3%,8.17,0,0,0.0,0,0
12,2013,2013-09-29,4,23.246,NWE,@,ATL,W 30-23,,6,17,2.83,0,1,1,-5,-5.00,0,100.0%,-5.00,0,0,0.0,0,0
13,2013,2013-10-06,5,23.253,NWE,@,CIN,L 6-13,,5,24,4.80,0,8,6,40,6.67,0,75.0%,5.00,0,0,0.0,0,0
14,2013,2013-10-13,6,23.260,NWE,,NOR,W 30-27,,5,19,3.80,0,3,2,9,4.50,0,66.7%,3.00,0,0,0.0,0,0
15,2013,2013-10-20,7,23.267,NWE,@,NYJ,L 27-30,*,8,36,4.50,1,3,1,7,7.00,0,33.3%,2.33,1,6,0.0,0,0
16,2013,2013-10-27,8,23.274,NWE,,MIA,W 27-17,,8,22,2.75,1,2,2,7,3.50,0,100.0%,3.50,1,6,0.0,0,0
17,2013,2013-11-03,9,23.281,NWE,,PIT,W 55-31,,3,36,12.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2013,2013-11-24,11,23.302,NWE,,DEN,W 34-31,,13,58,4.46,1,1,1,11,11.00,0,100.0%,11.00,1,6,0.0,0,0
19,2013,2013-12-01,12,23.309,NWE,@,HOU,W 34-31,,3,2,0.67,0,1,1,18,18.00,0,100.0%,18.00,0,0,0.0,0,0
20,2013,2013-12-15,14,23.323,NWE,@,MIA,L 20-24,,,,,,,,,,,0.0%,,,,,,
21,2013,2013-12-22,15,23.330,NWE,@,BAL,W 41-7,,1,6,6.00,0,4,2,16,8.00,0,50.0%,4.00,0,0,0.0,0,0
22,2013,2013-12-29,16,23.337,NWE,,BUF,W 34-20,,0,0,,0,,0,0,,0,0.0%,,0,0,0.0,0,1
23,2014,2014-09-07,1,24.224,NWE,@,MIA,L 20-33,,2,8,4.00,0,3,1,4,4.00,0,33.3%,1.33,0,0,0.0,0,0
24,2014,2014-09-14,2,24.231,NWE,@,MIN,W 30-7,,4,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
25,2014,2014-09-21,3,24.238,NWE,,OAK,W 16-9,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
26,2014,2014-09-29,4,24.246,NWE,@,KAN,L 14-41,,,,,,,,,,,0.0%,,,,,,
27,2014,2014-10-05,5,24.252,NWE,,CIN,W 43-17,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,1,1
28,2014,2014-10-12,6,24.259,NWE,@,BUF,W 37-22,,6,10,1.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
29,2014,2014-10-16,7,24.263,NWE,,NYJ,W 27-25,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,0.0,0,0
30,2014,2014-10-26,8,24.273,NWE,,CHI,W 51-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,1
31,2014,2014-11-02,9,24.280,NWE,,DEN,W 43-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
32,2014,2014-11-16,10,24.294,NWE,@,IND,W 42-20,,,,,,,,,,,0.0%,,,,,,
33,2014,2014-11-23,11,24.301,NWE,,DET,W 34-9,,,,,,0,,,,,0.0%,,,,,,
34,2014,2014-11-30,12,24.308,NWE,@,GNB,L 21-26,*,3,17,5.67,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
35,2014,2014-12-07,13,24.315,NWE,@,SDG,W 23-14,,0,0,,0,,0,0,,0,0.0%,,0,0,0.0,0,0
36,2014,2014-12-14,14,24.322,NWE,,MIA,W 41-13,,,,,,,,,,,0.0%,,,,,,
37,2014,2014-12-21,15,24.329,NWE,@,NYJ,W 17-16,,5,32,6.40,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
38,2014,2014-12-28,16,24.336,NWE,,BUF,L 9-17,*,5,15,3.00,0,2,0,0,,0,0.0%,0.00,0,0,0.0,1,0
39,2015,2015-09-10,1,25.227,NWE,,PIT,W 28-21,,5,1,0.20,0,2,1,12,12.00,0,50.0%,6.00,0,0,0.0,0,0
40,2015,2015-09-20,2,25.237,NWE,@,BUF,W 40-32,,1,1,1.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0
41,2015,2015-09-27,3,25.244,NWE,,JAX,W 51-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
42,2015,2015-10-11,4,25.258,NWE,@,DAL,W 30-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
43,2015,2015-10-18,5,25.265,NWE,@,IND,W 34-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,0
