ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1954,1954-10-17,4,26.184,CRD,@,NYG,L 17-31,2,37,18.50,0,,,,,0,,,,
2,1954,1954-11-14,8,26.212,CRD,@,RAM,L 17-28,2,21,10.50,0,,,,,0,,,,
3,1955,1955-10-16,4,27.183,CRD,@,NYG,L 0-10,1,12,12.00,0,,,,,0,,,,
4,1955,1955-11-13,8,27.211,CRD,@,GNB,L 14-31,1,98,98.00,1,,,,,1,,,,
5,1956,1956-12-09,11,28.237,CRD,@,CHI,L 3-10,1,75,75.00,0,,,,,0,,,,
6,1958,1958-12-07,11,30.235,CRD,@,CHI,L 14-30,1,10,10.00,0,,,,,0,,,,
7,1960,1960-10-16,3,32.183,DET,@,PHI,L 10-28,0,0,,0,0,0,,0,0,0,1,0,0
8,1960,1960-10-23,4,32.190,DET,,BAL,W 30-17,0,0,,0,0,0,,0,1,6,1,80,1
9,1960,1960-11-06,6,32.204,DET,@,SFO,W 24-0,0,0,,0,0,0,,0,0,0,2,16,0
10,1960,1960-11-20,8,32.218,DET,@,CHI,L 7-28,0,0,,0,0,0,,0,0,0,1,6,0
11,1961,1961-09-17,1,33.154,DET,@,GNB,W 17-13,0,0,,0,0,0,,0,0,0,2,10,0
12,1961,1961-10-01,3,33.168,DET,,SFO,L 0-49,0,0,,0,1,6,6.00,0,0,0,1,8,0
13,1961,1961-10-22,6,33.189,DET,,BAL,L 14-17,0,0,,0,0,0,,0,0,0,1,16,0
14,1961,1961-12-10,13,33.238,DET,,MIN,W 13-7,0,0,,0,0,0,,0,0,0,2,39,0
15,1962,1962-11-04,8,34.202,DET,@,RAM,W 12-3,0,0,,0,0,0,,0,0,0,1,0,0
16,1962,1962-11-11,9,34.209,DET,@,SFO,W 38-24,0,0,,0,0,0,,0,0,0,1,1,0
17,1962,1962-11-18,10,34.216,DET,@,MIN,W 17-6,0,0,,0,0,0,,0,0,0,1,13,0
18,1962,1962-11-22,11,34.220,DET,,GNB,W 26-14,0,0,,0,0,0,,0,0,0,1,2,0
19,1963,1963-09-14,1,35.151,DET,@,RAM,W 23-2,0,0,,0,0,0,,0,0,0,2,33,0
20,1963,1963-09-29,3,35.166,DET,,CHI,L 21-37,0,0,,0,0,0,,0,0,0,1,4,0
21,1963,1963-10-13,5,35.180,DET,@,DAL,L 14-17,0,0,,0,0,0,,0,0,0,1,0,0
22,1963,1963-11-03,8,35.201,DET,@,SFO,W 45-7,0,0,,0,0,0,,0,0,0,1,33,0
23,1964,1964-10-25,7,36.192,DET,,BAL,L 0-34,0,0,,0,0,0,,0,0,0,1,11,0
