ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,22.123,NOR,,WAS,L 32-40,*,0,0,,0,0.0,3,1,0,0,0
2,2012,2012-09-16,2,22.130,NOR,@,CAR,L 27-35,*,0,0,,0,0.0,4,2,0,0,0
3,2012,2012-09-23,3,22.137,NOR,,KAN,L 24-27,,0,0,,0,0.0,3,0,0,0,0
4,2012,2012-09-30,4,22.144,NOR,@,GNB,L 27-28,,0,0,,0,0.0,1,0,0,0,0
5,2012,2012-10-07,5,22.151,NOR,,SDG,W 31-24,*,0,0,,0,0.0,2,1,0,0,0
6,2012,2012-10-21,6,22.165,NOR,@,TAM,W 35-28,,0,0,,0,0.0,1,0,0,0,0
7,2012,2012-10-28,7,22.172,NOR,@,DEN,L 14-34,*,0,0,,0,0.0,3,1,0,0,0
8,2012,2012-11-05,8,22.180,NOR,,PHI,W 28-13,,0,0,,0,0.0,3,1,0,0,0
9,2012,2012-11-11,9,22.186,NOR,,ATL,W 31-27,,0,0,,0,0.0,2,0,1,0,0
10,2012,2012-11-29,12,22.204,NOR,@,ATL,L 13-23,,,,,,,,,,,
11,2013,2013-09-08,1,23.122,NOR,,ATL,W 23-17,,0,0,,0,0.0,2,0,0,0,0
12,2013,2013-09-15,2,23.129,NOR,@,TAM,W 16-14,,,,,,,,,,,
13,2013,2013-09-22,3,23.136,NOR,,ARI,W 31-7,,0,0,,0,0.0,1,0,0,0,0
14,2013,2013-09-30,4,23.144,NOR,,MIA,W 38-17,,0,0,,0,0.0,1,0,0,0,0
15,2013,2013-10-06,5,23.150,NOR,@,CHI,W 26-18,,0,0,,0,0.0,1,0,0,0,0
16,2013,2013-10-13,6,23.157,NOR,@,NWE,L 27-30,,0,0,,0,0.0,1,0,0,0,0
17,2013,2013-10-27,7,23.171,NOR,,BUF,W 35-17,,0,0,,0,0.0,3,0,0,0,0
18,2013,2013-11-03,8,23.178,NOR,@,NYJ,L 20-26,,0,0,,0,0.0,3,0,0,0,0
19,2013,2013-11-10,9,23.185,NOR,,DAL,W 49-17,,0,0,,0,0.0,0,0,0,0,0
20,2013,2013-11-17,10,23.192,NOR,,SFO,W 23-20,,0,0,,0,0.0,1,1,1,43,0
21,2013,2013-11-21,11,23.196,NOR,@,ATL,W 17-13,*,0,0,,0,0.0,4,6,0,0,0
22,2013,2013-12-02,12,23.207,NOR,@,SEA,L 7-34,*,0,0,,0,0.0,2,3,0,0,0
23,2013,2013-12-08,13,23.213,NOR,,CAR,W 31-13,*,0,0,,0,0.0,1,2,0,0,0
24,2013,2013-12-15,14,23.220,NOR,@,STL,L 16-27,*,0,0,,0,0.0,1,0,0,0,0
