ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-09-23,2,22.039,DTX,@,OAK,W 26-16,0,0,,0,0,0,1,8,0
2,1962,1962-09-30,3,22.046,DTX,,BUF,W 41-21,0,0,,0,0,0,2,33,0
3,1962,1962-10-12,5,22.058,DTX,@,BOS,W 27-7,0,0,,0,0,0,2,15,0
4,1962,1962-10-28,7,22.074,DTX,@,HOU,W 31-7,0,0,,0,0,0,3,40,0
5,1962,1962-11-11,9,22.088,DTX,@,NYT,W 52-31,,,,,,,0,5,0
6,1963,1963-09-29,3,23.045,KAN,@,SDG,L 10-24,,,,,,,0,4,0
7,1963,1963-10-06,4,23.052,KAN,,HOU,W 28-7,0,0,,0,0,0,1,53,0
8,1963,1963-11-17,10,23.094,KAN,@,BOS,T 24-24,0,0,,0,0,0,1,31,0
9,1963,1963-12-08,12,23.115,KAN,,DEN,W 52-21,0,0,,0,0,0,2,99,0
10,1963,1963-12-22,14,23.129,KAN,,NYJ,W 48-0,0,0,,0,0,0,2,41,0
11,1964,1964-09-13,1,24.029,KAN,@,BUF,L 17-34,0,0,,0,0,0,1,0,0
12,1964,1964-10-04,3,24.050,KAN,,HOU,W 28-7,0,0,,0,1,6,4,108,1
13,1964,1964-10-18,5,24.064,KAN,,BUF,L 22-35,0,0,,0,0,0,2,25,0
14,1965,1965-11-07,9,25.084,KAN,,NYJ,L 10-13,0,0,,0,0,0,1,28,0
15,1966,1966-09-18,2,26.034,KAN,@,OAK,W 32-10,0,0,,0,0,0,1,23,0
16,1966,1966-10-08,5,26.054,KAN,,DEN,W 37-10,0,0,,0,0,0,1,33,0
17,1966,1966-10-23,7,26.069,KAN,@,DEN,W 56-10,0,0,,0,0,0,2,6,0
18,1966,1966-10-30,8,26.076,KAN,,HOU,W 48-23,0,0,,0,0,0,1,4,0
19,1966,1966-11-13,10,26.090,KAN,,MIA,W 34-16,0,0,,0,0,0,2,4,0
20,1966,1966-11-20,11,26.097,KAN,,BOS,T 27-27,0,0,,0,0,0,2,13,0
21,1966,1966-12-18,14,26.125,KAN,@,SDG,W 27-17,0,0,,0,0,0,1,30,0
22,1967,1967-09-24,2,27.040,KAN,@,MIA,W 24-0,0,0,,0,0,0,1,14,0
23,1967,1967-10-08,4,27.054,KAN,,MIA,W 41-0,0,0,,0,0,0,1,18,0
24,1967,1967-10-15,5,27.061,KAN,@,SDG,L 31-45,0,0,,0,0,0,1,39,0
25,1967,1967-10-29,7,27.075,KAN,,DEN,W 52-9,0,0,,0,0,0,1,0,0
26,1967,1967-11-23,11,27.100,KAN,,OAK,L 22-44,0,0,,0,0,0,1,0,0
27,1968,1968-10-06,5,28.052,CIN,@,DEN,L 7-10,1,5,5.00,1,1,6,0,0,0
28,1968,1968-10-27,8,28.073,CIN,@,OAK,L 10-31,0,0,,0,0,0,1,15,0
29,1969,1969-09-21,2,29.037,CIN,,SDG,W 34-20,0,0,,0,0,0,1,0,0
30,1969,1969-11-02,8,29.079,CIN,,OAK,W 31-17,0,0,,0,0,0,2,48,0
31,1969,1969-12-07,13,29.114,CIN,@,OAK,L 17-37,0,0,,0,0,0,1,18,0
