ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-09-19,1,23.049,SDG,@,CIN,W 34-7,,,,,,
2,1999,1999-09-26,2,23.056,SDG,,IND,L 19-27,,,,,,
3,1999,1999-10-03,3,23.063,SDG,,KAN,W 21-14,,,,,,
4,1999,1999-10-10,4,23.070,SDG,@,DET,W 20-10,,,,,,
5,1999,1999-10-17,5,23.077,SDG,,SEA,W 13-10,,,,,,
6,1999,1999-10-24,6,23.084,SDG,,GNB,L 3-31,,,,,,
7,1999,1999-10-31,7,23.091,SDG,@,KAN,L 0-34,,,,,,
8,1999,1999-11-07,8,23.098,SDG,,DEN,L 17-33,,,,,,
9,1999,1999-11-14,9,23.105,SDG,@,OAK,L 9-28,,,,,,
10,1999,1999-11-21,10,23.112,SDG,,CHI,L 20-23,*,,,,,
11,1999,1999-11-28,11,23.119,SDG,@,MIN,L 27-35,*,,,,,
12,1999,1999-12-05,12,23.126,SDG,,CLE,W 23-10,*,,,,,
13,1999,1999-12-12,13,23.133,SDG,@,SEA,W 19-16,,,,,,
14,1999,1999-12-19,14,23.140,SDG,@,MIA,L 9-12,,,,,,
15,1999,1999-12-26,15,23.147,SDG,,OAK,W 23-20,*,,,,,
16,1999,2000-01-02,16,23.154,SDG,@,DEN,W 12-6,*,,,,,
17,2000,2000-09-03,1,24.033,SDG,@,OAK,L 6-9,,,,,,
18,2001,2001-09-09,1,25.039,SDG,,WAS,W 30-3,,,,,,
19,2001,2001-09-23,2,25.053,SDG,@,DAL,W 32-21,,,,,,
20,2001,2001-09-30,3,25.060,SDG,,CIN,W 28-14,,,,,,
21,2001,2001-10-07,4,25.067,SDG,@,CLE,L 16-20,,,,,,
22,2001,2001-10-14,5,25.074,SDG,@,NWE,L 26-29,,,,,,
23,2001,2001-10-21,6,25.081,SDG,,DEN,W 27-10,,,,,,
24,2001,2001-10-28,7,25.088,SDG,,BUF,W 27-24,,1,6,1,37,1
25,2001,2001-11-04,8,25.095,SDG,,KAN,L 20-25,,,,,,
26,2001,2001-11-11,9,25.102,SDG,@,DEN,L 16-26,,,,,,
27,2001,2001-11-18,10,25.109,SDG,@,OAK,L 24-34,*,,,,,
28,2001,2001-11-25,11,25.116,SDG,,ARI,L 17-20,*,0,0,1,0,0
29,2001,2001-12-15,14,25.136,SDG,,OAK,L 6-13,,,,,,
30,2001,2001-12-23,15,25.144,SDG,@,KAN,L 17-20,,,,,,
31,2001,2001-12-30,16,25.151,SDG,,SEA,L 22-25,*,,,,,
32,2002,2002-10-20,6,26.080,MIN,@,NYJ,L 7-20,,,,,,
33,2002,2002-10-27,7,26.087,MIN,,CHI,W 25-7,,,,,,
34,2002,2002-11-03,8,26.094,MIN,@,TAM,L 24-38,,,,,,
35,2002,2002-12-22,15,26.143,CIN,,NOR,W 20-13,,,,,,
36,2002,2002-12-29,16,26.150,CIN,@,BUF,L 9-27,,,,,,
