ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2002,2002-10-20,7,26.159,MIA,,BUF,L 10-23,,3,,,,,0.0%,,,,,
2,2002,2002-11-04,8,26.174,MIA,@,GNB,L 10-24,,0,,,,,0.0%,,,,,
3,2002,2002-11-10,9,26.180,MIA,@,NYJ,L 10-13,,0,,,,,0.0%,,,,,
4,2002,2002-11-17,10,26.187,MIA,,BAL,W 26-7,,0,0,0,,0,0.0%,,2,26,13.00,0
5,2002,2002-11-24,11,26.194,MIA,,SDG,W 30-3,,1,1,17,17.00,0,100.0%,17.00,1,14,14.00,0
6,2002,2002-12-01,12,26.201,MIA,@,BUF,L 21-38,,,,,,,0.0%,,,,,
7,2002,2002-12-09,13,26.209,MIA,,CHI,W 27-9,,0,0,0,,0,0.0%,,2,1,0.50,0
8,2002,2002-12-15,14,26.215,MIA,,OAK,W 23-17,,0,0,0,,0,0.0%,,2,14,7.00,0
9,2002,2002-12-21,15,26.221,MIA,@,MIN,L 17-20,,,,,,,0.0%,,,,,
10,2002,2002-12-29,16,26.229,MIA,@,NWE,L 24-27,,0,,,,,0.0%,,,,,
