ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1984,1984-09-02,1,25.043,PIT,,KAN,L 27-37,0,0,,0
2,1984,1984-09-06,2,25.047,PIT,@,NYJ,W 23-17,1,0,0.00,0
3,1984,1984-09-16,3,25.057,PIT,,RAM,W 24-14,0,0,,0
4,1984,1984-09-23,4,25.064,PIT,@,CLE,L 10-20,0,0,,0
5,1984,1984-10-01,5,25.072,PIT,,CIN,W 38-17,0,0,,0
6,1984,1984-10-07,6,25.078,PIT,,MIA,L 7-31,0,0,,0
7,1984,1984-10-14,7,25.085,PIT,@,SFO,W 20-17,0,0,,0
8,1984,1984-11-11,11,25.113,PIT,@,CIN,L 20-22,0,0,,0
9,1984,1984-11-19,12,25.121,PIT,@,NOR,L 24-27,0,0,,0
10,1984,1984-12-02,14,25.134,PIT,@,HOU,L 20-23,0,0,,0
11,1984,1984-12-09,15,25.141,PIT,,CLE,W 23-20,0,0,,0
12,1984,1984-12-16,16,25.148,PIT,@,RAI,W 13-7,0,0,,0
13,1985,1985-09-08,1,26.049,PIT,,IND,W 45-3,,,,
14,1985,1985-09-16,2,26.057,PIT,@,CLE,L 7-17,,,,
15,1985,1985-09-22,3,26.063,PIT,,HOU,W 20-0,,,,
16,1985,1985-09-30,4,26.071,PIT,,CIN,L 24-37,,,,
17,1985,1985-10-06,5,26.077,PIT,@,MIA,L 20-24,,,,
18,1985,1985-10-13,6,26.084,PIT,@,DAL,L 13-27,,,,
19,1985,1985-10-20,7,26.091,PIT,,STL,W 23-10,,,,
20,1985,1985-10-27,8,26.098,PIT,@,CIN,L 21-26,,,,
21,1985,1985-11-03,9,26.105,PIT,,CLE,W 10-9,,,,
22,1985,1985-11-10,10,26.112,PIT,@,KAN,W 36-28,,,,
23,1985,1985-11-17,11,26.119,PIT,@,HOU,W 30-7,,,,
24,1985,1985-12-01,13,26.133,PIT,,DEN,L 23-31,,,,
25,1985,1985-12-08,14,26.140,PIT,@,SDG,L 44-54,,,,
26,1985,1985-12-15,15,26.147,PIT,,BUF,W 30-24,,,,
27,1985,1985-12-21,16,26.153,PIT,@,NYG,L 10-28,,,,
28,1986,1986-09-07,1,27.048,PIT,@,SEA,L 0-30,,,,
29,1986,1986-09-15,2,27.056,PIT,,DEN,L 10-21,,,,
30,1986,1986-09-21,3,27.062,PIT,@,MIN,L 7-31,,,,
31,1986,1986-09-28,4,27.069,PIT,@,HOU,W 22-16,,,,
32,1986,1986-10-05,5,27.076,PIT,,CLE,L 24-27,,,,
33,1986,1986-10-13,6,27.084,PIT,@,CIN,L 22-24,,,,
34,1986,1986-10-19,7,27.090,PIT,,NWE,L 0-34,,,,
35,1986,1986-10-26,8,27.097,PIT,,CIN,W 30-9,,,,
36,1986,1986-11-02,9,27.104,PIT,,GNB,W 27-3,,,,
37,1986,1986-11-09,10,27.111,PIT,@,BUF,L 12-16,,,,
38,1986,1986-11-16,11,27.118,PIT,,HOU,W 21-10,,,,
39,1986,1986-11-23,12,27.125,PIT,@,CLE,L 31-37,,,,
40,1986,1986-11-30,13,27.132,PIT,@,CHI,L 10-13,,,,
41,1986,1986-12-07,14,27.139,PIT,,DET,W 27-17,,,,
42,1986,1986-12-13,15,27.145,PIT,@,NYJ,W 45-24,,,,
43,1986,1986-12-21,16,27.153,PIT,,KAN,L 19-24,,,,
44,1987,1987-09-13,1,28.054,PIT,,SFO,W 30-17,,,,
45,1987,1987-09-20,2,28.061,PIT,@,CLE,L 10-34,,,,
46,1987,1987-10-18,5,28.089,PIT,,IND,W 21-7,,,,
47,1987,1987-10-25,6,28.096,PIT,,CIN,W 23-20,,,,
48,1987,1987-11-01,7,28.103,PIT,@,MIA,L 24-35,,,,
49,1987,1987-11-08,8,28.110,PIT,@,KAN,W 17-16,,,,
50,1987,1987-11-15,9,28.117,PIT,,HOU,L 3-23,,,,
51,1987,1987-11-22,10,28.124,PIT,@,CIN,W 30-16,,,,
52,1987,1987-11-29,11,28.131,PIT,,NOR,L 16-20,,,,
53,1987,1987-12-06,12,28.138,PIT,,SEA,W 13-9,,,,
54,1987,1987-12-13,13,28.145,PIT,@,SDG,W 20-16,,,,
55,1987,1987-12-20,14,28.152,PIT,@,HOU,L 16-24,,,,
56,1987,1987-12-26,15,28.158,PIT,,CLE,L 13-19,,,,
57,1988,1988-09-04,1,29.045,PIT,,DAL,W 24-21,,,,
58,1988,1988-09-11,2,29.052,PIT,@,WAS,L 29-30,,,,
59,1988,1988-09-18,3,29.059,PIT,,CIN,L 12-17,,,,
60,1988,1988-09-25,4,29.066,PIT,@,BUF,L 28-36,,,,
61,1988,1988-10-02,5,29.073,PIT,,CLE,L 9-23,,,,
62,1988,1988-10-09,6,29.080,PIT,@,PHO,L 14-31,,,,
63,1988,1988-10-16,7,29.087,PIT,,HOU,L 14-34,,,,
