ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1994,1994-09-04,1,23.207,NWE,@,MIA,L 35-39,5,182,36.40,0
2,1994,1994-09-11,2,23.214,NWE,,BUF,L 35-38,5,170,34.00,0
3,1994,1994-09-18,3,23.221,NWE,@,CIN,W 31-28,1,50,50.00,0
4,1994,1994-09-25,4,23.228,NWE,@,DET,W 23-17,4,217,54.25,0
5,1994,1994-10-02,5,23.235,NWE,,GNB,W 17-16,8,332,41.50,0
6,1994,1994-10-09,6,23.242,NWE,,RAI,L 17-21,6,263,43.83,0
7,1994,1994-10-16,7,23.249,NWE,@,NYJ,L 17-24,2,71,35.50,0
8,1994,1994-10-30,8,23.263,NWE,,MIA,L 3-23,4,153,38.25,0
9,1994,1994-11-06,9,23.270,NWE,@,CLE,L 6-13,5,225,45.00,0
10,1994,1994-11-13,10,23.277,NWE,,MIN,W 26-20,8,326,40.75,0
11,1994,1994-11-20,11,23.284,NWE,,SDG,W 23-17,3,101,33.67,0
12,1994,1994-11-27,12,23.291,NWE,@,IND,W 12-10,3,145,48.33,0
13,1994,1994-12-04,13,23.298,NWE,,NYJ,W 24-13,4,159,39.75,0
14,1994,1994-12-11,14,23.305,NWE,,IND,W 28-13,3,101,33.67,0
15,1994,1994-12-18,15,23.312,NWE,@,BUF,W 41-17,3,143,47.67,0
16,1994,1994-12-24,16,23.318,NWE,@,CHI,W 13-3,5,203,40.60,0
17,1995,1995-09-03,1,24.206,NWE,,CLE,W 17-14,5,189,37.80,0
18,1995,1995-09-10,2,24.213,NWE,,MIA,L 3-20,3,99,33.00,0
19,1995,1995-09-17,3,24.220,NWE,@,SFO,L 3-28,3,121,40.33,0
20,1995,1995-10-01,4,24.234,NWE,@,ATL,L 17-30,5,192,38.40,0
21,1995,1995-10-08,5,24.241,NWE,,DEN,L 3-37,5,198,39.60,0
22,1995,1995-10-15,6,24.248,NWE,@,KAN,L 26-31,7,315,45.00,0
23,1995,1995-10-23,7,24.256,NWE,,BUF,W 27-14,5,141,28.20,0
24,1995,1995-10-29,8,24.262,NWE,,CAR,L 17-20,8,259,32.38,0
25,1995,1995-11-19,11,24.283,CHI,,DET,L 17-24,3,89,29.67,0
