ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1990,1990-09-09,1,24.309,HOU,@,ATL,L 27-47,,,,,,,,0,0,,0,,
2,1990,1990-09-16,2,24.316,HOU,@,PIT,L 9-20,,,,,,,,0,0,,0,,
3,1990,1990-09-23,3,24.323,HOU,,IND,W 24-10,,,,,,,,0,0,,0,,
4,1990,1990-09-30,4,24.330,HOU,@,SDG,W 17-7,,,,,,,,0,0,,0,,
5,1990,1990-10-07,5,24.337,HOU,,SFO,L 21-24,,,,,,,,0,0,,0,,
6,1990,1990-10-14,6,24.344,HOU,,CIN,W 48-17,,,,,,,,0,0,,0,,
7,1990,1990-10-21,7,24.351,HOU,,NOR,W 23-10,,,,,,,,0,0,,0,,
8,1990,1990-10-28,8,24.358,HOU,,NYJ,L 12-17,,0,0,,0,,,1,0,0.00,0,0,0
9,1990,1990-11-04,9,25.000,HOU,@,RAM,L 13-17,,,,,,,,0,0,,0,,
10,1990,1990-11-18,10,25.014,HOU,@,CLE,W 35-23,,,,,,,,0,0,,0,,
11,1990,1990-11-26,11,25.022,HOU,,BUF,W 27-24,,,,,,,,0,0,,0,,
12,1990,1990-12-02,12,25.028,HOU,@,SEA,L 10-13,,,,,,,,0,0,,0,,
13,1990,1990-12-09,13,25.035,HOU,,CLE,W 58-14,,,,,,,,0,0,,0,,
14,1990,1990-12-16,14,25.042,HOU,@,KAN,W 27-10,,,,,,,,0,0,,0,,
15,1990,1990-12-23,15,25.049,HOU,@,CIN,L 20-40,,0,0,,0,,,1,0,0.00,0,0,0
16,1990,1990-12-30,16,25.056,HOU,,PIT,W 34-14,,,,,,,,0,0,,0,,
17,1992,1992-09-13,2,26.314,HOU,@,IND,W 20-10,,,,,,0.0%,,,,,,,
18,1992,1992-09-20,3,26.321,HOU,,KAN,W 23-20,,,,,,0.0%,,,,,,,
19,1992,1992-09-27,4,26.328,HOU,,SDG,W 27-0,,,,,,0.0%,,,,,,,
20,1992,1992-10-11,5,26.342,HOU,@,CIN,W 38-24,,,,,,0.0%,,,,,,,
21,1992,1992-10-18,6,26.349,HOU,@,DEN,L 21-27,,,,,,0.0%,,,,,,,
22,1992,1992-10-25,7,26.356,HOU,,CIN,W 26-10,,,,,,0.0%,,,,,,,
23,1992,1992-11-01,8,26.363,HOU,@,PIT,L 20-21,,,,,,0.0%,,,,,,,
24,1992,1992-11-08,9,27.004,HOU,,CLE,L 14-24,,,,,,0.0%,,,,,,,
25,1992,1992-11-15,10,27.011,HOU,@,MIN,W 17-13,,,,,,0.0%,,,,,,,
26,1992,1992-11-22,11,27.018,HOU,@,MIA,L 16-19,,,,,,0.0%,,,,,,,
27,1992,1992-11-26,12,27.022,HOU,@,DET,W 24-21,,,,,,0.0%,,,,,,,
28,1992,1992-12-07,13,27.033,HOU,,CHI,W 24-7,,,,,,0.0%,,,,,,,
29,1992,1992-12-13,14,27.039,HOU,,GNB,L 14-16,,,,,,0.0%,,,,,,,
30,1992,1992-12-20,15,27.046,HOU,@,CLE,W 17-14,,,,,,0.0%,,,,,,,
31,1992,1992-12-27,16,27.053,HOU,,BUF,W 27-3,,,,,,0.0%,,,,,,,
32,1993,1993-09-05,1,27.305,HOU,@,NOR,L 21-33,,0,0,,0,0.0%,,,,,,,
33,1993,1993-09-12,2,27.312,HOU,,KAN,W 30-0,,0,0,,0,0.0%,,,,,,,
34,1993,1993-09-19,3,27.319,HOU,@,SDG,L 17-18,,0,0,,0,0.0%,,,,,,,
35,1993,1993-09-26,4,27.326,HOU,,RAM,L 13-28,,0,0,,0,0.0%,,,,,,,
36,1993,1993-10-11,5,27.341,HOU,@,BUF,L 7-35,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
37,1993,1993-10-17,6,27.347,HOU,@,NWE,W 28-14,,0,0,,0,0.0%,,,,,,,
38,1993,1993-10-24,7,27.354,HOU,,CIN,W 28-12,,0,0,,0,0.0%,,,,,,,
39,1993,1993-11-07,8,28.003,HOU,,SEA,W 24-14,,0,0,,0,0.0%,,,,,,,
40,1993,1993-11-14,9,28.010,HOU,@,CIN,W 38-3,,0,0,,0,0.0%,,,,,,,
41,1993,1993-11-21,10,28.017,HOU,@,CLE,W 27-20,,0,0,,0,0.0%,,,,,,,
42,1993,1993-11-28,11,28.024,HOU,,PIT,W 23-3,,0,0,,0,0.0%,,,,,,,
43,1993,1993-12-05,12,28.031,HOU,,ATL,W 33-17,,0,0,,0,0.0%,,,,,,,
44,1993,1993-12-12,13,28.038,HOU,,CLE,W 19-17,,0,0,,0,0.0%,,,,,,,
45,1993,1993-12-19,14,28.045,HOU,@,PIT,W 26-17,,0,0,,0,0.0%,,,,,,,
46,1993,1993-12-25,15,28.051,HOU,@,SFO,W 10-7,,0,0,,0,0.0%,,,,,,,
47,1993,1994-01-02,16,28.059,HOU,,NYJ,W 24-0,,0,0,,0,0.0%,,,,,,,
48,1994,1994-09-04,1,28.304,HOU,@,IND,L 21-45,,,,,,0.0%,,,,,,,
49,1994,1994-09-11,2,28.311,HOU,@,DAL,L 17-20,,,,,,0.0%,,,,,,,
50,1994,1994-09-18,3,28.318,HOU,,BUF,L 7-15,,,,,,0.0%,,,,,,,
51,1994,1994-09-25,4,28.325,HOU,,CIN,W 20-13,,,,,,0.0%,,,,,,,
52,1994,1994-10-03,5,28.333,HOU,@,PIT,L 14-30,,,,,,0.0%,,,,,,,
53,1994,1994-10-13,6,28.343,HOU,,CLE,L 8-11,,,,,,0.0%,,,,,,,
54,1994,1994-10-24,7,28.354,HOU,@,PHI,L 6-21,,,,,,0.0%,,,,,,,
55,1994,1994-10-30,8,28.360,HOU,@,RAI,L 14-17,,,,,,0.0%,,,,,,,
56,1994,1994-11-06,9,29.002,HOU,,PIT,L 9-12,,,,,,0.0%,,,,,,,
57,1994,1994-11-13,10,29.009,HOU,@,CIN,L 31-34,,,,,,0.0%,,,,,,,
58,1994,1994-11-21,11,29.017,HOU,,NYG,L 10-13,,,,,,0.0%,,,,,,,
59,1994,1994-11-27,12,29.023,HOU,@,CLE,L 10-34,,,,,,0.0%,,,,,,,
60,1994,1994-12-04,13,29.030,HOU,,ARI,L 12-30,,,,,,0.0%,,,,,,,
61,1994,1994-12-11,14,29.037,HOU,,SEA,L 14-16,,,,,,0.0%,,,,,,,
62,1994,1994-12-18,15,29.044,HOU,@,KAN,L 9-31,,,,,,0.0%,,,,,,,
63,1994,1994-12-24,16,29.050,HOU,,NYJ,W 24-10,,,,,,0.0%,,,,,,,
64,1995,1995-09-03,1,29.303,HOU,@,JAX,W 10-3,,,,,,0.0%,,,,,,,
65,1995,1995-09-10,2,29.310,HOU,,PIT,L 17-34,,,,,,0.0%,,,,,,,
66,1995,1995-09-24,4,29.324,HOU,@,CIN,W 38-28,,,,,,0.0%,,,,,,,
67,1995,1995-10-01,5,29.331,HOU,,JAX,L 16-17,,,,,,0.0%,,,,,,,
68,1995,1995-10-08,6,29.338,HOU,@,MIN,L 17-23,,,,,,0.0%,,,,,,,
69,1995,1995-10-22,7,29.352,HOU,@,CHI,L 32-35,,,,,,0.0%,,,,,,,
70,1995,1995-10-29,8,29.359,HOU,,TAM,W 19-7,,,,,,0.0%,,,,,,,
71,1995,1995-11-05,9,30.001,HOU,@,CLE,W 37-10,,,,,,0.0%,,,,,,,
72,1995,1995-11-12,10,30.008,HOU,,CIN,L 25-32,,,,,,0.0%,,,,,,,
73,1995,1995-11-19,11,30.015,HOU,@,KAN,L 13-20,,,,,,0.0%,,,,,,,
74,1995,1995-11-26,12,30.022,HOU,,DEN,W 42-33,,,,,,0.0%,,,,,,,
75,1995,1995-12-03,13,30.029,HOU,@,PIT,L 7-21,,,,,,0.0%,,,,,,,
76,1995,1995-12-10,14,30.036,HOU,,DET,L 17-24,,,,,,0.0%,,,,,,,
77,1995,1995-12-17,15,30.043,HOU,,NYJ,W 23-6,,,,,,0.0%,,,,,,,
78,1995,1995-12-24,16,30.050,HOU,@,BUF,W 28-17,,,,,,0.0%,,,,,,,
79,1996,1996-09-01,1,30.302,HOU,,KAN,L 19-20,,0,0,,0,0.0%,,,,,,,
80,1996,1996-09-08,2,30.309,HOU,@,JAX,W 34-27,,0,0,,0,0.0%,,,,,,,
81,1996,1996-09-15,3,30.316,HOU,,BAL,W 29-13,,0,0,,0,0.0%,,,,,,,
82,1996,1996-10-13,6,30.344,HOU,@,ATL,W 23-13,,0,0,,0,0.0%,,,,,,,
83,1996,1996-10-20,7,30.351,HOU,,PIT,W 23-13,,0,0,,0,0.0%,,,,,,,
84,1996,1996-10-27,8,30.358,HOU,,SFO,L 9-10,,0,0,,0,0.0%,,,,,,,
85,1996,1996-11-10,10,31.006,HOU,@,NOR,W 31-14,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6
86,1996,1996-11-17,11,31.013,HOU,,MIA,L 20-23,,0,0,,0,0.0%,,,,,,,
87,1996,1996-11-24,12,31.020,HOU,,CAR,L 6-31,,0,0,,0,0.0%,,,,,,,
88,1996,1996-12-01,13,31.027,HOU,@,NYJ,W 35-10,,0,0,,0,0.0%,,,,,,,
89,1996,1996-12-08,14,31.034,HOU,,JAX,L 17-23,,0,0,,0,0.0%,,,,,,,
90,1996,1996-12-15,15,31.041,HOU,,CIN,L 13-21,,0,0,,0,0.0%,,,,,,,
91,1996,1996-12-22,16,31.048,HOU,@,BAL,W 24-21,,0,0,,0,0.0%,,,,,,,
92,1997,1997-08-31,1,31.300,TEN,,OAK,W 24-21,,0,0,,0,0.0%,,,,,,,
93,1997,1997-09-07,2,31.307,TEN,@,MIA,L 13-16,,0,0,,0,0.0%,,,,,,,
94,1997,1997-09-21,3,31.321,TEN,,BAL,L 10-36,,0,0,,0,0.0%,,,,,,,
95,1997,1997-09-28,4,31.328,TEN,@,PIT,L 24-37,,0,0,,0,0.0%,,,,,,,
96,1997,1997-10-05,5,31.335,TEN,@,SEA,L 13-16,,0,0,,0,0.0%,,,,,,,
97,1997,1997-10-12,6,31.342,TEN,,CIN,W 30-7,,0,0,,0,0.0%,,,,,,,
98,1997,1997-10-19,7,31.349,TEN,,WAS,W 28-14,,0,0,,0,0.0%,,,,,,,
99,1997,1997-10-26,8,31.356,TEN,@,ARI,W 41-14,,0,0,,0,0.0%,,,,,,,
100,1997,1997-11-02,9,31.363,TEN,,JAX,L 24-30,,0,0,,0,0.0%,,,,,,,
101,1997,1997-11-09,10,32.005,TEN,,NYG,W 10-6,,0,0,,0,0.0%,,,,,,,
102,1997,1997-11-16,11,32.012,TEN,@,JAX,L 9-17,,0,0,,0,0.0%,,,,,,,
103,1997,1997-11-23,12,32.019,TEN,,BUF,W 31-14,,0,0,,0,0.0%,,,,,,,
104,1997,1997-11-27,13,32.023,TEN,@,DAL,W 27-14,1,1,2,2.00,1,100.0%,2.00,0,0,,0,1,6
105,1997,1997-12-04,14,32.030,TEN,@,CIN,L 14-41,,0,0,,0,0.0%,,,,,,,
106,1997,1997-12-14,15,32.040,TEN,@,BAL,L 19-21,,0,0,,0,0.0%,,,,,,,
107,1997,1997-12-21,16,32.047,TEN,,PIT,W 16-6,,0,0,,0,0.0%,,,,,,,
108,1998,1998-09-06,1,32.306,TEN,@,CIN,W 23-14,,,,,,0.0%,,,,,,,
