ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2017,2017-09-17,2,22.239,PHI,@,KAN,L 20-27,,2,2,100.0,2,3,66.7,0,8
2,2017,2017-09-24,3,22.246,PHI,,NYG,W 27-24,,3,3,100.0,2,3,66.7,0,9
3,2017,2017-10-01,4,22.253,PHI,@,LAC,W 26-24,,2,2,100.0,4,4,100.0,0,14
4,2017,2017-10-08,5,22.260,PHI,,ARI,W 34-7,,4,4,100.0,2,2,100.0,0,10
5,2017,2017-10-12,6,22.264,PHI,@,CAR,W 28-23,,2,2,100.0,2,2,100.0,0,8
6,2017,2017-10-23,7,22.275,PHI,,WAS,W 34-24,,4,4,100.0,2,3,66.7,0,10
7,2017,2017-10-29,8,22.281,PHI,,SFO,W 33-10,,1,3,33.3,2,2,100.0,0,7
8,2017,2017-11-05,9,22.288,PHI,,DEN,W 51-23,,6,7,85.7,1,1,100.0,0,9
9,2017,2017-11-19,10,22.302,PHI,@,DAL,W 37-9,,1,1,100.0,,1,0.0,0,1
10,2017,2017-11-26,11,22.309,PHI,,CHI,W 31-3,,4,4,100.0,1,1,100.0,0,7
11,2017,2017-12-03,12,22.316,PHI,@,SEA,L 10-24,,1,1,100.0,1,1,100.0,0,4
12,2017,2017-12-10,13,22.323,PHI,@,LAR,W 43-35,,4,4,100.0,3,3,100.0,0,13
13,2017,2017-12-17,14,22.330,PHI,@,NYG,W 34-29,,4,4,100.0,2,2,100.0,0,10
14,2017,2017-12-25,15,22.338,PHI,,OAK,W 19-10,,1,1,100.0,2,3,66.7,0,7
15,2017,2017-12-31,16,22.344,PHI,,DAL,L 0-6,,,,,,,,0,0
16,2018,2018-09-06,1,23.228,PHI,,ATL,W 18-12,,1,1,100.0,1,1,100.0,0,4
17,2018,2018-09-16,2,23.238,PHI,@,TAM,L 21-27,,3,3,100.0,,1,0.0,0,3
18,2018,2018-09-23,3,23.245,PHI,,IND,W 20-16,,2,2,100.0,2,3,66.7,0,8
