ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2014,2014-09-07,1,23.193,CLE,@,PIT,L 27-30,*,0,0,0,,0,0.0%,,1,2,2.00,0
2,2014,2014-09-14,2,23.200,CLE,,NOR,W 26-24,*,2,0,0,,0,0.0%,0.00,0,0,,0
3,2014,2014-09-21,3,23.207,CLE,,BAL,L 21-23,*,0,0,0,,0,0.0%,,1,0,0.00,0
4,2014,2014-10-05,4,23.221,CLE,@,TEN,W 29-28,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0
5,2014,2014-10-12,5,23.228,CLE,,PIT,W 31-10,*,1,0,0,,0,0.0%,0.00,0,0,,0
6,2014,2014-10-19,6,23.235,CLE,@,JAX,L 6-24,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0
7,2014,2014-11-16,10,23.263,CLE,,HOU,L 7-23,,1,0,0,,0,0.0%,0.00,0,0,,0
8,2014,2014-11-23,11,23.270,CLE,@,ATL,W 26-24,,1,0,0,,0,0.0%,0.00,0,0,,0
9,2014,2014-11-30,12,23.277,CLE,@,BUF,L 10-26,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0
10,2014,2014-12-07,13,23.284,CLE,,IND,L 24-25,*,,,,,,0.0%,,,,,
11,2014,2014-12-14,14,23.291,CLE,,CIN,L 0-30,*,0,,,,,0.0%,,,,,
12,2014,2014-12-21,15,23.298,CLE,@,CAR,L 13-17,,,,,,,0.0%,,,,,
